id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
1,“九龙江杯”群众文艺优秀节目展演举行,2018/12/31,2018/12/31,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-31/1976104173.html,"12月30日晚上，“花样漳州·绽放幸福”2018年漳州市“九龙江杯”群众文艺优秀节目展演在市区人民剧场举行（题图）。


美轮美奂的舞蹈《海丝瓷韵》拉开了展演序幕，随后管弦乐曲《康康舞曲》、舞蹈《月港情思》、手风琴表演《打虎上山》等节目各具特色，精彩纷呈，赢得现场群众阵阵掌声。


此次活动由中共漳州市委宣传部、漳州市文化和旅游局、漳州市九龙江集团有限公司主办，漳州电视台、漳州市艺术馆、漳州市九龙江文化发展有限公司等承办，旨在深入学习贯彻党的十九大精神，进一步丰富群众文化生活，繁荣和发展群众文化事业，推进全市艺术创作，发现与培养一批艺术创作和表演人才。（记者 周杨宁 文 游斐渊 图）



                      
扫一扫在手机打开当前页"
2,2018中国·漳州国际雕塑艺术展昨日开展,2018/12/31,2018/12/31,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-31/56600309.html,
3,中国食品名城（漳州）食品交易会开馆,2018/12/31,2018/12/31,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-31/1679722665.html,
4,2019年全国社区网络春晚群裕社区分会场开演,2018/12/31,2018/12/31,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-31/1999954206.html,"12月28日，2019年全国社区网络春晚福建省漳州市芗城区南坑街道群裕社区分会场在群裕小区上演录制。
此次活动是群裕社区第七届社区春晚，9个精选节目一一亮相。快板说唱《扫黑除恶得民心》、群舞《水仙花开迎宾来》、漳州特色大鼓凉伞《鼓舞飞扬》等丰富多彩的节目，全方位展现漳州物产、人情、风情。节目主要由小区居民、社区老人学校和春天义演团参演。社区工作人员全程拍摄活动视频，将参加全国社区网络春晚评选。（见习记者?杨瑞）

                      
扫一扫在手机打开当前页"
5,漳州发布加快实施乡村振兴战略“漳十二条”,2018/12/31,2018/12/31,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-31/202500913.html,"近日，漳州市委实施乡村振兴战略领导小组正式对外发布《关于加快实施乡村振兴战略十二条措施的通知》，从产业发展、生态环境、基础设施、乡风文明、公共服务、乡村治理等方面着手，提出12条举措加快美丽、文明、善治、殷实乡村建设，力争漳州乡村振兴在全省走前头、当先锋。
在发展特色现代农业方面，我市将积极抓龙头、建基地、强品牌，促进一二三产业融合发展，在稳定粮食生产能力，做强做优做大水果、蔬菜、茶叶、食用菌、水产、畜牧、花卉苗木、林竹、中药材9个优势特色产业的基础上，加大对乡村旅游、乡村物流业的培育力度，形成11个特色优势产业。力争到2022年，实现每个产业全产业链产值均超百亿元，11个产业全产业链新增产值1000亿元以上，总量超过3000亿元。此外，将大力实施特色现代农业“六百工程”，力争到2022年，全市培育100个以上省级以上农业产业化龙头企业，支持建设100个优质农产品标准化示范基地，建成100个农产品产地初加工中心，新增“三品一标”农产品100个，培育“一村一品”特色产业示范村100个，建设100个对台农业合作基地，推动农业高质量发展落实赶超。
在深化漳台农业合作交流方面，将加强漳浦、南靖台湾农民创业园以及诏安、云霄、长泰等闽台合作重点县建设，开展漳台农业产业对接升级行动，深化漳台“农业+”旅游、康养、文化、教育、休闲等新型业态的合作。同时，加强漳台特色乡镇、同名同宗村交流，促进两岸同胞情感融合，并鼓励台湾农业人才、建筑师、文化创意团队到我市创业就业，参与美丽乡村建设、传统村落保护、乡村产业培育，承接乡村设计项目，促进漳台乡村产业发展深度融合。
在建设美丽宜居村庄方面，我市将实施农村“厕所革命”，合理优化公厕布局，以新建、提档、升级为重点，新建一批、改建一批、提升一批农村公厕，健全公厕日常管理长效机制，进一步提高农村卫生厕所普及率，力争到2020年，全市实现农村卫生厕所全覆盖，同步实施厕所粪污治理。大力实施农村垃圾治理行动、农村污水治理行动、农房整治行动、村容村貌提升行动，力争至2019年底，全市乡镇污水处理设施基本建成并投入使用，各县(市、区)开展5个以上中心村农村村民住宅整治；到2020年，全市完成90%村庄房前屋后整治，农村生活垃圾常态化治理机制更加完善，基本完成非正规垃圾堆放点整治，新建农房建设规范有序，既有农房整治“镇镇有示范”；到2025年，实现全市农村建筑风貌明显改观。
在促进乡风文明、健全乡村治理体系方面，我市鼓励传承发展优秀乡土文化特别是红色文化、闽南文化、“海丝”文化、畲族文化等漳州传统文化，持续推进文化科技卫生“三下乡”，加快乡村综合性文化服务中心建设，完善提升农家书屋服务功能，加快推进广播电视村村通向户户通升级，力争每个县(市、区)每年组织开展文化精品进乡村、文化惠民志愿服务等活动10次以上，到2020年基本实现数字广播电视“户户通”。同时，将积极深化村民自治实践，加大农村法治建设，提升农村德治水平，推进乡村“雪亮工程”建设，加快农村综治中心、网格化服务管理平台和立体化社会治安防控体系建设，强化农村群防群治力量，推动基层服务和管理精细化精准化，力争到2020年，示范乡镇(场)、示范村达到新一轮平安示范乡镇、平安示范村创建标准。
在人才保障方面，我市将继续深入推行科技特派员制度，实现全市行政村科技特派员和乡镇科技特派员工作站全覆盖，促进科技特派员服务向二三产业拓展。积极引导和支持企业家、专家学者、医生教师等，通过下乡担任志愿者、投资兴业等方式服务乡村振兴事业，允许符合要求的公职人员回乡任职。此外，将切实提高基层干部待遇，乡镇干部经济待遇一般高于县级机关同职级干部10%～20%；村主干基本报酬按不低于当地(以县为单位)农村居民人均可支配收入2倍标准，其他村干部的基本报酬按照村主干基本报酬60%左右的标准。通过推行村“两委”班子成员交叉任职，力争到2022年村党组织书记兼任村委会主任的村比重达50%以上。（记者?蔡柳楠?通讯员?林添晖）

                      
扫一扫在手机打开当前页"
6,我市角美镇和绥安镇入榜中国乡镇综合竞争力百强,2018/12/31,2018/12/31,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-31/1999047063.html,"12月27日，中国信息协会信用专业委员会和独立第三方机构竞争力智库在京联合发布了《中国乡镇综合竞争力报告》，揭晓了“中国乡镇综合竞争力百强”榜单，福建4个乡镇上榜，其中，我市龙海市角美镇、漳浦县绥安镇位列其中。
据悉，中国乡镇综合竞争力评价的对象为全国公共财政收入前1000位和社会消费品零售总额1000位的乡镇(不含街道)，从经济规模、经济活力、人均水平等三个方面对乡镇综合竞争力进行评价。由于乡镇一级统计基础薄弱、统计制度不健全，大部分乡镇不具备地区生产总值核算条件，同时，为了淡化地区生产总值在评价中的作用，引导各乡镇推进高质量发展，地区生产总值指标未纳入评价体系当中。
业内人士表示，该榜单分量十足。中国信息协会信用专业委员会是经民政部批准成立，由国家发改委管理，隶属中国信息协会的专业机构，专门从事信用管理、信用标准、信用服务、信用平台和社会治理研究，服务和引领我国社会信用体系建设，助力中国社会治理转型和经济发展。竞争力智库是专门从事竞争力研究的独立第三方智库，坚持社会责任优先，主要开展国家竞争力、区域竞争力、行业竞争力、企业竞争力研究，社会信用体系建设研究，中国城市全面建成小康社会和基本现代化研究等。（记者?张志鹏）

                      
扫一扫在手机打开当前页"
7,招银疏港公路拓宽改造工程主线贯通,2018/12/30,2018/12/30,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-30/201416209.html,"12月27日，笔者获悉，备受瞩目的省道联络线六招银疏港公路拓宽改造工程实现主线贯通。目前正在加紧开展标志标线施划工作，以及非机动车道建设和路灯建设，有望2019年春节前完成非机动车道和人行道建设，并实现全面亮灯。
据了解，省道联络线六招银疏港公路始建于1994年，由于超期服役且长期经受重型、大型车辆的碾压等原因，致使疏港公路路面破损严重，给车辆通行带来了极大不便，自2017年3月15日起实施拓宽改造。该工程已列入漳州市“三抓三比、十项竞赛”——交通先行竞赛工程，全长8.24公里，设计等级为一级公路兼顾城市道路功能，道路横断面宽度41.5米，为双向6车道，采用沥青混凝土路面。“鸿一制油”门口至“漳州开发区界牌”段增设非机动车道和人行道，沙坛村后丰水闸增设除险加固工程，工程总投资4.8亿元。
正式通车后，将极大提高路网通行能力，对漳州开发区和龙海市两地互联互通，推进区域交通一体化进程具有重要作用。  （周小倩 林晓茹）

                      
扫一扫在手机打开当前页"
8,漳州发布“食品名片”,2018/12/30,2018/12/30,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-30/556723364.html,"在漳州食品产业发展大会暨技术对接大会上，与会嘉宾聆听演讲分享。记者 张旭 摄　　12月29日晚，第二届中国食品名城（漳州）食品名片颁奖盛典举行，副市长陈水树出席仪式，中国食品报社副社长李红文，市食品工业协会会长何红孙出席仪式并致辞。来自全国各地的经销商、此次获奖企业、新闻媒体共600多人欢聚一堂，共同见证漳州“食品名片”的发布。
此次“食品名片”甄选活动自今年6月启动以来，共有386家企业报名参加。通过资格审查、网络投票、实地考察、专家评审等环节，最终58家企业脱颖而出，分获领军企业、最具影响力品牌、成长之星等8大不同奖项。
其中，福建省泡吧食品有限公司等13家企业获评“食品行业领军企业”；漳州天福茶业有限公司的“天福茗茶”商标等13个品牌获评“食品行业最具影响力品牌”；龙海市吉香园食品有限公司等10家企业获评“食品行业成长之星”；福建美一食品有限公司等10家企业获评“食品行业十佳休闲食品”；中宝（福建）食品科技有限公司等5家企业获评“食品行业企业创新奖”；漳州市顺金食品开发有限公司的“良冈山”明姜片等11款产品获评“食品行业旅游特色食品”；路易达孚（福建）精炼糖有限公司等3家企业获评“食品行业产业供应链优秀企业”；福建省卡尔顿食品有限公司董事长黄秋平等两位企业家获评“食品行业新锐人物”。

                      
扫一扫在手机打开当前页"
9,漳州食品产业发展大会暨技术对接大会举行,2018/12/30,2018/12/30,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-30/436828117.html,"VideoPlayer.loadVideo('/jeaf/video/video.shtml?video=d3884a44a77db5a8d2a4fad30f55e015b61db1837c14af3693b54bd6cb736ba914d8139d16a3917574a5f77d3ad834da50483fafd724e8721cdef5cab7e5a45c9b7e6b36bdd781498acf779cac195bbc92fbd90d150587a894f21ca9b15b02b044ef9991db2a0743e583e281b294d47970e1eb645968178a606191c286926f0b06d21356dacf495692edbb1854320995b27c6150a8a0c140d6fae85a05898dfb&siteId=620416811908440000');
　12月29日，漳州食品产业发展大会暨技术对接大会举行，与会嘉宾就食品产业发展趋势和前景进行深入交流。 记者 张旭 摄　　12月29日，漳州食品产业发展大会暨技术对接大会举行，副市长陈水树，中国食品报社副社长李红文，中国食品报社副总编辑刘振，市食品工业协会会长何红孙出席活动。
此次技术对接大会旨在借助来自海峡两岸的食品行业的专家学者、资深媒体人、行业主管和企业家等经验和智慧，加速推进创新驱动战略，提升漳州“中国食品名城”品牌影响力，助推漳州食品产业健康发展。大会的举办对整合漳州优质食品资源、加强食品产业交流与合作、带动食品产业发展具有重要意义。
会上，与会专家学者进行深入交流，剖析当前食品产业发展趋势和未来发展前景，并就如何加快食品产业发展，提出意见建议。同时，与会食品企业家和采购商代表还围绕“新常态下食品企业的新定位新战略”主题，就产业政策、品牌推广、渠道拓展等方面，进行深入交流和讨论。（记者 张志鹏 朱祥超）

                      
扫一扫在手机打开当前页"
10,中国·漳州国际雕塑艺术展今日开展,2018/12/30,2018/12/30,漳州日报,https://www.zhangzhou.gov.cn/cms/html/zzsrmzf/2018-12-30/1580901410.html,"记者获悉，2018中国·漳州国际雕塑艺术展于12月30日在南山文化生态园开展。
此次艺术展以“田园都市 生态之城”为主题，由漳州市人民政府与福建省住房和城乡建设厅共同举办，市住房和城乡建设局、高新区管委会承办，漳州城投集团协办，旨在响应习近平总书记倡导的绿色发展理念，彰显花样漳州“水城、绿城、花城、历史文化名城”的独特魅力。雕塑艺术展于5月正式启动，共征集到来自全球70多个国家和地区（含港澳台地区）的3211件（组）作品，最终确定展出46件优秀作品。
雕塑艺术展布展规划负责人告诉记者，未来漳州国际雕塑园将构建出“生态+”延展的文化角，呈现更丰富的雕塑艺术成果，进一步加强国际文化艺术交流，扩大漳州在国内外的影响力，促进漳州城市的公共空间艺术与绿色生态的融合发展。（记者 廖瑜婷）

                      
扫一扫在手机打开当前页"
