id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
10,伊春市食品药品监督管理局南岔分局开展“2018年南岔区第二届森林泼雪节”食品药品安全隐患排查活动,2018-12-29,2018-12-29,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71288.shtml,伊春市食品药品监督管理局南岔分局按照区委区政府下发的“2018年南岔区第二届森林泼雪节暨冬季冰雪旅游活动实施方案”要求，落实主体责任，我局于2018年12月18日至2019年1月18日，开展为期一个月的食品药品安全隐患排查活动，保障“2018年南岔区第二届森林泼雪节”期间的食品药品安全。      我局将南岔区“年货大集美食一条街”列为重点检查区域，“年货大集美食一条街”两侧的食品经营单位、餐饮服务单位、药品经营单位等列为重点检查行业，针对无证经营、销售使用过期食品、无猪肉检疫合格票据、未索证索票、无健康证、非法渠道购进药品等违法违规行重点排查。目前，共出动执法人员60余人次，检查食品经营单位5户、餐饮服务单位20余户、药品经营单位2户，检查发现“年货大集美食一条街”的经营户均能做到持证经营，但依然存在食品经营单位未索证索票销售食品、餐饮从业人员无健康证等问题，针对发现的问题，我局共下达整改通知书7份，并监督问题单位整改到位。      我局在“2018年南岔区第二届森林泼雪节”期间，将采取多项措施，严格执法，积极防范各类食品药品安全事故的发生，保障“2018年南岔区第二届森林泼雪节”顺利开展，让人民群众度过欢乐、祥和的“泼雪节”。
11,伊春市食品药品监督管理局南岔分局开展“食安龙江百日行动”保障元旦期间肉食品安全,2018-12-29,2018-12-29,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71287.shtml,"为保障元旦期间肉食品安全，我局按照《2018年-2019跨年“食品龙江百日行动”工作方案》的通知要求，于12月29日开展了专项检查活动。      此次检查活动的重点为：非洲猪瘟疫情防控工作。我局执法人员通过查渠道、查质量、查票据等方式,重点对各经营单位购进的猪肉及猪肉制品进货渠道、供货商资质、检验报告、检疫票据进行检查，并要求各经营单位对其所销售的猪肉及猪肉制品的“检疫票据”每天发到微信群，以备检查，目前，共出动执法人员40余人次，检查食品经营单位10余家次，未发现经营未检疫猪肉现象，我局将严防来源不明猪肉及猪肉制品流入市场。      此次检查活动同时提醒消费者在购买猪肉及猪肉制品时要查看猪肉上的检疫印章，一旦发现有销售无检疫猪肉现象，及时拨打“12331”电话进行投诉举报，共同监督，营造齐抓共管的浓厚氛围，我局也坚决保障辖区人民群众饮食安全。"
12,南岔区人民检察院提升案件管理水平,2018-12-29,2018-12-29,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71281.shtml,"南岔区人民检察院切实规范司法行为，积极采取措施提高案件管理水平，为检察工作的发展奠定了基础。      该院使用统一业务应用系统，嵌入式全程监控受案，增强对司法办案行为的有效约束，使案件流转到哪里，监督制约就延伸到哪里，实现整个办案过程在检察机关内部都能受到统一、全程、动态监督管理。统一业务应用系统上线运行以来，共受理案件274件，不予受理案件4件，送案审核270件。      该院构建以案件程序性信息查询、法律文书公开、辩护与代理预约、重要案件信息公开为一体的公开模式，确保了案件信息发布的权威性和准确性。案件信息公开系统上线运行以来，共上传案件程序性信息220件，发布法律文书127份，发布重要案件信息28件，接受辩护人和诉讼代理人预约申请18次，检察信息公开在倒逼检察机关规范司法、提高司法公信力方面发挥了非常重要的作用。      该院每年采取重点评查、随机评查、个案评查、专项评查等四种方式组织开展案件质量评查，检查纸质卷宗与查询电子卷宗。案件管理部门统计人员每月对收集的统计数据仔细核查，确保统计数据与执法办案的高度统一，制作统计报表及时上报上级院。      该院制定了《南岔区人民检察院涉案款物管理办法（试行）》，确定了各办案部门与案件管理部门之间扣管分离、分工负责、相互制约的工作机制。涉案款物由办案部门、案件承办人自行保管变为统一归口案件管理部门保管。办案部门依法扣押、冻结、接收的涉案款物在规定时限内，将实物或扣押单据移交案件管理部门入库或备案。案件办结后,案件管理部门根据办案部门对涉案款物的处理意见，及时将款物移送相关部门。通过对涉案款物的实物管理、单证管理，在办案人员与款物保管之间构筑起一道防火墙，降低了执法办案风险。"
13,南岔区社会文化团体丰富百姓业余文化生活,2018-12-29,2018-12-29,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71280.shtml,南岔区社会文化团体把文艺演出进社区、进基层作为他们弘扬社会主义核心价值观的重要载体，将重要主题宣传日和传统节日融入到群众文化中，不仅提高了百姓的文艺鉴赏能力，还满足了百姓的精神文化需求，也弘扬了社会正能量，深受百姓好评。
14,以优化营商环境为基础不断优化电力环境,2018-12-25,2018-12-25,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71277.shtml,年初以来，国网伊春供电公司南岔客服分中心以优化营商环境为基础，不断优化电力环境，立足重大项目，主动对接做好服务，针对居民需要，科学调度安排用电，既服务了发展大局，又满足群众生活需求，努力当好“电小二”，真正打通为民服务“最后一公里”。      （一）推行“一次办好”机制，报“装”零跑路，让企业和百姓频频点赞。南岔客服分中心通过不断加强服务创新、压减流程环节、接电时间和办电成本，实现了客户办电省时、接电省心、工程省钱。在服务企业工作中，南岔客服分中心工作人员为南岔绿野食品有限公司办理申请用电仅用30分钟的时间，便办理好相关用电手续，在申请报装的当天下午，客服分中心人员就上门进行现场勘查，在确认现场施工作业满足要求后，设计人员、施工单位马上与公司对接，进行工程设计，准备工程物资，所有工程在短短的一周就顺利完成，为用户节省资金10万余元。在脱贫攻坚中，南岔区委、区政府决定为9个村屯安装村村通自来水工程，南岔客户服务分中心在接到村民在“掌上电力”提出的申请后，立即到现场勘察，确定接电方案。从架设0.4KV架空线路，到安装新表通电，仅用了7个工作日，用户不仅没跑过一次营业厅，还节省了4万余元的成本。      （二）加强服务精益管控，提升客户体验，拓展“互联网+供电服务”。“南岔客服分中心推进数据互联互通，更好地满足人民美好生活的用电需求，全面提升供电服务工作质量和水平，从而实现企业用户互惠双赢。一方面是，改进服务，积极推进办电业务“线上”“线下”融合。南岔客服分中心抄收人员利用节假日，深入乡镇、林场所，帮助当地百姓下载“掌上电力”手机APP，现场讲解使用方法，让老百姓足不出户，即可畅享“指尖服务”。中心还在营业厅为年迈老人和残疾人士等特殊人群开设办电“绿色通道”，由专业人员引导办理业务，如遇特殊情况，还会上门服务，着实提升了不同客户群的办电体验。另一方面是，主动“揽事”，想方设法帮为客户排忧解难。今年4月，格润药业由于制药车间扩建，需要1000KW容量的增容设备，南岔客服分中心收到申请后，立即组织专业人员到现场勘查，发现设备增容后总容量将增加到2000KW，按照相关规定，应由企业自投资金建设。但是，经过了解，企业目前存在资金紧张问题，考虑到企业困难，客服分中心积极向上级部门争取，在原有线路导线线径过细的基础上，对其线路进行增容改造，更换了杆基、导线及金具，并新建一公里的10KV线路。从客户报装到施工完成，用时只有15个工作日，并为企业节约了300多万元成本；今年5月，南岔污水处理厂因地埋电缆短路，一时间污水处理厂工作陷入瘫痪状态，污水无法正常排出，逆流到永翠河。南岔客服分中心领导接到通知后，迅速赶到现场，第一时间组织人力物力对污水处理厂故障电缆进行更换。在抢修中，客户服务分中心了解到该电缆属于污水处理厂自维产权，但为了公共事业的发展，免费为其更换故障电缆，保障了污水处理厂正常运行；今年6月，南岔区扶贫项目、富民发电厂上马二期光伏发电工程，工程占地面积12.5亩，设置容量为400KVA的变压器两台，使用335组组件共900件，总投资298.05万元，工程量非常大。在施工中，南岔客服分中心出动生产骨干力量，不怕风吹日晒，仅用45天时间，便完成了现场勘察和安装，使富民发电厂顺利投入生产。南岔客服分中心始终把持续提升企业、群众用电获得感和满意度作为工作的出发点和落脚点，打造营商环境新优势。      （三）全力投入防汛救灾，确保民生用电，用担当点亮受灾群众的希望。今年7月，南岔大面积发生洪涝灾害，省林业第二医院10KV自备专线被洪水冲毁，导致结核医院专线全部停电。南岔客服分中心领导接到报告后，第一时间赶到事发现场，亲临指挥，在得知林业第二医院患者较多和肩负着全区洪灾的疫情工作，客户服务分中心立即启动抢修预案，组成抢修小组，针对医院附近线路进行路径勘测，经过员工们的努力，历经10个小时的奋力抢修，改接到临近的10KV市甲线上，恢复了供电，避免了延误治疗和灾后疫情的扩散。7月25日受暴雨袭击，致使南岔林业局松青所至石头河子林场全长13.6公里10KV线路被洪水冲毁，其中有60基电杆受洪水冲刷导致倾斜，15基电杆被洪水冲断埋进泥沙中，两处高压真空开关被损毁，一台变压器被损毁，全长0.6公里0.4KV低压线路被洪水冲毁，石头河子林场陷入一片黑暗。7月27日，洪水刚刚消退，分中心的党政领导迅速组织人员进行灾后抢修工作，成立两个抢修小组，由生产副局长和配电专工带队，分别对高、低压线路进行抢修。每天早上6时到晚上20时，在没脚的大泥、齐腰的河水中抢修线路。不论是倾盆大雨，还是炎炎烈日，抢修人员一直工作在电线杆上。经过5天的奋力抢修，低压居民线路全面恢复用电。如今，南岔客服分中心优化营商环境正在路上，电网建设、优质服务、精神文明建设和生产经营管理等齐头并进，为“中国长寿之乡”“中国伊春北药小镇”的建设提供了优质可靠的电能保障。
15,南岔区第二届森林泼雪节系列活动（二）,2018-12-22,2018-12-22,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71275.shtml,夜幕降临，华灯初上。月牙湖广场和同心广场热闹非凡，篝火晚会文艺表演拉开帷幕。舞狮舞龙表演和锣鼓表演竞相登台。同心广场上，五彩缤纷的大型礼花照亮了夜空，也映红了人们幸福的笑脸，一朵朵灿烂的礼花绚丽绽放，不同色彩，不同造型，不同声响的神奇礼花，构成诗一样的夜晚，花一般的海洋让森林泼雪节再次沸腾。      这是一场雪与火的盛典，这是一场日与夜的狂欢。白天虽短，但快乐最长。下午15点58分，月牙湖公园广场篝火熊熊燃起。      16点38分，同心广场烟花绽放。炫酷的冰雪灯光烟火秀，兴奋到爆的篝火夜滑派对，秧歌腰鼓、舞龙舞狮、文艺演出再掀热潮。      飞雪不止，欢歌不歇。五彩礼花绽放，欢快音符跳动。泼雪节己成为我区冬季里不可或缺的一道冰雪盛宴，它让这个冬天不再寒冷。作为我区做大做强冬季冰雪旅游产业的一大靓丽品牌，它如一张金色的名片，吸引着各地宾朋。
16,伊春市南岔区第二届森林泼雪节拉开帷幕,2018-12-22,2018-12-22,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71270.shtml,正值黑龙江省“赏冰乐雪”之际，12月22日，随着10门礼炮响过，伊春市南岔区第二届森林泼雪节在月牙湖休闲广场正式拉开帷幕。伊春市市委常委、市委秘书长王德惠，市直有关部门和南岔区领导、社会各界群众、中小学生、省市媒体等近万人参加了活动启动仪式。     入冬以来，伊春市南岔区委、区政府为了贯彻落实习近平总书记“冰天雪地也是金山银山”的重要讲话精神，以“赏生态之美，戏冰雪之乐，享舌尖美食，品文化底蕴”为主题，围绕“三大主题园区+一条美食街+五大类十二项活动”广迎四海宾朋，畅享冰雪，畅嗨今冬，搅热冬季旅游资源。      该区在东出口设立雪雕园区，打造了迎宾雪雕群，分设“迎春园”“长寿园”“文化园”三个板块。在“迎春园”打造了具有迎新春、贺新年寓意的主题雪雕，表达南岔人民迎接新春的美好祝福；在“长寿园”打造了具有祝长寿、送健康寓意的主题雪雕，表达全区人民对幸福生活的美好愿景；在“文化园”打造了能够体现“红地盘”的抗联文化、林宝药业的“北药文化”“速滑名城”的体育文化，以及民俗文化、企业文化等文化符号的主题雪雕。同时，还将围绕园区主题，组织寒假返乡大学生、返乡名人、企业，开展雪雕DIY大赛。      该区在古色古香的月牙湖公园设立赏灯园区，以追忆乡情、品味民俗、憧憬梦想为主题，制作龙灯、仿古花灯，开展了猜灯谜、赏花灯活动，让游客们着实过一把“才子瘾”。缤纷的文艺表演、燃放烟花等系列活动，也让观赏者体验了光之绚烂、声之韵味。在人防工事景区，组织开展了以“铭记历史，不忘初心”为主题，以抗联文化、备战备荒文化、乡情摄影展为主要内容的文化展览。年节期间，还将以忆民俗、知民俗、承民俗为主题，组织开展秧歌腰鼓表演、舞龙舞狮表演等形式多样的“迎两节、送祝福”民俗表演活动。      该区在通山路体育场设立冰雪欢乐园区，则是属于小朋友们的冰雪欢乐场，为打造亲雪戏雪的冰雪娱乐项目体验园，在去年原有冰雪项目的基础上，为提升全区人民的幸福指数，将提档升级亲子雪橇、冰爬犁、雪地大转盘、大型冰雪滑梯、雪地漂移、雪地摩托、雪地碰碰车、雪地碰碰球、雪地四轮车、雪地自行车等项目，提升了游客游玩体验，让游客们切实感受“冰天雪地”的魅力。还将组织开展高水平速滑邀请赛和群众可参与的趣味冰雪赛事，冰爬犁赛、雪地拔河赛、业余滑冰赛、雪地足球赛、雪地曲棍球赛、雪地笨笨跑比赛及雪地团体健身操比赛等，热爱滑冰的人们可以与滑冰高手“一决高下”，体验冰雪上的“速度与激情”      该区在步行街设立美食一条街，集中山特产品、东北冻货、特色年货、民俗手工艺产品以及传统美食等，设置传统小吃摊位、特色美食摊位、高品质年货摊位等，联合各大商家同时启动营销活动，通过各种促销活动，寻找刺激消费的着力点，让游客到此处，可逛大集、可品美食、可采购年货，真正感受热烈的年节氛围。活动的当天，各种特色小吃摊位上的美食，让游客们称赞不已，真正品尝到了年的味道。      据了解，伊春市南岔区为搅热冬季旅游，还将举办一系列冰雪活动，进一步发挥资源禀赋和区位优势，丰富冰雪旅游和冰雪运动的产品供给，让“冰天雪地”变成真正的“金山银山”，将游客带进童话般的冰雪世界，让“冰天雪地”成为广大群众户外活动的主阵地。活动将持续至明年3月末。
17,南岔区党员干部收听收看庆祝改革开放40周年大会实况,2018-12-18,2018-12-18,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71255.shtml,"12月18日上午10时，南岔区党员干部群众通过电视、广播、网络等分别集中收听收看了庆祝改革开放40周年大会实况,共同回忆和感受改革开放40年来祖国日新月异的变化，畅想祖国更加美好的明天。      在区委常委会议室，区委中心组中心组成员集中观看了实况，在习近平总书记发表重要讲话时，不时响起热烈的掌声。在收听收看大会实况后,大家一致认为，改革开放40年来，我们国家走过一段不平凡的历程，发生了翻天覆地的变化，人民生活水平蒸蒸日上，国际地位不断提高，伟大的中国人民勇于变革、锐意进取，取得了举世瞩目的伟大成就，沿着中国特色社会主义道路，中华民族实现了从站起来、富起来到强起来的伟大飞跃。成绩令人鼓舞，催人奋进。展望未来，激情澎湃，精神倍增，要结合工作的实际，认真学习贯彻总书记重要讲话精神，解放思想，与时俱进，坚持走绿色化转型发展之路，“做大一产、做优二产、做强三产”，推进“中国伊春北药小镇”“中国长寿之乡”建设高质量发展，加快书写建设现代化新伊春的南岔篇章，为东北振兴做贡献。       在区法院、区检察院、区公安分局和城林社区及全区各企事业单位，都积极组织党员干部群众集中收听收看了大会盛况。大家纷纷表示，要认真学习和领会好大会精神，准确把握政治方向。围绕中心、服务大局，牢记使命、奋发有为。要不忘初心、砥砺前行，主动融入到实际工作当中，立足振兴目标和工作任务，坚定不移地走绿色化转型发展之路，围绕我区生态文明建设、国有林区改革、冬季旅游发展、民生建设等方面重点工作，务实进取、攻坚克难，努力开创各项工作新局面，为加快全面建成小康社会，扎实推进南岔全面振兴全方位振兴，积极打造长寿之乡、孝老爱亲之城，建设中国北药小镇作出应有贡献。"
18,绿色厨房实现“北菜南运”,2018-12-17,2018-12-17,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71246.shtml,生产环境干净整洁，消毒设施一应俱全，自动水饺生产线运转不停，一个个看似手工捏成的水饺，经过原料加工、真空和面、碾拌，再到放馅、捏成水饺……这么精细的活，全部来自饺子机自动生产线。      这是记者日前在南岔区的伊春市绿野食品有限公司采访时，在生产车间看到的画面，眼前的这批正在装箱绿色山野菜馅儿水饺，是发往沈阳的订单。临近两节，为确保节日需求，公司正在加班加点生产“林之宴”为品牌的系列食品。      近年来，南岔区依托得天独厚的生态和资源优势，咬定“绿色”不放松，通过不断优化招商引资环境，提升服务企业的本领，不断吸引生态型产业项目落地发展壮大，在“绿色大厨房”里大显身手。坐落在南岔区的伊春市绿野食品有限公司就是其中之一。      伊春市绿野食品有限公司是以山东省莱阳商会为投资主体的股份制企业。2017年2月，通过招商引资落户南岔区，企业占地12000平方米，注册资本1000万元，总投资6680万元。公司根据现代人对健康绿色有机食品追求的实际，依托小兴安岭丰厚的绿色有机食材资源优势，把发展的重点定位在经营和生产速冻蔬菜食品上，包括绿色保鲜食品、速冻食品和调理食品。     目前，绿野食品有限公司上马了3条工艺先进的全自动食品生产线，相继开发生产了以刺嫩芽、燕尾、柳蒿芽等17种天然山野菜为原料的饺子、包子、丸子等精深加工产品，拥有日产饺子40吨，年速冻和生产山野菜、地产蔬菜1万吨的加工能力。新近开发的南岔区地产特色南瓜、青刀豆、油豆角、黄金勾等10多种速冻蔬菜有机食品也备受欢迎。      绿野食品有限公司把绿色天然的食材作为企业参与市场竞争的优势，通过举办和参加各类绿色食品展会，使绿色有机蔬菜、绿色食品与市场对接，不断提升市场份额。      为进一步增强企业的市场竞争优势，绿野食品有限公司采用速冻健康食品行业的新发展理念，严格按照国家食品质量安全标准，创立了“林之宴”系列产品品牌，采用产、销冷链一体化的运营方式，把销售目标人群定位在北上广及华北、华东地区省会级城市，还有部分产品销往全国其它市场及日本，韩国等国家。实行集约型的现代企业管理模式，产、销冷链一体化运营方式，叫响绿野食品品牌。      绿野食品有限公司为了从源头保障原料的品质，采用“公司+农户+家庭农场”“公司+经纪人+采摘人”的组织模式，建立了蔬菜加工企业与当地及周边农户蔬菜种植联合体，升级和改良蔬菜品种和种植结构，加强选种、种植、农药到蔬菜采收的日常管理，并实行严格的质量检测制度，实现了原字号蔬菜销售向加工精品蔬菜销售质的转变，为北菜南运开辟新通道，实现企业发展与区域经济发展共赢。
19,弘扬传统文化 展示时代精神,2018-12-17,2018-12-17,伊春-南岔日报,http://www.nancha.gov.cn/ncxrmzf/c100689/201812/71245.shtml,为更好的实现图书馆文化教育与传播功能，进一步展示读者才华，南岔区图书馆举办了“庆祝改革开放40周年暨读者书法作品展”，吸引了广大书法爱好者前来赏析。      此次书法展所展出的30幅行书、草书和楷书等书法作品中不乏临摹古人诗句和自创诗词等多副佳作，均围绕改革开放40周年的时代主题，通过不同的形式展现了40年间祖国日新月异的变化和家乡的蓬勃发展，让不少书法爱好者驻足观看。此次书画展不仅为广大读者和书法爱好者提供了展示的平台，也为该区百姓献上了一道传统文化盛宴，同时也弘扬了以改革创新为核心的时代精神和中国传统文化。
