id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
2,区委书记张延杰对政协调研视察报告作出批示,2018-12-29,2018-12-29,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19092.shtml,
3,市委宣讲团走进友好区作主题宣讲报告会,2018-12-29,2018-12-29,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19091.shtml,
4,友好区在冰雪欢乐季举办“百万青少年上冰雪”活动,2018-12-28,2018-12-28,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19090.shtml,
5,区委书记张延杰主持召开区委十九届35次常委（扩大）会议,2018-12-28,2018-12-28,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19089.shtml,
6,友好区离退休干部党工委召开解放思想推动高发展大质量讨论动员部署会议,2018-12-27,2018-12-27,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19088.shtml,
7,友好区召开“向人民报告请人民监督” 公开述职报告会,2018-12-27,2018-12-27,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19087.shtml,
8,友好区“欢乐冰雪节”盛大启幕,2018-12-25,2018-12-25,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19086.shtml,
9,区政协部署在政协机关和全体委员中开展解放思想推动高质量发展大讨论活动,2018-12-24,2018-12-24,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19085.shtml,
10,友好区政协召开十届六次常委会议,2018-12-21,2018-12-21,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19084.shtml,
11,友好区组织收听收看全省农村厕所改造推进工作电视电话会议,2018-12-21,2018-12-21,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19083.shtml,
12,区委书记张延杰为党建联系点党员干部进行专题党课辅导,2018-12-20,2018-12-20,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19082.shtml,
13,我区组织收听收看庆祝改革开放40周年大会实况,2018-12-20,2018-12-20,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19081.shtml,
14, 友好区农业局召开解放思想推动高质量发展大讨论动员会,2018-12-17,2018-12-17,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19079.shtml,
15, 友好区公路管理处做好“十防”保安全,2018-12-13,2018-12-13,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19078.shtml,
16,伊春市坚决打好碧水保卫战,2018-12-12,2018-12-12,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19077.shtml,
17,全市安全生产、社会稳定和冬季防火工作会议召开,2018-12-12,2018-12-12,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19076.shtml,
18,首届“大箐山杯”雪地马拉松自行车挑战赛开赛,2018-12-11,2018-12-11,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19075.shtml,
