id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
11,县综治办、公安局联合检查各单位节前值班值宿工作,2018-12-29,2018-12-29,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235807.shtml,为进一步加强元旦前，全县各单位及重点要害部门的安全防范工作，12月28日晚，县综治办、公安局治安管理大队对全县机关企事业单位值班值宿工作进行了检查。  通过检查，综合办公楼、教育局、林业局、国土资源局、财政局、中国人民保险、交通局、园林绿化中心、司法局、档案局、民政局、朝阳镇政府、电业局、地税局、联通等单位能够认真执行值班值宿工作有关规定，有领导干部带班，值班人员、更夫完全按要求在岗在位，值宿记录规范，值班电话畅通，安全防范意识强。但在检查中也发现，仍有部分单位值班人员存在责任意识不强，报警电话不通、没有交接班记录等问题。检查组要求，各单位、各部门要严格按照有关规定进行值班值宿，坚决杜绝在岗不在位的现象发生，经常开展自检自查，找出薄弱环节，不断加强和完善安全防范工作，确保节日期间不出现任何问题。
12,辞旧迎新  亲子联欢会,2018-12-29,2018-12-29,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235806.shtml,新的一年开启新的希望，新的一年承载新的梦想。为了让孩子们感受中国的传统节日，近日，煦日早教园举办了“辞旧迎新”亲子联欢会。幼儿、家长欢聚一堂，共同迎接2019年的到来。  整场联欢会紧凑而欢快、节目精彩纷呈。一首首歌曲悠扬婉转，唱出了心中的喜悦，唱出了节日的喜庆；一张张灿烂的笑脸绘出了一幅幅美丽的画卷，营造了欢乐祥和的节日气氛。通过亲子迎新活动，增强亲子的沟通与合作，弘扬了传统节日文化，进一步提升孩子们自信、团结合作精神和竞争意识，展示老师们的热情、活力和积极向上的精神风貌。
13,2018年县委意识形态工作领导小组第二次会议召开,2018-12-29,2018-12-29,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235805.shtml,今天上午，县委副书记原浩东主持召开2018年县委意识形态工作领导小组第二次会议。总结我县全年意识形态工作情况，安排部署明年重点工作任务，动员县委意识形态工作领导小组各成员单位增强抓好意识形态工作的自觉性和能动性，提升抓好意识形态工作能力水平，切实维护我县意识形态领域安全。县领导金立冰、赵志刚、陈翔林、王俊峰、苏丽云出席会议。  原浩东指出，近年来，全县上下坚持以学习宣传贯彻习近平总书记重要指示精神和重要讲话精神为统领，全面贯彻落实习近平总书记关于“意识形态工作是党的一项极端重要工作”的重要指示，坚持把意识形态工作摆上重要位置，与中心工作同部署、同推进、同落实，积极应对工作中遇到的各种问题和挑战，较好地发挥了意识形态工作引领社会、凝聚人心、推动发展的强大支撑作用，为我县“兴边富民，振兴发展，决胜全面建小康”增进了信心、提振了士气、集聚了力量。  原浩东要求，要用习近平新时代中国特色社会主义思想强基铸魂，做到内化于心、外化于行。要把学好用好党的十九大精神、习近平新时代中国特色社会主义思想作为首要政治任务、作为加强思想政治建设的强大武器，与时俱进开展学习教育活动、精准聚焦解决学而不深问题、学思践悟不断增强理论自信。要牢牢掌握意识形态工作领导权、管理权、话语权，强化政治意识，行动自觉。抓好新时代意识形态工作，着力建设具有强大引领力和凝聚力的社会主义意识形态，要严把正确舆论导向、严守意识形态阵地、严管网络意识形态安全、严防意识形态领域风险。要切实维护我县意识形态领域安全，恪守政治责任，工作原则。要坚决贯彻党管意识形态工作原则，严格落实意识形态工作责任制，为我县经济社会和谐稳定、健康发展保驾护航。要压实党管意识形态工作主体责任、完善意识形态工作管理制度、抓好意识形态工作监督问责。  原浩东强调，新时代赋予新使命，新征程呼唤新作为。全县上下要不忘初心、牢记使命，认真按照中央和省市委要求，以更加高度的思想自觉、更加坚定的行动自觉，巩固好、维护好、发展好意识形态工作良好局面，不断谱写我县意识形态工作的新篇章。  会上，讨论了县委意识形态工作领导小组办公室关于我县2018年意识形态工作的报告。县纪委监委、组织部、青山乡党委、住建局党委分别就落实意识形态工作责任制情况进行了述职。
14,青山乡结烈河村庆“元旦”联欢会,2018-12-29,2018-12-29,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235804.shtml,为进一步丰富农村群众的精神文化生活，营造浓厚的新春气氛，12月28日，青山乡结烈河村举办庆“元旦”联欢会。本次联欢会节目形式多样、内容丰富。独唱、合唱、二胡、诗朗诵、自由舞、广场舞精彩纷呈。参演的9个节目均由村民自编、自导、自演，演出群众20多人。丰富多彩的表演充分体现了青山乡结烈河村近年来经济社会发展的新气象和群众精神文化生活品质的不断提升，彰显了结烈河村村民积极乐观、昂扬向上的精神面貌，展现了群众对美好生活的向往和憧憬。
15,乌拉嗄镇举办庆元旦联欢会,2018-12-29,2018-12-29,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235803.shtml,日前，乌拉嘎镇举办庆元旦联欢会。联欢会在广场舞《欢乐中国年》中拉开序幕，整场联欢会在歌舞，男女生独唱，三句半、男女合唱等节目的演出中，高潮迭起，热闹非凡，掌声振振。此次文艺联欢会极大地丰富了乌拉嗄镇群众的业余文化生活，既集中展现了乌拉嗄镇群众积极向上的精神面貌，也进一步彰显了文化个性，增进了党委、政府与群众之间的互动交流。
16,县公安局举办“我们的中国梦”迎新年炫警营联欢会,2018-12-29,2018-12-29,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235802.shtml,为进一步深化和谐警营建设，培养广大民警、辅警的集体荣誉感，凝聚警心，激发斗志。在元旦佳节到来之际，县公安局举办了“我们的中国梦”迎新年炫警营联欢会。  联欢会在小合唱《团结就是力量》的激扬旋律中拉开了帷幕，歌曲《我爱你中国》、《小背篓》、《怀念青春》，诗朗诵《人民警察赋》、《高墙下蒙荫，一朵朵迷茫的涅槃之花》，手风琴独奏《牧民心歌》，女生二重唱《岁月》等节目充分展现了我县公安民警、辅警忠诚为党，平安为国，奉献为民的忠诚本色和奋发有为、斗志昂扬的精神风貌，把晚会推向了一个又一个高潮。  整场晚会掌声不断、高潮迭起，充分展示了我县公安民警团结拼搏、锐意进取、同心同德、争创一流的精神风貌。通过联欢会，更加提振了士气，对提高公安队伍的凝聚力和战斗力起到了良好的推动作用。
17,我县举行2018年“向人民报告、请人民监督”公开述职报告会,2018-12-28,2018-12-28,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235801.shtml,今天下午，我县2018年“向人民报告、请人民监督”公开述职报告会在龙乡礼堂举行。通过深入开展“向人民报告，请人民监督”公开述职行风评议活动，回应并解决群众关切、反映强烈的突出问题，进一步加强政风行风建设，推动各部门、各行业求真务实，转变作风，提高效率，服务群众。现职副处级以上领导干部及县直各相关单位负责人、各界代表参加报告会。  报告会上，来自全县执法监督、综合管理、社会服务3大类的58个单位参加了听证评议。8个单位主要负责人现场进行了公开述职，其他50个单位进行了书面述职。各述职单位以“回应群众关切、解决突出问题”为主要内容，重点报告了本部门、本单位一年来改善民生、服务发展、优化营商环境、着力解决人民群众反映强烈的突出问题、正确履职尽责、规范依法行政、提高服务质量等方面所做的工作。  述职单位和部门还在现场接受了评议代表和人民群众的评议质询。在现场质询环节，相关部门负责人就评议代表提出的问题耐心细致地逐一进行了答复。现场质询环节结束后，评议代表分别对各个单位进行了现场打分。县长徐铁成现场公布了评议成绩，通过请群众打分，找出各部门在工作中存在的问题，进而解决问题、改正工作中的不足，补齐短板，给人民群众一个满意的答复。  县委书记刘福军在讲话中指出，开展“向人民报告、请人民监督”公开述职行风评议活动，主动接受广大人民群众监督，让参评单位、部门和人民群众之间零距离的交流，是搭建了干群沟通联系的平台、拓宽了群众反映问题的渠道、扩大了民主评议活动的影响。群众反映的这些问题，既是推动作风改变的动力，也是促进县委县政府各项制度进一步完善，队伍素质进一步提高，工作水平进一步提升的动力。  刘福军要求，各单位、各部门要正视问题，分解落实抓整改，要针对问题做好整章建制，尽快拿出意见加以规范，做到事事有着落、件件有回音，要认真反思，举一反三见成效，要结合全县干部作风整顿活动和优化营商环境工作和目前正在开展的解放思想推动高质量发展大讨论活动要求，把问题的根源再深挖，原因再剖析。要把问题解决到位，整改到位，要深刻反思本部门、本行业存在的问题，抓好落实，为人民群众交上一份满意的答卷。  刘福军强调，要围绕服务大局和中心工作抓行风，要认真查找各自在“学讲话、促转型、惠民生、保生态”等方面存在的差距与不足，看思想解放够不够、思路清晰不清晰、措施到位不到位、作风务实不务实，凡是与全县中心工作不符合的、有碍转型发展的，都要列入整改范围，逐一列出时间表尽快整改。要围绕维护群众利益抓行风，各单位和部门要进一步畅通群众诉求表达渠道，特别是要多到矛盾相对突出的地方去，多到困难多、困难大的地方去，了解群众疾苦，倾听群众呼声，掌握群众诉求，满腔热忱地做好答疑释惑、排忧解难工作，多些便民利民措施，多些为民助民行动，多些安民惠民实效。针对群众反映强烈的热点问题和纠而复发、治而反弹的难点问题，要多管齐下，标本兼治，纠建并举，用铁的手腕重拳出击，彻底整治；用铁的纪律进行约束，建章立制。要围绕优化发展环境抓行风。开展政风行风建设，就是要发挥社会和群众监督作用，通过落实奖惩措施，弘扬正气，抵制歪风，促进政府机关和行业部门以及全体公职人员解放思想，更新观念，改进作风，提高工作效率，提高服务水平，齐心协力打造良好的发展环境，为全县深化改革、招商引资、项目建设、经济发展创造更好条件。要处理好业务工作与行风建设的关系，自觉把政风行风建设融入到各项业务工作中，在加强业务工作的同时积极主动提升政风行风建设水平。要处理好全面推进与重点突破的关系，要在薄弱单位上求突破、在专项治理上求突破、在热点难点问题上求突破、在改革创新上求突破。  刘福军强调，各单位要增强谋划工作的前瞻性、主动性，认真学习贯彻习近平总书记在改革开放40周年大会上重要讲话精神，研究把握国家宏观政策走向，合理制定明年发展目标任务，按照县委、县政府的工作部署，以“向人民报告、请人民监督”公开述职为主导，扎实推进政风行风建设各项工作，着力营造风清气正、干事创业的浓厚氛围，努力开创嘉荫经济社会发展新局面，为建设富裕美丽幸福新嘉荫提供坚强保障！
18,廉租住房摇号分配  35户低收入家庭喜得新房,2018-12-28,2018-12-28,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235799.shtml,日前，我县2018年第二批次公共租赁住房分配仪式在县住建局举行。35户低收入家庭有了新房，喜圆安居梦。  今年我县符合申请条件的低收入家庭共有35户，廉租住房实物配租房源为35套，确保每一户低收入贫困家庭都能有新房住。这次分配优先考虑年龄在65岁以上、身有残疾的11户低收入贫困家庭，由他们先抽取高层顺序号，其余24户家庭再通过摇号来确定楼层和房号。这次配租的不仅有一室一厅一卫的小户型廉租房，还有70平米以上两室一厅一卫的大户型廉租住房，房屋设施齐全，可直接入住。  今年55岁的姜晓贤患有脑膜瘤和脑梗，因为身体原因姜晓贤一直靠低保维持生活，这次配租到了廉租房她十分高兴。  据了解，廉租住房建设是县委县政府为解决低收入家庭住房困难的一项民心工程，为确保困难弱势群体住有所居，县委县政府一直把建立和完善住房保障制度、建设廉租住房、解决低收入家庭住房困难问题作为全面建成小康社会、努力构建和谐嘉荫的一件大事来抓。自2007年以来，我县对符合廉租住房保障条件的廉租户发放租赁住房补贴，实现了城镇最低收入住房困难家庭“住有所居”的目标。
19,我县开展“结对子、种文化”高雅艺术进校园音乐会,2018-12-27,2018-12-27,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235796.shtml,为营造良好的校园文化环境氛围，落实立德树人的根本任务，提高广大师生的艺术修养和文化素质。近日，我县开展“结对子、种文化”高雅艺术进校园音乐会。  整场演出曲风多元，精彩纷呈，优美的音乐将观众带入了高雅而又充满激情的艺术殿堂。《赛马》、《八月桂花遍地开》等经典曲目的二胡齐奏以及老年大学《九儿》、《沧海一声笑》的器乐合奏受到了在场观众的一致好评。演奏者们高超娴熟的演奏技巧，认真投入的情绪感染着现场的每一个人，让学生们感受到了高雅艺术的魅力。  此次高雅艺术进校园旨在将高雅艺术融入校园文化建设、提升校园文化品味、丰富校园文化生活，从而引导学生接受优秀文化的艺术熏陶，树立正确的价值观和健康向上的审美观念、艺术素养。
20,朝阳镇社区开展“党建联盟”迎新年联谊活动,2018-12-27,2018-12-27,伊春-嘉荫日报,http://www.jyx.gov.cn/jyxrmzf/c104060/201812/235795.shtml,在元旦来临之际，为丰富辖区居民文化生活需求，近日，朝阳镇社区开展“党建联盟”迎新年联谊活动。社区联盟单位、辖区党员及居民欢聚一堂，用歌舞和欢笑声恭贺佳节。  舞蹈《中国红》、歌曲《迎着风》、小品《打靶归来》、快板《夸夸咱中国》等节目个个精彩纷呈，台上歌声不断、台下掌声长鸣。活动中穿插了二人三足、看动作猜成语等趣味游戏。大家以多种形式歌颂党及居民幸福美好生活，让联谊会现场热闹非凡，把联谊会推向一个又一个高潮，赢得了一阵又一阵热烈的掌声。  此次活动进一步拉近党员与群众、社区工作者与居民的联系，促进了辖区居民之间的沟通和往来，营造了和睦、融洽的欢乐氛围，为居民创造了更丰富多彩的文化生活。
