id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
7,新强小学开展校园防欺凌活动,2018-12-28,2018-12-28,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26472.shtml,构建和谐校园是学校的基本任务，为了进一步做好校园安全整治工作，减少学期末校园欺凌事件的发生，切实有效降低和控制校园欺凌事件的危害，保障学生的身心健康，愉快地迎接新年的到来，新强小学再一次开展了校园防欺凌活动。12月24日下午，各班利用班会课对学生开展以校园欺凌为主题的专题教育，老师们通过图片、视频、文字等展示，让学生认识什么是校园欺凌，抵制校园欺凌，当遇到校园欺凌时怎样保护自己。同时通过案例分析让学生了解校园欺凌带来的危害，让同学们拒绝暴力，做个健康阳光的学生。通过主题鲜明的班会课，学生对“校园欺凌”有了进一步的认识，学会了如何预防、避免、应对“校园欺凌”。通过这次活动，同学们进一步认识了校园欺凌现象，懂得了怎样防范校园欺凌，提高了防校园欺凌的安全意识和防范能力，做自己的首席安全官
8,供水公司开展两节前安全生产大检查,2018-12-28,2018-12-28,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26471.shtml,元旦、春节两节将至，为保证“两节”期间供水生产安全，营造安定和谐的社会环境，本月26日供水班子成员及相关工作人员驱车深入供水各部门开展安全生产综合大检查。供水公司经理路忠仁带队一行6人先后深入供水维修站、泵站、加压站、水厂各处等地进行检查，每到一处都认真听取负责人关于日常生产安全管理工作的情况汇报，并现场对供水设备设施运行、泵站运转、加压、日常维修维护操作情况、值班值宿情况，以及是否制定应急处置预案暨各项安全生产责任制度是否落实等情况进行了细致入微的检查。检查中，路忠仁经理要求基层各负责人加强安全生产防范管理工作，落实自身安全生产主体责任，自检自查，每时每刻不能有丝毫的疏忽和大意，提高全员岗位责任意识和遵守各项安全生产管理制度、操作规程的自觉性。路忠仁强调，对查出存在隐患问题，迅速整改落实到位，同时供水各相关职能部门要加强对基层的监督力度，牢固树立安全生产意识，坚决克服麻癖大意思想，严把生产安全关、用电安全关、消防安全关，务实做好供水各项工作，确保全区人民过一个欢乐祥和、文明节俭、风清气正的节日。
9,钢城小学学习习近平在改革开放40周年大会上的讲话精神,2018-12-27,2018-12-27,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26470.shtml,12月26日下午，钢城小学党支部组织全体干部教师学习习近平在改革开放40周年大会上的讲话精神，党支部副书记赵立敏同志主持。赵立敏同志带领大家认真学习了习近平总书记重要讲话中的“四个基于”、“十个始终坚持”、“九个必须坚持”和“三个伟大飞越”精神，指出习近平总书记在庆祝改革开放40周年大会上的重要讲话，是向世人宣布中国进一步改革开放的宣言书，是推动新时代改革开放再出发的动员令。我们要进一步深入学习贯彻习近平总书记重要讲话精神。提高政治站位，牢固树立“四个意识”，坚定“四个自信”，增强历史使命感和责任感，以立德树人为根本，推进教育教学和人才培养模式改革，尽职尽责，勇于担责，做一名让学生家长与社会满意的优秀教师。通过学习，全体教师对习近平在庆祝改革开放40周年大会的讲话精神有了更深刻的认识。大家纷纷表示，将进一步解放思想，勇于担当，以更强烈的使命意识，更加饱满的精神状态，融入到自己的日常工作中，砥砺前行，贡献出自己的力量
10,区委宣讲团为爱民物业公司员工作主题宣讲,2018-12-27,2018-12-27,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26469.shtml,区委解放思想推动高质量发展大讨论宣讲团日前走进爱民物业公司，为员工们作主题宣讲。   区委宣讲团成员、区党校教师李清娥以《新时代东北全面振兴、全方位振兴的行动纲领》为题展开讲解，带领大家学习习近平总书记在深入推进东北振兴座谈会上重要讲话和考察黑龙江的重要指示精神。其中包括习近平总书记视察东北讲话的战略价值，东北全面振兴思想精髓，以及推动东北全面振兴、全方位振兴的对策选择。宣讲理论联系实际，内容丰富，让大家在学习宣传贯彻习近平总书记重要讲话和重要指示精神的同时，深刻理解和领会了新时代黑龙江全面振兴、全方位振兴，走高质量发展之路的重大意义。   宣讲既有很强的政策理论性，又有很强的实践指导性，激励爱民物业公司全体员工进一步解放思想，凝聚力量，以新气象新担当新作为，努力学习业务知识，提高自己的职业素养，发挥联系服务群众优势，开拓性地做好物业管理服务工作，为推动西林高质量发展贡献力量
11,西林小学开展解放思想推动高质量发展大讨论宣讲活动,2018-12-27,2018-12-27,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26468.shtml,为进一步推进解放思想推动高质量发展大讨论活动的深入开展，2018年12月26日下午，西林小学党支部联合热力公司党支部邀请区委宣讲团成员、区委党校高级讲师李清娥莅临我校宣讲习近平总书记考察东北三省讲话精神。学校党支部书记、校长刘德东主持活动，西林小学全体教职工及热力公司职工参加活动。李清娥老师以《新时代推进东北振兴的行动纲领》为题，从“习近平总书记视察东北讲话的战略价值、深刻理解领会习近平总书记东北全面振兴思想精髓、推动东北全面和全方位振兴的对策选择”三个方面，详细解读了习近平总书记考察东北三省的讲话精神，阐述了新时代东北振兴的意义、内涵，明确了开展解放思想推动高质量发展大讨论是习近平总书记对东北地区作出的重要指示。所有参会人员认真聆听并及时做好学习笔记。这次宣讲活动进一步引领全校教师在今后的工作中更新观念，敢于探索，勇于实践。大家表示一定立足学校工作实际，深入学习好、宣传好、落实好习近平总书记重要讲话精神，牢记总书记的亲切关怀和殷切嘱托，以解放思想推动高质量发展大讨论活动为契机，进一步更新观念，开拓创新，锐意进取，为创办新时代人民满意教育努力工作，为西林改革创新发展贡献力量，以新气象新担当新作为推进东北振兴发展做出贡献。
12,西林小学开展纪念“毛泽东主席诞辰125周年”系列活动,2018-12-27,2018-12-27,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26467.shtml,12月26日是“毛泽东同志诞辰125周年”纪念日。为深切缅怀毛泽东同志丰功伟绩，更好地宣传和坚持毛泽东思想，激发加强队员们的爱国主义情操，以此领略领袖风采，光大民族精神，弘扬革命传统，传递正能量。利用校园广播对全体少先队员进行爱国主义教育，宣传毛主席的生平事迹和战斗故事。组织各中队召开“缅怀毛主席共筑中国梦”的主题队会；观看“长征纪实”片；唱红歌、朗诵毛主席诗词等。低年级的同学观看电影《少年毛泽东》让队员们更多地了解毛主席的丰功伟绩，增强队员实现伟大中国梦的使命感和责任感。西林小学充分利用各种纪念日，坚持进行爱国主义教育，始终把爱国主义教育贯穿到教学、育人全过程中。通过开展“缅怀毛主席共筑中国梦”为主题的唱红歌、讲故事、诗词朗诵等活动，增强队员们的爱国主义热情，激励队员们对毛泽东同志为首的革命老前辈的崇拜之情和实现伟大复兴中国梦而奋斗的决心！
13,西林小学开展“爱路在我心中 护路从我做起”宣传教育活动 ,2018-12-27,2018-12-27,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26466.shtml,为进一步增强全校师生及家长的铁路交通安全意识，自觉维护铁路沿线人民群众的生命财产安全和铁路运输安全。西林小学日前开展“爱路在我心中护路从我做起”宣传教育活动。活动中，学校成立了爱路护路领导小组，在全校范围内大力宣传爱路护路知识，学习《铁路法》、《铁路安全管理条例》，利用校园广播发出倡议，倡议师生从自身做起，树立爱路护路的责任感和守法的自觉性。同时，各中队开展了爱路护路主题队会，学校对各班级经常穿越铁路道口的学生认真地排查，广泛宣传爱路护路小常识，让爱护铁路设施，掌握护路知识，增强了学生遵守铁路规章的安全意识，让“一停、二看、三通过”的防范意识牢记心间。   几年来，西林小学作为黑龙江省爱路护路宣传基地，积极发挥宣传教育作用，强化学生的爱路、护路责任感和安全意识，让“爱路、护路”知识走进课堂，走进家庭，转化为学生的自觉的行动，充分发挥“小手拉大手”作用，保护国家的财产安全、保护自己和他人的生命安全，共建和谐铁路，在全社会形成爱路护路人人有责的良好氛围。
14,建龙集团入主西钢集团管理人员大会召开西钢集团成功破产重整,2018-12-27,2018-12-27,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26465.shtml,12月25日下午，北京建龙重工集团有限公司入主西林钢铁集团有限公司管理人员大会，在西林钢铁集团有限公司等四十家公司合并重整第二次债权人大会顺利通过重整草案后迅速召开。会议对未来西钢集团的振兴发展提出构想和要求，就重整工作进行部署。市领导韩库、张国军、建龙集团董事长张志祥、西钢集团领导班子成员及中层干部参加了此次会议。会议由原西钢集团董事长，重整后担任建龙集团副总裁的苗青远主持。他怀着激动的心情，感谢省委、省政府，市委、市政府的正确领导，感谢西钢集团广大的干部员工，在企业危难关头坚守岗位，特别感谢建龙集团怀着责任和情怀参与到西钢集团重整工作中。苗青远通报了第二次债权人大会的相关情况。西钢集团重整计划草案正式通过。同时，按照重整计划草案，作为战略投资者的建龙集团，将出资70余亿元用于偿付西钢集团债务，西钢集团职工债权和税款债权本金部分获得100%清偿。除了清偿债务外，建龙集团对西钢集团的职工也有了妥善的安置计划。继续保留员工与企业的劳动关系，并导入建龙集团的薪酬管理体系，在企业经营效益稳步增长的基础上，逐步提高员工收入。随后，建龙集团董事长张志祥宣布了西钢集团管理层任职决定，并发表讲话。他在讲话中谈到和西钢集团有合作缘分，早在2003年西钢集团改制之初就谈过合作。这次参与到西钢的重整工作中，一定要把西钢集团建设好。他说，虽然现在钢铁行业普遍陷入困境，但是西钢集团有很好的基础，成熟的工人队伍、技术力量、管理团队，这是最宝贵的财富，这是战胜一切困难的基础，西钢集团发展潜力巨大。在谈到公司今后的发展时，他说建龙集团将在2年内陆续投入34亿元，用于西钢集团的安全环保治理和工艺改造升级。上述技改项目完成后，西钢集团将形成年总产能580万吨，成为年销售收入250亿，年纳税总额10亿以上，直接和间接拉动当地就业3万人以上的大型企业集团。在未来发展优势方面，张志祥提出在成本、产品规格品种、产业链延伸、产品深加工等方面的战略布局要系统规划，并将根据黑龙江市场的需求亮点，调整产能规模和产品结构。通过精细化管理，提高企业核心竞争力。在体制机制方面，张志祥说，要建立良好的体制机制，实现发展成果的共享。用人机制，分配机制，实施高度的责权利统一，让员工发自内心的投入到企业的建设发展中，加强体制机制的导入，把西钢集团打造成一流的钢铁企业。新履任重整后西钢集团总裁、党委书记魏国栋和总经理刘凤和分别作了表态发言。韩库对西钢集团破产重整成功获得新生表示祝贺，欢迎建龙集团作为战略投资者给西钢集团带来机遇和活力。就西钢集团破产重整韩库指出，西钢集团走过了不平凡的52年历史，经历了辉煌、坎坷、曲折，艰难和一些磨炼。这次是西钢人自主选择破产重整的道路，从重整道路开始，对西钢集团期间走过的历程和能够成功的原因进行了深入细致的分析，并对西钢集团的未来和发展提出了更高的目标和要求。   韩库要求，重整后的西钢集团要尽快缩短磨合期，要尽快适应建龙集团的系列化发展理念和经验，要适应新的体制和机制，加快消化和吸收的过程。西钢集团有优秀的历史，多年的企业文化，要把沉淀下来很多优秀的做法和经验继续发扬光大，要进一步加快两个企业集团文化等方面的融合，共同创新，和谐发展；希望建龙集团履行承诺，加快对西钢集团工艺、环保设施进行改造升级，实现高炉、转炉有效作业，满负荷生产，安全环保达到国家标准，企业职工的生活质量得到提高；希望重整后的西钢集团看齐国际、国内同行业标准，对标学习，采取降低成本、提高产能、开发新产品来提高市场竞争力；在企业发展的同时，要为拉动地方经济发展和社会进步做出更大的贡献。韩库最后强调，西钢集团重整轻装上阵后，企业必将焕发新生。希望西钢集团广大员工珍惜重整成果，珍惜这次机会，重拾西钢集团信心和希望，与建龙集团共同实现新的发展，挺起钢铁脊梁，早日再铸辉煌。
15,民警为居民协调解决天棚漏水,2018-12-26,2018-12-26,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26464.shtml,近日，辖区某居民家中天棚漏水遭难，西林公安分局民警及时出手相帮，协调解决难题受赞誉。原来，辖区一80岁老太独居在某小区10号楼的二楼，这天，其孙子赵先生中午时分前来探望老人时，发现家中卫生间、厨房和客厅天棚在滴水，查看自家屋顶后，发现水源来自楼上，赵先生连忙跑上楼，岂料楼上邻居并不在家，于是他只好拨通了报警求助电话。接警后，西林派出所值班民警立即查看居民信息，发现三楼居民人在外地，且一直联系不上。因情况紧急，民警快速赶到现场。到达现场后，考虑渗水情况严重，虽然一直没有联系到房主，但本着急事急办的原则，民警联系了开锁公司和所属管区物业公司的工作人员，准备先行打开门锁，排除险情。几分钟后，房门被打开，此时三楼屋内已有很深的积水，民警与物业工作人员趟水进屋查看后，发现是卫生间暖气管道爆裂，关闭阀门后，在民警、物业工作人员和楼内热心群众一个多小时的共同努力下，积水被清理干净。民警到楼下检查确认没有漏水现象后才离开，赵先生及老人对民警的及时解围频频道谢。
16,钢城小学举办青少年上冰雪活动,2018-12-26,2018-12-26,伊春-金林日报,http://www.ycjl.gov.cn/jlqrmzf/c100545/201812/26463.shtml,在这千里冰封，万里雪飘的季节里，为了更好地贯彻为落实区委第十一届23次常委（扩大）会议提出的开展全区大冰雪活动的总体布署，营造校园冰雪运动氛围，钢城小学于12月25日举行了“青少年上冰雪”活动启动仪式。副校长范忠红同志主持，党支部书记校长齐秀梅同志致开幕词，六年一班陈昕同学代表学生发出倡议，号召全体同学以此次活动为契机，积极投身到上冰雪活动中，在冰天雪地中共享冰雪盛宴。钢城小学一直秉承“启蒙养正绿色育人”的办学理念。根据自己学校的实际情况，校领导及体育教师研发了适合学生的冰雪运动：抽冰尕、冰爬犁、雪地跳绳、雪地足球、雪地拔河、阳光体育大课间等展示活动。瞧：光滑的冰面上，一群像雪地上跳跃的精灵，感受着速度滑冰带来的快乐。与此同时，学校还积极倡导多种冰雪活动。寒风中，虽然学生们的手脸冻得通红，但他们热情似火，激情澎湃，尽情享受冬日的乐趣。听，雪地拔河比赛现场的呐喊声、助威声此起彼伏，把本次冰雪活动推向了高潮，虽然是寒冬腊月，校园内却笼罩在一片欢声笑语中。在活动中增强了团队合作的意识和战胜风雪严寒的毅力。雪地球是一种新兴时尚的雪上运动。它结合了冰球、曲棍球、雪地足球以及其他雪上运动等多种项目研发出来的适合北方孩子的一种冰雪运动，让学生尽情享受北国寒冷天气给他们带来的酣畅淋漓。此次上冰雪活动，既锻炼了学生身体，又让学生体会到冰雪活动所带来的乐趣，让学生渡过了亲近冰雪、亲近自然的快乐时光。学生们的欢笑声驱走了严寒、锻炼了毅志、弘扬了冰城文化、激发了学习热情。在这飞雪漫天的冰城中，钢城学生像一朵朵梅花在雪中绽放！
