id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
549,我市召开无党派知识分子联谊会成立大会 市委书记孙吉,2018-01-02,2018-01-02,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43249.shtml,"近日，我市召开无党派知识分子联谊会成立大会，市委书记孙吉舜、市委副书记王继武出席会议。

　　会议选举产生了无党派知识分子联谊会会长、副会长，新当选的联谊会会长在会上作了表态发言。

    会上，市委书记孙吉舜代表市委向无党派知识分子联谊会的成立表示祝贺。孙吉舜说，无党派知识分子是爱国统一战线的重要组成部分，是建设创新型国家、实现中国梦的重要力量。孙吉舜希望联谊会充分发挥教育阵地作用，全面提高会员的政治素质和能力水平。充分发挥桥梁、纽带作用，努力增强与党和政府及社会各方面的沟通联系。充分发挥参谋、助手作用，努力促进党委和政府决策的民主化、科学化。充分发挥人才基地作用，为党外干部队伍输送优秀的后备力量。要组织和引导全市无党派知识分子以更加昂扬的斗志和更加扎实的作风，为决胜全面建成小康社会，奋力开启东宁现代化振兴发展新篇章作出积极贡献。

    市委副书记王继武在会上说，联谊会的成立，标志着我市无党派知识分子工作进入了一个新的发展阶段，对充分调动全市无党派知识分子的积极性、主动性和创造性，实现东宁现代化振兴发展必将起到积极地促进作用。王继武希望联谊会会员加强学习、凝聚共识，立足职能、发挥优势，努力开创无党派知识分子工作新局面。"
550,市长申奥深入绥阳镇项目建设现场实地调研 推进重点项,2018-01-02,2018-01-02,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43247.shtml,"元旦期间，市长申奥带领相关部门负责人，深入绥阳镇项目建设现场实地调研，推进我市重点项目加快建设。

    调研中，市长申奥一行深入绥阳小学食宿楼，绥阳高铁站站前广场和绥阳食品园区等项目建设现场，详细了解各个项目规划设计、投资建设、施工进度展等方面情况。每到一处，市长申奥都认真听取各项目建设进展情况的汇报，与相关项目和企业负责人进行深入交流，详细了解项目建设中遇到的困难和问题，并针对存在的问题，提出具体的指导建议。

    绥阳镇细岭村福泉黑木耳农民专业合作社成立于2015年5月，主要以黑木耳的生产和销售为主，拥有全市农村最大的菌包加工厂“福泉菌包厂”，2016年销售木耳40万斤，销售金额1270万元，年终结算合作社纯利润270万元。在细岭村福泉黑木耳合作社，市长申奥深入生产车间、制菌室、木耳大棚等地，听取相关负责人情况介绍，了解了合作社运营、生产模式、产品销售、原材料采购、废弃菌袋处理、社员收入及合作社未来规划等方面情况。

    市长申奥对细岭村福泉黑木耳合作社绿色生态农业富民规划给予肯定，希望合作社充分发挥自身优势，继续提高科技化、组织化、标准化水平，按照国家绿色、无公害食品相关标准，提升产品质量效益，利用好国家“互联网+”、供给侧改革等相关政策，拓宽销售渠道，发展品牌经济，将优质产业与电商平台有机结合，引导农民走科技绿色富民发展之路。

    调研中，市长申奥说，项目建设关系经济社会发展全局，民生项目更关系群众福祉，各相关单位和企业要进一步提升质量效益意识，深入贯彻现代化发展理念，坚持以提高经济质量和效益为中心，以高度的责任感，抢抓施工时机，优化施工组织，加快推进产业项目建设，齐心协力把项目建设好，促进重点项目加快建设，真正让群众从经济发展中受益。"
551,学习贯彻全会精神专栏：市委二届四次全会精神宣讲团深,2018-01-02,2018-01-02,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43246.shtml,"今天下午，市委二届四次全会精神宣讲团深入市直机关工委开展宣讲活动。

    宣讲活动中，宣讲团成员围绕市委二届四次全会有关经济强市、开放兴市、乡村振兴战略、保障和改善民生、优化环境、文化事业和全面从严治党等方面内容，结合我市实际，对市委书记孙吉舜在市委二届四次全体会议上所作的《以习近平新时代中国特色社会主义思想为引领 奋力谱写东宁现代化振兴发展新篇章》的工作报告进行了生动、详实的解读，使广大机关干部对会议精神有了更深刻的认识。参加学习的各部门干部职工纷纷表示，要紧密结合各自工作实际，深入学习贯彻市委二届四次全体会议精神，迅速把思想统一到全会精神上来，以全会精神为指导，立足岗位，坚定信心，开拓进取，以良好的精神状态攻坚克难，用实际行动落实目标任务，奋力谱写东宁现代化振兴发展新篇章。"
552,"解读全会报告专栏六：以""家乡美""为抓手 实施乡村振兴",2018-01-02,2018-01-02,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43245.shtml,"农业农村农民问题是关系国计民生的根本性问题，必须始终把解决好“三农”问题作为全党工作重中之重。解读全会报告专栏，今天播出第六期《以""家乡美""为抓手，实施乡村振兴战略》。

    市委二届四次全体会议指出，建设绥芬河-东宁重点开发开放试验区有利于促进乡村振兴，要按照""产业兴旺、生态宜居、乡风文明、治理有效、生活富裕""要求，坚持农业农村优先发展，推进兴边富民，最终实现家乡美。

    一要调优农业产业结构。落实""农业强省""部署，以""粮头食尾""""农头工尾""为方向，构建一二三产业融合发展的现代农业产业体系。稳固黑木耳产业全国领先地位，大力实施""六化""发展战略；实现菌用木屑从东宁口岸进口，研发黑木耳栽培替代料；建立黑木耳产品质量追溯体系，推进域内黑木耳产品统一使用""东宁黑木耳""地理标志标识。加快发展特色农业，推动林果、北药、有机水稻、蚕蜂养殖等产业发展。全力抓好电商产业发展，启动建设黑木耳（特色农产品）电商创业孵化中心，扶持做大达俄通、大米网东宁馆等电商平台，积极与阿里巴巴全球速卖通、京东集团合作，发挥""电商讲习所""作用，将我市特色农产品推广出去，放大经济效益，实现优质优价。

    二要不断深化农业农村改革。要加快推进乡镇政府服务能力建设，优化乡镇机构设置，增强乡镇的活力、实力、吸引力和战斗力。要深化农村产权制度改革，基本完成农村土地确权颁证工作，全面推进集体产权制度改革，不断壮大集体经济。要探索农业管理体制改革，着力解决好涉农部门间互不统属、各自为政的问题，实现农业系统的高效运转。

    三要大力改善镇村环境。着力抓好镇村人居环境和人文环境建设。注重镇村品质提升，强化精品引领、典型示范，打造一批宜居宜业宜游的特色小镇和美丽乡村。注重乡村生活方便舒适，大力推进""厕所革命""，开展""农村人居环境整治三年行动""，加快推进城乡环卫一体化。注重乡村人文环境建设，重塑乡村社会规范，建立健全村务监督委员会机制，健全自治、法治、德治相结合的乡村治理体系，加大农村典型的培树力度，壮大新型农民队伍。"
545,市委书记孙吉舜深入道河镇、东宁镇调研精准扶贫工作,2018-01-03,2018-01-03,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43272.shtml,"1月3日，市委书记孙吉舜深入道河、东宁两个镇，调研精准扶贫工作开展情况。

    市委书记孙吉舜一行首先来到道河镇和平村自来水井房、村委会和村卫生所，实地查看这个村自来水净化设备运行、光伏发电项目进展和健康扶贫工作开展情况，并与镇村干部和相关帮扶单位负责人进行座谈，详细了解脱贫攻坚政策宣传、群众满意率、贫困户致贫原因、建档立卡、脱贫产业、“三通三有”、""两不愁三保障""落实情况，深入交流脱贫思路、脱贫计划，明确脱贫措施。

    市委书记孙吉舜在调研时说，脱贫攻坚工作千头万绪，既是一项极富挑战性的工作，也是一项必须完成好的政治任务，更是一项前无古人、使命光荣的一号工程。让贫困人口和贫困地区同全国一道进入全面小康社会是党的庄严承诺，新年伊始，习近平主席在2018新年贺词中又对脱贫攻坚工作提出新期望。孙吉舜说，2018年是我市脱贫攻坚的关键之年、攻坚之年、更是决胜之年，各镇各部门要按照“尽锐出战,精准施策”的新要求，争取早日打赢脱贫攻坚战。孙吉舜说，基础不牢、地动山摇，要严格执行中央、省市有关要求，认认真真做好扶贫各项基础性工作；要抢前抓早、集中攻坚、坚持问题导向，带着感情抓扶贫，把各项工作做实做细；要积极研究可持续的扶贫政策和扶贫产业；要整合扶贫资金，用好慈善资金，用活扶贫政策；要加强农村精神文明建设，在村容村貌建设、环境卫生整治、孝德文化建设等方面有大提升；要坚持不懈推进""厕所革命""，让农村群众用上卫生的厕所，努力补齐影响群众生活品质短板，坚决打赢脱贫攻坚战。

    在东宁镇暖泉二村，市委书记孙吉舜深入自来水改造工程现场，实地查看工程进展情况，要求相关部门要保质保量完成好工程，让村民早日喝上放心水。

    在东宁镇，市委书记孙吉舜与广大镇村干部亲切座谈，详细了解了有关精准扶贫、村两委换届选举、党建等方面工作开展情况。并对东宁镇下步工作提出新希望，孙吉舜说，东宁镇是城关镇，有条件、有基础、有能力抓好各项工作，要在产业发展、项目建设、城市建设管理、干部作风建设等方面争排头、作表率，在东宁现代化振兴发展进程中做出新贡献。

    调研中，市委书记孙吉舜还实地踏查了大肚川镇生态采摘园项目。"
546,市长申奥主持召开全市重点项目调度会议,2018-01-03,2018-01-03,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43271.shtml,"1月3日，市长申奥主持召开全市重点项目调度会议，市委常委、副市长黄书文，副市长王雪言、徐龙义、陈大伟、张恒恢、刘庆帅参加会议。

    会议听取了2018年我市煤矿整治整合、引水工程改造、教育教学基础设施建设、棚户区改造、城市路网等57个事关我市经济发展和百姓民生的重点项目建设情况。并就这些重点项目推进过程中存在的问题逐一进行了分析、讨论，提出下一步工作意见和建议。

    会议指出，重点项目建设是我市经济社会发展的重中之重。各级各部门务必要认清形势，切实增强推进重点项目建设的紧迫感和责任感，积极协调解决项目建设中存在的问题，在用地指标、房屋征收、资金筹措、规划设计、跑办手续等方面持续不断地跟踪落实，做好服务。

    会议要求，全市上下要对照存在的问题，深入分析原因，尽快采取应对措施。要抓牢抓紧重点项目建设，激发发展内生动力，培植源源不断的税源，让我市经济发展具有持久的生命力。要强化责任感，优化工作举措，提高抓好重点项目的科学性。要树立全局观念，有担当精神，在优化项目服务上再提升，保障重点项目顺利推进。要进一步强化督查调度，切实提高抓好重点项目的实效性。

    会议强调，施政之要，贵在落实，重在实干。各责任单位要抢时间，紧锣密鼓、有条不紊地抓好民生、城市路网、税源等重点项目建设工作，及时掌握重点项目工作进展及完成投资、进度和竣工运行情况，对存在的问题要及时上报并研究解决，营造大干快干的项目建设氛围，为全市经济发展注入新动力。"
547,学习贯彻全会精神专栏：市委二届四次全会精神宣讲团深,2018-01-03,2018-01-03,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43270.shtml,"近日，市委二届四次全会精神宣讲团深入绥阳镇开展宣讲活动。

    宣讲活动中，宣讲团成员结合我市实际，对市委书记孙吉舜在市委二届四次全体会议上所作为的工作报告进行了生动、详实的解读，并就市委二届四次全会召开的重要意义、全会总结的成就经验、部署的目标任务及经济强市、开放兴市、乡村振兴战略、保障和改善民生、优化环境、从严治党等方面内容进行了深刻的阐述，使广大党员干部对全会精神有了更加深刻的认识理解。

    绥阳镇党委要求广大党员干部深刻领会全会精神实质，切实把思想和行动统一到全会精神上来，深入传达学习、狠抓贯彻落实，不断提高政治素质，以习近平新时代中国特色社会主义思想为引领，不忘初心、牢记使命，锐意进取、埋头苦干，为决胜全面建成小康社会，奋力谱写东宁现代化振兴发展新篇章做出积极贡献。"
548,"解读全会报告七：以""幸福感""为核心 不断创造美好生活",2018-01-03,2018-01-03,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43269.shtml,"保障和改善民生，是执政之基、发展之需、和谐之本。解读全会报告专栏今天播出第7期《以""幸福感""为核心，不断创造美好生活》。

    市委书记孙吉舜在市委二届四次全体会议工作报告中指出，建设绥芬河-东宁重点开发开放试验区有利于改善人民生产生活条件，要发挥试验区稳边固边兴边的重要阵地作用，一件事接着一件事办，一年接着一年干，一届接着一届干，让改革发展的成果更多更公平地惠及东宁人民。

    一要高质量完成年度脱贫任务。始终把脱贫攻坚作为重大政治任务和第一民生工程来抓，严格落实责任。全力抓好产业扶贫，做实黑木耳、肉牛、光伏等扶贫产业项目，实现贫困户稳定增收脱贫。扎实开展""三保障""工作，完成42个村安全饮水工程，解决149户、336人的安全饮水问题，实现贫困人口安全饮水合格率达到95%；做好剩余8户C级危房改造，解决226人的用药难题，确保各年龄段教育没有因贫辍学学生。严格退出标准和程序，确保错退率和漏评率低于2%，群众认可度达到90%以上，做到脱真贫、真脱贫。

    二要倾心倾力保障和改善民生。办好人民满意教育，发展普惠性学前教育，改善高中阶段教育，开展教育行业作风整顿，让教书育人回归本源，建设一支学识渊博、道德高尚、经验丰富的人民教师队伍。完善社会保障体系，积极发展民营养老产业，鼓励社会资本兴办医养结合机构，确保家庭医生签约服务率达到70%以上。充分利用闲置办公用房，建设职工之家，丰富退休职工业余生活。全面实施全民参保计划，建立统一的城乡居民基本医疗保险和大病保险制度，进一步加大社会救助力度。提升医疗服务水平，全面落实县级公立医院综合改革，推进分级诊疗就医，逐步解决群众""看病难、看病贵""问题。

    三要多措并举提高社会治理水平。推动社会管理向社会治理转变，打造""路不拾遗、夜不闭户""的和谐环境。完善矛盾预防化解体系，健全公共安全体系，加强食品、药品安全管理，落实重大突发事件应急预案，健全立体化治安防控体系，为全市人民创造平安环境。"
541,市长申奥深入绥阳镇检查指导精准扶贫工作,2018-01-04,2018-01-04,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43286.shtml,"元旦期间，市长申奥深入绥阳镇检查指导精准扶贫工作，副市长徐龙义及相关部门负责人陪同检查。

    市长申奥一行先后深入绥阳镇太岭、双丰、鸡冠砬子、细岭等村屯，认真听取绥阳镇及“三保障”部门主要负责人的工作汇报，现场查看各项精准扶贫政策落实、建档立卡、帮扶成效、“三保障”牵头部门政策落实及整改等方面情况。在贫困户家中，申奥详细询问贫困户对脱贫政策了解情况以及贫困家庭收入、饮用水安全、住房安全、医疗保障、教育保障，驻村工作队和帮扶单位扶贫政策落实等方面情况，并与贫困户深入交流脱贫思路、脱贫计划，引导贫困户坚定脱贫信心，明确脱贫措施，在各方面帮助下争取早日摆脱贫困。

    市长申奥在检查中说，精准扶贫是中央着眼全局作出的重大部署，是全面建成小康社会的重大任务，是党让贫困人口和贫困地区同全国一道进入全面小康社会的庄严承诺，镇、村及各部门要认真贯彻落实中央、省市关于脱贫攻坚的系列决策部署，严格按照中央、省、市精准扶贫工作的各项要求，认认真真做好基础性工作，将精准扶贫各项工作夯实做靠，真正把精准识别、精准扶贫、精准脱贫的要求落到实处，以更大的决心、更明确的思路、更精准的举措，打赢脱贫攻坚战。

    市长申奥要求镇村和各部门要坚持问题导向，按照相关要求，加大整改力度，切实形成工作合力。要按照“两不愁、三保障”工作的相关要求，建好各类台账，努力将各项扶贫举措精准落实到每一个贫困户。要进一步加强业务指导和工作督导检查，推动各镇村脱贫工作精准落实，真正让群众满意。各相关部门要加强对接，狠抓扶贫项目和各项措施落实，加快贫困村基础设施和公共服务建设，进一步明确任务，倒排工期，强化责任，加快推进。要围绕贫困户脱贫标准，逐村逐户查漏补缺，完善精准帮扶措施，帮助贫困户尽快实现脱贫；要理清村屯优势资源，加以合理利用，壮大集体经济，确保我市圆满完成精准扶贫目标任务，坚决打赢脱贫攻坚战。"
542,市人大组织召开中俄过境货车管理工作座谈会,2018-01-04,2018-01-04,牡丹江-东宁日报,https://www.dongning.gov.cn//index.php/cms/item-view-id-43285.shtml,"1月4日，市人大组织召开中俄过境货车管理工作座谈会，市大常委会主任李敬国、副主任李欣宏及各相关部门负责人、部分企业代表参加座谈。

    按照省委、省政府关于对“黄标车”整治工作要求，市运管、交警等部门对我市现有的四家对外运输企业所属的153台重型国际道路货物运输车辆进行了逐一排查，发现绝大部分过境货车存在汽车外廓尺寸标准不一的情况，对我市企业出入境过货能力造成了一定的影响。

    座谈中，各相关部门和企业代表分别就汽车外廓尺寸执行标准、国家省市是否可以出台相关政策法规、如何结合绥东开发开放试验区政策通关等方面问题提出了意见、建议。

    市人大常委会主任李敬国在座谈时说，多年来，东宁的对外运输企业为我市外经贸发展做出了重要贡献，每年承担着十多万吨的出入境货物运输量。各相关部门要以敢于担当的精神，增强发展责任意识，在困难和问题面前敢于突破，在落实和推进过程中敢于挑战，在为人民谋利益、为经济发展的道路上敢于担当；要以先行先试的理念，努力突破政策瓶颈，各单位各部门要各负其责、分工合作，各物流企业也要抓紧更换车辆，统一标准，确保依法运营，安全行驶；要以主动服务的态度，全力促进口岸繁荣，各单位和部门，要结合绥东开发开放试验区建设深入各自监管领域帮助企业突破瓶颈，激发潜力优势；企业要有守法意识，在规定区域和时限内运营，要理解支持交警、运管部门，主动接受执法检查，积极更新出境车辆，力争统一型号、统一颜色，让中国货运车辆以崭新的姿态开出国门、走向世界，为东宁现代化振兴发展贡献力量。

    会上，市人大常委会还根据相关部门和企业代表的意见建议形成了《关于中俄过境货车管理的意见》。"
