id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
880,县委常委、宣传部长杨秀英到四间房村查看精准扶贫工作,2018/01/02,2018/01/02,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41163,12月30日县委常委、宣传部长杨秀英和宣传部8名科级干部一起与古城镇帮扶干部深入到古城镇四间房村、河北村、一村、新立村入户走访，查看精准扶贫工作。    在古城镇四间房村，杨秀英详细了解了该村精准扶贫工作，认真查看了建档立卡贫困户“一册五卡四账”档案，与镇、村帮扶人共同研究下一步帮扶措施，帮助贫困户解决生产和生活中困难和问题，圆满完成脱贫攻坚工作任务。
881,县公安局柳树镇帮扶干部培训会,2018/01/02,2018/01/02,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41146,12月29日，县公安局柳树镇帮扶干部在柳树镇召开培训会。副县长庄坤、县公安局班子成员、公安局帮扶干部、柳树镇班子成员、镇帮扶干部、镇扶贫办工作人员等扶贫干部参加了培训会。柳树镇扶贫专干王堪舜进行了业务培训。    在培训会上，王堪舜从建档立卡贫困户“一册五卡四帐”填写要求，具体到《扶贫手册》填写说明、“四帐”填写说明等几大方面进行了深刻讲解，指出要做好扶贫工作，细心、认真最为重要。    培训结束后，副县长庄坤同志就扶贫工作又做了进一步强调，要求所有帮扶干警将此项工作摆在与本职工作同等重要的位置，任何人不能以任何理由影响扶贫帮扶工作。讲话结束后所有帮扶干警与镇级帮扶干部一起入户送去节前慰问品，再次对贫困户的所有信息进行核对。返回镇里后，在派出所会议室举办了一次以帮扶贫困户信息，扶贫知识为主的特殊考试。    此次培训会让所有帮扶干部和帮扶干警对精准扶贫工作有了更为深刻的思想认识，有利于在今后的扶贫工作中以更清晰的思路和更有针对性的举措让贫困户早日摆脱贫困，实现共同富裕，助推柳树镇建设再上新台阶。
882,县十七届常委会召开第二十一次会议,2018/01/02,2018/01/02,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41123,"今天上午，县十七届常委会召开第二十一次会议。县委书记吴庆兰、县委副书记、县长罗海涛，县委常委王龙、杨秀英、王晓岩、张洪蓬、许博、张邦柱出席会议。县领导任立军、赵洪安、刘忠、武广岐、王德双列席会议。    会议由吴庆兰主持。    会上传达学习了市委十二届二次全委（扩大）会议精神、市十六届人大二次会议精神，审议了《2018年利民实事（讨论稿）》，听取了沙棘采摘文化节、文博馆开馆筹备和中建材北方水泥项目进展情况的汇报，听取了下步工作安排意见及扶贫工作的汇报。    吴庆兰指出：县委、县政府高度重视沙棘采摘文化节和文博馆开馆的筹备，相关部门要以两个活动为切入点，做到文化搭台，经济唱戏，通过沙棘采摘文化节聚焦沙棘产业发展，文化创意产业园要打造展示、创作、交流、培训、交易五位一体的模式。

    吴庆兰要求：要继续加强重视扶贫工作，重点关注已脱贫户与边缘户，同时，按照3+1模式，把产业扶贫做为边缘户重点帮扶内容，做到责任、政策、工作落实。帮扶干部要有计划深入走访，提高群众满意度，规范完善档案内容。要重视农村、社区、机关、非公等基层党建工作，县级领导要到支部参加活动，各级党组织要每个月听一次党建汇报，研究党建工作，把党建工作与中心工作紧密结合。建立完善联系群众的工作机制，建立党员服务区，做到党员联络大覆盖，让群众感到党就在身边；结合八女英雄制定纪念日，增强责任感、使命感，仪式感。培树一批叫得响、过得硬、群众服气、感动民心的党建典型；要在为民服务中加强宣传，突出带动引领作用，要有为民情怀，对有贡献的党员要有人文关怀。抓好“两委”换届工作。要开展专项培训，学习贯彻落实好十九大精神，把省、市、县精神一脉相承，通过各种载体融入到中心工作当中；领导干部要提高抓落实能力，工作要下沉，深入到工作一线解决问题；要解放思想抓落实，结合“两会”重点任务，制定2018年重点工作及推进方案。    针对下一步工作，吴庆兰强调：要确保首季开门红，做好产业项目准备工作，抓好住房、教育、医疗、供水、供热等群众关心的热点问题，做好民生保障工作，信访工作要常抓不懈，各部门要加强联动，做到研判在先，提高关注度，抓好安全生产及扶贫送温暖工作。"
883,罗海涛主持召开座谈会安排部署三项重点工作,2018/01/02,2018/01/02,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41122,"28日，县委副书记、县长罗海涛主持召开座谈会议，就我县沙棘采摘节、文创产业园和电商产业园揭牌仪式等重点工作进行安排部署。县政协主席赵洪安、县委常委、宣传部长杨秀英、副县长刘忠、邓长英、于德波及相关部门领导出席会议。    罗海涛一行实地踏查了县文创产业园装饰改造工程，罗海涛详细了解了蚕翼绣馆、书画院、公共休息区、博物馆、多功能展厅临时展厅等主要展区的布展情况和揭牌仪式的准备情况。罗海涛对各展区的布展情况给予高度评价，罗海涛说，我县文创产业园的软硬件是全省、乃至全国县级水平较高的文化产业园。也是扩大我县书画影响力，提升文化产业优势的名片。希望各展区能够加快布展的收尾工作，以良好的形象迎接各方来宾，为我县文化产业打响2018年的第一枪。    在召开的座谈会上，县委常委、宣传部长杨秀英、副县长刘忠、于德波分别就沙棘采摘节、文创产业园和电商产业园揭牌仪式等近期重点工作准备情况进行了汇报。

    罗海涛指出，这三项重点工作是我县新的一年重要工作的良好开端，要求各相关部门要做好各项工作的筹备工作，进一步提高认识，增强紧迫感和责任感，把各项筹备工作抓实做细，努力把沙棘采摘节、文创产业园和电商产业园揭牌仪式办成一次有影响、取得实效的盛会，展示我县各方面的魅力，扩大对外影响力。要本着节俭办大事的原则做好各项筹备工作。要做好各界佳宾的邀请和接待服务工作，落实专人负责。要强化各项安保措施，确保活动顺利进行。"
884,县委副书记于慈森到红林村讲党课,2018/01/02,2018/01/02,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41121,28日，县委副书记于慈森到联系点龙爪镇红林村以“学习新思想，实现新作为，用党的十九大精神凝聚起乡村振兴新力量”为题为红林村的全体党员上了一堂生动的党课。    于慈森指出，要把学习十九大精神作为当前和今后一个时期最重要的政治任务，明确学什么、怎么学。党的十九大提出了许多新理念，确定了许多新举措，对全党提出了许多新任务和新要求，大家要在“学什么”和“怎么学”上下功夫，以习近平新时代中国特色社会主义思想为指引，结合红林村实际，清楚怎么干，把十九大精神真正融入到红林村发展振兴上来。    于慈森希望红林村的全体党员要发挥好党员的先锋模范作用，继续解放思想，利用好我县电商产业园的重要平台和微商等平台做好红林村红树莓产业的线上营销，拓宽销售渠道。同时要按照省委粮头食尾、农头工尾的要求因地制宜大力发展富民产业，提升农产品的附加值。要坚决打赢脱贫攻坚战，利用红林村的产业优势带动其它附近村屯的贫困户脱贫。要抓好村居环境改善建设，继续推进红林村美丽乡村建设工作，提升示范村、达标村建设水平。要加强红林村发展内动力的培养，造就一支懂农业、有技能、懂管理、会经营的新型农民队伍。做好村“两委”换届选举工作，把那些政治素质好、带头致富能力强的优秀人才选拔出来，夯实基层组织建设，为红林村的快发展大发展作出贡献。
879,林口县应邀参加绥芬河市2018迎新年中俄友好联谊会,2018/01/03,2018/01/03,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41171,"为加强我县与俄罗斯的文化交流与经济合作，受绥芬河市委宣传部的邀请，2017年12月31日，县委宣传部、县工商联、知名企业家及文艺工作者代表一行11人参加了绥芬河市2018 年“欢乐凯翔不眠夜”迎新年中俄友好联谊会。
    绥芬河市委常委宣传部长石金奇为晚会致辞,晚会不仅展示了俄罗斯民族能歌善舞的特点，更是突出了中华传统文化的魅力。在辞旧迎新的时光中,我县企业家和文艺工作者与俄罗斯友人进行了热烈的互动,展现了中俄文艺工作者的艺术风采和中俄企业家为经济发展做出的贡献.加深了中俄双方的了解与友谊,为我县与俄罗斯的文化、经济的进一步交流与合作奠定了基础。"
877,市委组织部部委委员赵立群深入党建联系点林口镇兴华村,2018/01/04,2018/01/04,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41213,"市委组织部部委委员赵立群深入党建联系点林口镇兴华村
  2018年1月4日，市委组织部部委委员赵立群到林口镇兴华村党建联系点对接党建工作，县委组织部部长王龙、副部长隋广富、镇党委书记朱军烈陪同做好对接工作。  赵立群在听取汇报后，先后了解了兴华村基本情况、党建工作开展情况、产业结构发展情况及村干部待遇落实情况，对村党支部创新开展“党建+绿色产业带”即：党建+农业科技示范园区、党建+兴华私人定制一分田、党建+小浆果采摘基地表示认可。对下步如何开展工作他强调了几点要求：一是要处理好党建工作与产业发展的关系，继续创新开展党建+绿色产业带活动，叫响“产业带上党旗红”党建品牌。二是要重视村党员干部这一群体，做好待遇落实情况。三是要坚持把基层党建工作贯穿到各项工作中去。"
878,交警队深入乡镇打击酒驾违法行为专项行动,2018/01/04,2018/01/04,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41206,连日来，县交警大队联合多警种深入刁翎镇、朱家镇、柳树镇开展打击酒驾违法行为专项行动。副县长庄坤慰问了一线干警。    行动前，县交警大队对此次行动作出具体安排部署，并抽调40余名警力，联合特警队、各乡镇派出所等共计60余人开展整治行动。行动中，民警通过酒精测试仪、执法记录仪、数码摄相机等检测和取证设备现场取证，做到快速取证、快速处理，对酒后驾驶等交通违法行为形成严查严管态势。    庄坤要求：全县交警要继续发扬吃苦耐劳、连续作战的精神，加大交通安全法律法规的宣传力度，对酒驾等严重交通违法行为要从严查处，坚决遏制重特大道路交通事故发生，为我县创建一个畅通、平安、祥和的道路交通环境。    此次行动，共查处饮酒驾驶9起，无证驾驶2起，准假不符1起，暂扣驾照9本，暂扣车辆6台，强力震慑了酒后驾驶交通违法行为。
875,林口县生物质热电联产项目正式签约,2018/01/05,2018/01/05,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41257,"4日，我县与四川光大节能环保投资有限公司、辽宁东戴河新区恒源热力有限公司举行生物质热电联产项目签约仪式。县委书记吴庆兰，县委副书记、县长罗海涛，副县长于德波、武广岐出席签约仪式。

    签约现场，罗海涛代表林口县人民政府与四川光大节能环保投资有限公司、辽宁东戴河新区恒源热力有限公司签订《生物质热电联产项目投资协议书》，就此达成合作协议。    据了解，该项目总投资约3.5亿元，项目占地10万平方米，项目土建开工时间预计为2018年6月，竣工时间预计为2019年10月，土建建设周期12个月；设备调试时间预计2个月，预计投产时间为2019年12月。项目计划利用我县及周边地区丰富的农作物秸秆等生物质作为燃料进行发电，项目投产后，不仅能够有效解决当地农户秸秆无法处理的问题，同时，有效改善我县空气质量，间接增加农民收入。"
876,笔耕墨舞 丹青抒怀,2018/01/05,2018/01/05,牡丹江-林口日报,https://www.linkou.gov.cn//view.php?id=41254,"5日上午，县文创产业园暨文博馆开馆仪式后，部分国家、省级书画家齐聚一堂，以现场创作书画作品的形式祝贺文博馆的正式启用。    在笔会现场，中国书法家协会会员、省政府文史馆员傅伯庚，中国艺术研究院中国画院画家、研究员周尊圣等多位书画名家现场挥毫泼墨，笔耕墨舞，以丹青抒发情怀，一张张宣纸变成他们潇洒写意的舞台，一幅幅饱含着对家乡无限热爱的佳作,引得前来观赏的书画爱好者们交口称赞。    此次笔会活动，为与会的书画家以笔会友、切磋技艺提供了一个良好的平台，在短短的时间里，书画名家就兴致勃勃地创作了多幅书画作品，作品以多种形式歌颂林口、赞美家乡，具有很强的观赏性和感染力，成为县文创产业园暨文博馆落成开馆仪式上的一道亮丽风景。"
