id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
10,赵琳深入市委网信办检查指导工作,2018-12-28,2018-12-28,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/1873193898bd4275912ccfd93d9845b4.shtml,12月25日，市委常委、宣传部长赵琳深入市委网信办就网信队伍建设、业务工作进行检查指导并召开座谈会。他强调，全体网信干部要用习近平新时代中国特色社会主义思想和网络强国重要论述武装头脑，提高政治站位，推动思想解放，努力开创新时代我市网信工作新局面，为“都城地”建设注入新动能、提供新支撑。 据了解，今年12月，经市委组织部、市委编办同意，市委网信办组织实施了干部公开选调工作，选调工作严格按照组织程序操作，通过报名、笔试、面试、考察、公式等程序，资格审查合格录取的干部全部到岗。 座谈会上，赵琳听取了新入职干部及相关同志的简要汇报，并代表市委对新加入网信队伍的同志表示欢迎。他指出，市委网信办作为市委独立机关，按照市委要求，在宣传部的业务综合指导下，讲好绥化故事，传播绥化好声音，弘扬正能量，为绥化“都城地”建设营造了良好的网上舆论环境。市委对这支听党指挥、能打胜仗、对党忠诚的网信铁军高度认可，充满信心。 赵琳要求，要提高政治站位，正确认识网信工作。党的十八大以来，党中央重视互联网、发展互联网、治理互联网，统筹协调涉及政治、经济、文化、社会、军事等领域信息化和网络安全重大问题，作出一系列重大决策、提出一系列重大举措，推动网信事业取得历史性成就。网信部门负责加强网上正面宣传，维护网络安全，统筹协调相关行业部门参与网络空间治理，推进“数字绥化”建设，创新压力大，面临严峻挑战，必须树立互联网思维，不断提高对互联网规律的把握能力、对网络舆论的引导能力、对信息化发展的驾驭能力、对网络安全的保障能力。 赵琳要求，网信部门要增强“四个意识”，坚定“四个自信”，坚决做到“两个维护”，始终在政治立场、政治方向、政治原则、政治道路上同以习近平同志为核心的党中央保持高度一致。网信工作是一项业务性极强的工作，网信干部要加强政治理论学习，用习近平新时代中国特色社会主义思想和网络强国重要论述武装头脑，指导实践，推动工作；要旗帜鲜明地开展政治教育、对党忠诚教育、严守纪律教育、保守秘密教育；要保持谦虚谨慎的态度，务实的工作作风，在提高网络综合治理能力，构建网上网下同心圆，维护网络安全，推动互联网、大数据、人工智能和实体经济深度融合等方面主动学习、深入研究、聚焦发力；要解放思想，坚定信心，站在全局的角度考虑问题、分析问题、解决问题，真正打造一支忠诚、专业、奉献、担当的网信铁军。 赵琳要求，网信干部要高标准严格要求自己，站好每一班岗，履行应尽职责，严守政治纪律、政治规矩，不断提升自身实力，抓住机遇，增强本领，为网信事业发展贡献智慧与力量。 赵琳还重点听取了市委网信办2018年工作开展情况和2019年工作安排，并对网信相关工作成果给予肯定，对2019年工作提出殷切希望和具体要求。
11,市总工会召开座谈会,2018-12-27,2018-12-27,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/6b863c5e6fe4469787b077ef1da8c407.shtml,12月26日上午，市总工会召开回顾改革开放40周年推动解放思想高质量发展大讨论落实工会十七大精神座谈会，共同回顾改革开放40周年的伟大历程，展望工会工作的美好前景。 市人大常委会副主任、市总工会主席宋树生在会上宣读了市委常委、市委秘书长侯剑波的书面讲话。 讲话指出，各级工会组织要提升政治意识，牢牢把握工会工作正确的前进方向。要强化理论武装，坚定政治立场，履行政治责任，把党的路线方针政策和决策部署落实到工会各项工作中去。要深入解放思想，全面提高工会组织的生机和活力。作为工会组织和工会干部，只有坚持解放思想，不断创新工作思路，各项工作才能与时俱进，不断取得新的突破。 讲话要求，要强化大局意识，组织动员广大职工做推进发展的主力军。要深入推进新时期产业工人队伍建设改革工作；要重点抓好职工创业创新工作；要创新开展好职工主题劳动竞赛。同时，各级工会组织在这个重要的时间点上，认真谋划好、开展好“两节”送温暖活动，让广大职工群众充分地感受到党和政府的温暖，度过一个欢乐祥和的新年。 宋树生主持会议，并就会议精神的贯彻落实提出明确要求。他强调，必须坚持党对工会工作的领导；必须坚持维护工人阶级的团结；必须坚持围绕中心、服务大局，不断适应时代发展要求，推动思想再解放、改革再深入、工作再抓实，为建设新时代绥化做贡献。 会上，9位劳模职工代表结合自身工作，结合改革开放成果，谈认识，谈感受，提建议，增强了继续前行的动力。
12,市政协召开全体干部大会,2018-12-27,2018-12-27,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/6ca72a193c534f4481c9b6f3e43cd67c.shtml,12月25日下午，市政协召开全体干部大会，部署四届三次全会事宜，就习近平总书记在庆祝改革开放40周年大会上的重要讲话，开展解放思想推动高质量发展大讨论进行座谈。 市政协主席郑建强在会上讲话。副主席吕艳艳、张晓舜、杨芮，秘书长郑海忱出席会议。 郑建强要求，四届三次全会召开在即，希望各工作小组加速启动，密切配合，全力进入会议筹备工作。全体干部各就各位，精益求精，尽职尽责，确保会议顺利召开圆满成功。 郑建强指出，开展解放思想推动高质量发展大讨论活动，有利于学习贯彻习近平总书记系列重要讲话和重要指示精神，有利于推动绥化全面振兴全方位振兴发展，有利于政协充分履行职能。因此要提高认识，深化开展解放思想推动高质量发展大讨论活动的重要意义。要强化工作成果转化，在提高协商议政工作上找到新思路、新方法，推动政协工作上水平、上台阶。 郑建强要求，听了习近平总书记在庆祝改革开放40周年大会上的重要讲话，心潮澎湃，热血沸腾。我们作为改革开放的亲历者和受益者，要以习近平总书记的重要讲话鞭策和激励自己，为中华民族的伟大复兴，为绥化的加速发展作出贡献。
13,我市“五谷杂粮”下江南活动被评为中国区域农业品牌十大营销案例,2018-12-26,2018-12-26,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/c6194732639d4f28819793950f18f3bd.shtml,12月20日下午，在山东省临沂市召开的2018中国区域农业品牌发展论坛上，绥化“五谷杂粮”下江南活动被评为2018年中国区域农业品牌十大营销案例，寒地黑土品牌被评为2018中国区域农业品牌影响力十强品牌。 市委常委、副市长范厚胜在会上做了“五谷杂粮”下江南、寒地黑土生金银的案例分享。 会议在中国品牌建设促进会指导下，由中国品牌杂志社、中国区域农业品牌研究中心和临沂市政府举办，来自全国的政府、企业、科研院所和协会等各界人士近500余人参会。 同时，中国区域品牌发展联盟成立，我市等10个地级城市成为中国区域品牌发展联盟首批发起成员(理事)单位。 据了解，2017年，我市开展“五谷杂粮”下江南活动以来，已进入近百个地级以上城市，建旗舰店、体验店、特许店、连锁店、直营店300多家，中转仓40多家，入驻电商平台30多家、超市和门店1200多家，年线上线下销售农产品60亿元以上，已被省政府确定2018年全省大米百日攻坚战重点支持专项行动，面向全省推广复制。
14,市政府召开解放思想推动高质量发展大讨论座谈会,2018-12-24,2018-12-24,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/8d28a7c23c714f55b852adb99684868b.shtml,12月21日，市委副书记、市长张子林主持召开解放思想推动高质量发展大讨论“今年怎么看，明年怎么干”座谈会，针对当前经济社会发展各项工作任务，以及亟须解决和攻克的问题难关，找出切实可行的办法举措，为实现绥化全面振兴、全方位振兴打好坚实基础。 李锡文、刘野、史衍芳、杨全胜、吴剑锋出席会议，部分市直部门主要负责同志，各县(市)区政府、绥化经济技术开发区管委会主要领导参加会议。 会上，市发改委、工信局、财政局、农业农村局、商务局、经合局，各县(市)区、绥化经济技术开发区分别汇报发言。 会议指出，2018年是绥化极其不平凡的一年，全市上下克服了一个又一个困难，实现了一个又一个突破，很好地完成了各项工作任务，为今后的发展打实了基础、攒足了后劲。2019年，是决胜全面建成小康社会的关键一年，做好明年工作至关重要，一定要深入研究思考，结合产业项目建设、园区建设、品牌打造和全年目标，尽早谋划好、研究好、安排好，确保明年的发展精彩开局。 会议强调，要深入学习贯彻习近平总书记在庆祝改革开放40周年大会上的重要讲话，以习近平总书记在深入推进东北振兴座谈会上的重要讲话和在我省考察时的重要指示精神为指导原则和重要抓手，做好“三篇大文章”，落实好“五头五尾”，培育特色主导产业，建立专业化园区，把资源优势转化成经济优势、竞争优势，提高绥化的知名度和影响力。 会议指出，绥化的解放思想是从玉米产业开始的，玉米是立市产业，要从果实到秸秆进行全产业链深度开发。聚焦构建“1+4+N”现代产业体系，深入实施“千百十”工程，把玉米产业作为立市产业重点打造，积极谋划推进蔬菜、大豆、俄气综合利用、石化等重点产业，每个县(市)区确定一至两个特色主导产业集中打造。 会议要求，通过深入解放思想，抓好工作落实，让习近平新时代中国特色社会主义思想在绥化落地生根。通过学习，用解放思想创造性地抓好工作落实。要围绕解放思想，破解难题，打好基础，攒足后劲。要继续在优化营商环境上下功夫，朝着打造全省最优的营商环境城市目标努力。要坚持把改革创新贯穿我市经济社会发展的全过程，摒弃传统的思维和习惯模式，聚焦到高质量发展上来，在打好“三大攻坚战”、保民生的同时，谋划建设大项目、好项目，把解放思想成果体现在加快发展速度、提升发展质量、增强发展活力上，为绥化全面振兴全方位振兴蹚出一条新路子。
15,我市强化防范非法集资化解金融风险工作,2018-12-21,2018-12-21,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/ca78fd37d4214922a513bdde6aa8d09e.shtml,我市多措并举，强化责任，加强防范打击非法集资化解金融风险，有效维护了金融市场秩序和社会稳定，为我市经济社会和谐发展营造了良好的环境。 强化组织，切实把处非工作责任落到实处。硬化工作机制，重新调整了市防范和处置非法集资工作领导小组，市委常委、副市长范厚胜任组长，成员单位从29家调整到41家，将10个县(市)区纳入进来，增加了成员单位，明确了各部门的工作职责，形成了部门联动、上下互动，各司其职，各尽其责，齐抓共管的局面。压实工作责任。出台了《绥化市处置非法集资突发事件应急预案》《关于加强金融监管防范金融风险工作的实施方案》，进一步突出金融风险防范重点，明确各部门职责，系统安排部署全市防范化解金融风险工作。 市金融办牵头相关部门加大力度，积极推进防范非法集资宣传工作。创新形式，进一步拓宽防范非法集资宣传覆盖面。把宣传重点由中高收入群体转向低收入普通群众，在全市范围内集中开展防范非法集资宣传活动，利用商场LED显示屏循环播放防范非法集资公益宣传片。在绥化广播电视台黄金时段、各家银行机构以营业网点为宣教主阵地，播放防非公益广告，摆放宣传资料，悬挂宣传横幅，充分利用网点内的LED显示屏、液晶电视、多媒体触摸屏、自助设备等宣传载体，通过设点宣传、讲座、推介会、座谈会、金融知识讲堂、有奖知识问答等多种形式有针对性地开展宣教活动。在《绥化日报》《绥化晚报》开辟专栏，进行防范非法集资知识宣传，各县(市)区同步开展宣传活动。防范非法集资宣传活动相继走进北林区春蕾办事处金鹏社区、黑龙江诺捷制药有限公司、海伦市东风镇南兴村、绥化学院开展现场集中宣传活动，普及防非知识，让人们自觉远离非法集资，保护好资金财产安全。 市金融办副主任张秀忠介绍，与此同时，市金融办分类施策，全面开展金融风险排查工作，多管齐下，全力防范各领域金融风险隐患，妥善防范化解不良贷款，积极做好企业融资工作，推进信用体系建设，将防范打击非法集资工作推向深入。
16,市第四届人大常委会召开第十五次会议,2018-12-21,2018-12-21,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/9e520d14516546199a49819b61801431.shtml,12月19日15时，市第四届人大常委会召开第十五次会议，表决任免事宜。 市人大常委会主任、党组书记李元学，副主任李月波、李红霞、宋树生、常青、寇洪泉，秘书长佟伟及其他常委会成员共计27人出席会议，符合法定人数。 市委常委、副市长李锡文；市纪委监委相关负责人；市法院相关负责人；市检察院相关负责人；市纪委监委驻市人大机关纪检监察组组长；市人大常委会机关除常委会组成人员以外的全体干部列席会议。 宋树生分别主持两次全体会议和联组会议。 第一次全体会议听取了李锡文受市人民政府市长的委托作市人民政府关于提请王江等任免职的说明。拟任命的市人民政府组成人员的供职发言等材料以书面形式下发给参会的市人大常委会组成人员，供审议时参考。听取了监票人名单(草案)。 联组审议会后，召开第二次全体会议。表决通过监票人名单(草案)及免职决定(草案)和人事任命议案。根据投票表决结果，市第四届人大常委会第十五次会议表决通过了王江、王伟学、付仕仲、任立辉、刘东志、刘晓光、关国志、米晓东等14名政府相关部门负责人员的任命。 李元学为新任命同志颁发任命证书。全体起立奏唱国歌后，新任命人员进行宪法宣誓。 会议指出，按省委批准的绥化市机构改革方案要求及市委部署，依法任命了政府相关部门负责人员，这是我市深入贯彻落实习近平总书记关于深化党和国家机构改革的重要论述、党中央关于深化地方机构改革的决策部署，依法履行职责的需要，这是构建系统完备、科学规范、运行高效政府机构职能体系，依法行使人事任命职权的需要。 会议希望新任命的同志要以习近平新时代中国特色社会主义思想为指导，解放思想、与时俱进，不辱使命、敢于担当，时刻牢记人民的期望和重托，时刻牢记自己是人民的公仆，在市委的坚强领导下，以过硬的素质、优良的作风、奋发有为的精神状态履行好党和人民赋予的神圣职责，为推动龙江全面振兴全方位振兴、把绥化打造成为“寒地黑土之都、绿色产业之城、田园养生之地”、建设现代化新绥化贡献智慧和力量。
17,市纪委监委召开常委（扩大）会议,2018-12-21,2018-12-21,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/c1821541128c446cbf6b15888863ebb5.shtml,学习传达习近平总书记在庆祝改革开放40周年大会上的重要讲话精神 12月19日下午，市纪委监委召开常委(扩大)会议，专题学习传达习近平总书记在庆祝改革开放40周年大会上的重要讲话精神。市委常委、市纪委书记、市监委主任杨川庆主持会议并讲话。 会议首先学习传达了习近平总书记在庆祝改革开放40周年大会上的讲话精神。 会议指出，习近平总书记的重要讲话是一篇马克思主义的纲领性文献，是新时代改革开放再出发新的宣言书、新的动员令，为改革开放再出发指明了前进方向、提供了根本遵循。全体纪检监察干部要用历史发展思维学深学透讲话，特别要深刻把握以“十个始终坚持”取得的伟大成就，深刻把握“九个必须坚持”的宝贵经验，同时要结合总书记重要讲话和重要指示精神，结合工作实际，学思践悟、融会贯通，把纪检监察工作放到改革前进的历史进程中审视思考，放到全市振兴发展大局中衡量比较，进一步牢固树立“四个意识”，切实履行好纪检监察职责。 会议要求，要营造深入推进改革的浓厚氛围。要精心组织宣传报道，充分利用纪检监察网站、微信公众号、微学苑等载体，深入宣传习近平总书记系列重要讲话精神，营造宣传改革、支持改革、推动改革的积极氛围。要注意搜集总结纪检监察体制改革工作成果，特别是基层一些好的经验做法，以适当的方式做好宣传展示，以改革创新精神推动纪检监察工作向高质量发展。 会议强调，要高质量总结对标谋划推进工作。要以习近平总书记系列重要讲话精神为指导，统筹做好年底前各项工作，高质量谋划明年任务。要坚持全面从严治党，深化标本兼治，持之以恒落实中央八项规定精神，坚决破除形式主义、官僚主义；要有力削减存量、有效遏制增量，整治群众身边腐败和作风问题，巩固发展反腐败压倒性胜利；要时刻铭记打铁必须自身硬，以反腐败永远在路上的坚韧和执着，为我市“都城地”建设发展提供坚强纪律保障。
18,市第四届人大常委会召开第二十七次主任会议,2018-12-21,2018-12-21,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/fc2e802b22f74c5a815ebe33c2b60fb8.shtml,12月19日14时，市人大常委会主任、党组书记李元学主持召开市第四届人大常委会第27次主任会议。 副主任李月波、李红霞、宋树生、常青、寇洪泉，秘书长佟伟出席会议。 会议听取审议了人事任命有关事宜和关于召开市第四届人大常委会第十五次会议有关事宜。会议决定，相关事宜，提交市第四届人大常委会第十五次会议进行表决。 又讯市第四届人大常委会第27次主任会议召开之后，李元学主持召开党组扩大会议，吸收各委办室负责同志参加会议。 李元学传达市纪委监委《关于中央纪委和省纪委关于贯彻落实习近平总书记系列重要讲话精神开展领导干部利用各类特产类特殊资源谋取私利问题整治工作有关通知主要精神及贯彻落实意见的汇报》，并结合人大党组及机关实际提出具体学习贯彻意见。 李元学要求，市人大常委会全体领导干部要认真学习和传达习近平总书记系列重要讲话、中央纪委和省纪委通知精神，深刻领会、坚决落实中央、省市纪委贯彻意见，做到深入自查、立行立改、长期坚持、严格遵守，守住全面从严治党、廉洁自律底线，确保市人大常委会机关风清气正。
19,任免名单,2018-12-21,2018-12-21,绥化日报,http://www.suihua.gov.cn//sh/bdyw/201812/f21c65f108f342868ea767e52aca58ed.shtml,(2018年12月19日绥化市第四届人大常委会第十五次会议通过)决定任命：(按姓名笔划为序)王江为市自然资源局局长；王伟学为市市场监督管理局长；付仕仲为市营商环境建设监督局局长；任立辉为市金融服务局局长；刘东志为市应急管理局长；刘晓光为市医疗保障局局长；关国志为市农业农村局局长；米晓东为市司法局局长；杨德臣为市城市管理综合执法局局长；赵士涛为市退役军人事务局局长；侯显志为市生态环境局局长；夏剑颖为市文化广电和旅游局局长；郭建民为市卫生健康委员会主任；谢殿涛为市工业和信息化局局长。决定免去：门贵昌市农业委员会主任职务；王伟学市食品药品监督管理局长职务；付军市城乡规划局局长职务；付仕仲市工商行政管理局局长职务；米晓东市林业局局长职务；刘东志市安全生产监督管理局长职务；刘晓光市质量技术监督局局长职务；孙汉国市民族宗教事务局局长职务；李世光市文化和旅游局局长职务；杨德臣市城市管理行政执法局局长职务；侯显志市环境保护局局长职务；姜运廷市司法局局长职务；夏剑颖市畜牧兽医局局长职务；郭建民市卫生和计划生育委员会主任职务；程垦市国土资源局局长职务；谢殿涛市工业和信息化委员会主任职务。
