id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
2,区委书记张延杰对政协调研视察报告作出批示,2018-12-29,2018-12-29,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19092.shtml,12月28日，区委书记张延杰同志仔细阅读了区政协呈报的6篇调研视察报告，作出批示：政协的几个调研视察报告有深度、有广度，反映的问题透彻，提出的建议具有很强的操作性。体现了政协委员们聚焦民生的宗旨，也为区委、区政府的科学决策提供了详实、准确的依据。有为才有位，希望区政协再接再厉，结合我区实际，进一步拓宽调研的范围和渠道，更加深入细致地围绕区委重点工作再探索、再研究，为加快我区绿色化转型步伐进言献策，再立新功。涉及到战线领导和单位部门，要认真研读和分析，以习近平总书记在深入推进东北振兴座谈会上重要讲话和考察黑龙江时的重要指示精神为指导，结合调研报告，认真谋划安排，制定整改措施，补齐短板，在改革中要红利。同时，把工作的进展情况积极向区政协反馈。今年以来，区政协认真贯彻落实区委关于《全区副处级以上领导干部“进基层、惠民生、优环境、促发展”督促检查大调研活动方案》要求，紧紧围绕全区重点工作和民生问题，深入基层全面了解实际情况，深入开展调查研究，提出新常态下全区经济社会发展的新思路和新举措，形成专题调研、视察报告。每一篇调研或视察报告，都经过认真研究分析，反复征求意见建议，并通过政协常委会议协商讨论，最大程度地提高报告的针对性、可行性、操作性，呈报给区委、区政府主要领导和分管领导，抄送相关部门，以期为区委、区政府决策提供有益参考。本次张书记批示的6篇调研视察报告，是经区政协十届第六次常委会议讨论通过的，一是《关于我区企业发展情况的调研报告》，二是《关于我区黑木耳种植情况的调研报告》，三是《关于我区养老服务业发展情况的调研报告》，四是《关于“加快义务教育由均衡发展向优质化发展迈进”的调研报告》，五是《关于我区社区卫生医疗服务情况的视察报告》，六是《关于我区“四进”清真寺情况的视察报告》。接到张书记批示后，区政协立即组织机关全体干部进行了学习传达，以张书记批示为动力，以解放思想推动高质量发展大讨论为抓手，开启谋划2019年新一轮协商议政工作，努力以政协工作的高质量发展，在推动“美丽新友好”建设高质量发展中发挥积极作用。
3,市委宣讲团走进友好区作主题宣讲报告会,2018-12-29,2018-12-29,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19091.shtml,12月28日上午，“深入学习贯彻习近平总书记重要讲话和重要指示精神解放思想推动伊春高质量绿色转型发展”友好区宣讲报告会在区委二楼礼堂举行。报告会邀请市委宣讲团成员、伊春职业学院旅游商务学院物流管理教研室主任、讲师胡萍作了题为《深入学习贯彻习近平总书记重要讲话和重要指示精神解放思想推动伊春高质量绿色转型发展》的宣讲报告。区委书记张延杰，区人大常委会主任徐宝林，区政协主席陈清林，区委副书记、政法委书记孙彦全，区委常委、组织部长冯铭华，区委常委、宣传部长王伟臣及区（局）其他副处级领导和各相关单位部门负责同志200余人聆听了宣讲报告。宣讲报告会上，市委宣讲团成员、伊春职业学院旅游商务学院物流管理教研室主任、讲师胡萍用简洁、精炼的语言，紧紧围绕“充分认识习近平总书记重要讲话和重要指示的重大意义”、“深刻认识推进黑龙江全面振兴全方位振兴面临的难得机遇困难挑战和艰巨任务”、“深刻认识、系统把握新时代黑龙江全面振兴全方位振兴的重点工作”、“深入推动思想大解放、不断开辟新时代全面振兴全方位振兴新境界”、“坚持以习近平总书记重要讲话精神和重要指示精神为指引、书写好龙江全面振兴全方位振兴的伊春篇章”等五个方面为与会人员做了一场精彩的报告。宣讲既有理论高度又有翔实的事例说明，既有理论性又有实践性，对于全区党员干部深入领会习近平总书记在推进东北振兴座谈会上的重要讲话以及考察黑龙江的重要指示精神具有十分重要的指导意义，使与会人员深受鼓舞，更加坚定了让老林区焕发青春活力的信心和决心。会后，与会人员纷纷表示，要以此次宣讲报告为契机，进一步贯彻落实好总书记在庆祝改革开放40周年大会上的重要讲话和深入推进东北振兴座谈会上的重要讲话以及考察黑龙江的重要指示精神，把力量凝聚到加快发展、推进振兴上来，以新气象新担当新作为，牢记神圣使命，发挥先锋作用，走好友好区高质量转型发展的新路，实现全面振兴全方位振兴的新境界，不断用新理念、新思路、新举措推进友好区绿色转型发展。
4,友好区在冰雪欢乐季举办“百万青少年上冰雪”活动,2018-12-28,2018-12-28,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19090.shtml,为深入贯彻落实《中共中央国务院关于加强青少年体育增强青少年体质的意见》精神和全国“百万青少年上冰雪”活动要求，12月24日下午，我区“百万青少年上冰雪”活动作为“欢乐冰雪节”的重要内容，在“欢乐冰雪节”盛大启幕中拉开序幕。“百万青少年上冰雪”活动，促进了我区冰上体育运动的开展，尤其是我区传统冰雪体育项目——速滑和雪地足球，深受学生的喜爱和家长们欢迎。第一小学的冰上跳大绳表演、第三小学的雪地球表演、第一中学的冰上拔河表演等，让学生们在冰雪中放飞自我，尽情体验冰雪活动的乐趣。近年来，友好区高度重视校园冰雪活动，把冬季冰雪活动作为体育活动的重点来抓，不断完善体育运动设施和教育教学环境，在保证安全的前提下培养孩子们勇敢、顽强、进取的品质，提高学生冰雪运动的技能。“百万青少年上冰雪”活动的开展，标志着友好区2018年冰雪体育运动的全面展开，同时，助推了冰雪运动在青少年学生中的普及，丰富了校园体育活动，为提高我区青少年身体素质，夯实冰雪后备人才提供了坚实基础，在广大青少年中营造了人人参与、各个争先、生气勃勃的冰雪运动氛围，使我区的“欢乐冰雪节”活动更加丰富多彩。
5,区委书记张延杰主持召开区委十九届35次常委（扩大）会议,2018-12-28,2018-12-28,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19089.shtml,12月26日，区委书记张延杰主持召开区委十九届35次常委（扩大）会议。区委副书记、区（局）长吴伊森，区委副书记、政法委书记孙彦全，区委副书记曹旭渴，区委常委、副区长董春江，区委常委、纪委书记、监委主任范广余，区委常委、副局长杨贵强，区委常委、组织部长冯铭华，区委常委、宣传部长王伟臣参加会议，区人大常委会主任徐宝林、区政协主席陈清林及区（局）其他副处级领导和各相关部门单位主要负责同志80余人列席会议。会上，张书记就近期的目标考核、机构改革、重大事项报告、请假和值班制度、“三节”期间活动安排、节日期间安全生产、节日期间信访稳定、科学谋划2019年工作思路和节日期间廉政建设等重点工作进行了着重的安排部署。就目标考核工作张书记强调：针对全区的党建、政治生态建设、“两个清单”以及经济指标等重点考核项目进行一次详细的盘点，针对存在的问题进一步加大推进力度。同时与上级部门积极对接，对标对表争取不留盲区和空白。就机构改革工作张书记指出：全区党员干部一定要坚决与中央、省市委保持高度一致，讲政治、讲大局、讲纪律，做到“心不慌、脚不乱”，把心思和精力放在当前的工作上，不造谣、不信谣、不传谣，积极推进、参与和配合。要在强化思想引领、政策把握、工作统筹、节奏把控上下功夫，做到有机衔接、按部就班、不散不乱。就进一步强化重大事项报告、请假和值班等制度执行力度，张书记要求：全区各单位各部门凡涉及的重大事项，必须按照规定程序及时请示和报告，并按照区委研究决定后的安排部署不折不扣地执行。因公、因私外出，必须严格按照区委出台的请销假制度执行。在“三节”期间，要强化领导带班制度，严格遵守24小时三级值班值守建议修改为制度。进一步健全完善紧急突发事件的应急处置措施、预案，全面提升快速响应、妥善应对、高效处置的能力。发生紧急突发情况，要严格按照程序第一时间进行报送，坚决杜绝迟报、漏报、瞒报现象的发生。就“三节”期间活动安排，张书记强调：系列文化活动既要本着节俭、实用的原则量力而行，又要按照“为民、利民、便民”的要求尽力而为。要加大节日期间环境卫生、冰雪清理、亮化工程和市场监管等工作力度。要把走访慰问作为调研和了解民生、民意的有效途径，使今后的工作更科学、更有效。就节日期间安全生产工作，张书记要求：坚决落实习近平总书记关于安全生产的“党政同责、一岗双责、齐抓共管、失职追责”要求，把安全生产工作当作“天字号”工程来抓。安监、交管、消防、质检、食药监等部门按照各自的工作职能，在全区范围内对企业安全生产、道路交通、人员密集场所、劳动密集型企业、易燃易爆危险品场所和食品安全等重点领域、重点行业、重点部位进行一次地毯式专项大检查，摸排要做到每一部位、每一环节都全覆盖，不留死角，不留盲点。对检查发现的问题要严格落实隐患排查整改责任清单制度，迅速、及时、彻底进行整改，做到铁面整改、铁腕整改，毫不留情，绝不允许出现任何纰漏，酿成安全事故。就节日期间信访稳定工作，张书记指出：要坚持和发扬好群众路线，处理好每一封来信、接待好每一次来访、化解好每一次上访事件，千方百计地为群众排忧解难。要注重关口前移，深入信访群众家中，了解民情和实情，有的放矢地破解信访难题。关于我区供热问题，张书记要求：主管战线领导和相关部门负责人一定要面对面地耐心细致地做好解释工作，让用热户相信区委、区政府一定会竭尽全力解决好问题，让他们安心温暖过冬。对在微信、网络上散播不实言论，蛊惑和煽动的行为，要加大监控力度和依法依规打击力度。要及时跟踪报道相关工作的进展情况，正面引导舆论。主管战线领导和相关责任部门要靠前指挥、一线作战，帮助华能公司做好供暖工作。就科学谋划好明年工作思路，张书记指出：各单位和各部门要结合解放思想推动高质量发展大讨论活动，在全面综合总结、深入调查研究的基础上，认真回顾总结一年来的成绩和不足，提出明年的新思路，找到新办法，拿出新举措。就做好节日期间的廉政建设工作，张书记要求：要把节日期间落实中央八项规定精神、纠正“四风”工作作为一项重要的政治任务，有针对性地开展节前廉洁自律教育，增强广大党员干部廉洁自律意识。各级领导干部要率先垂范，按照“一岗双责”要求切实履行全面从严治党主体责任，教育引导全体党员干部职工积极践行崇廉拒腐、尚俭戒奢的优良作风，严防“节日腐败”。纪检监察机关要加强监督检查力度，对有令不行、有禁不止、顶风违纪的行为，发现一起，查处一起。
6,友好区离退休干部党工委召开解放思想推动高发展大质量讨论动员部署会议,2018-12-27,2018-12-27,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19088.shtml,为了深入贯彻习近平总书记在深入推进东北振兴座谈会上的重要讲话和考察黑龙江的重要指示精神，全面贯彻落实上级文件精神，动员广大老离退休干部、党员与区委同频共振，进一步解放思想、转变思路、抓住机遇、跟上时代，着力破解矛盾、补齐短板、强化弱项，推动林区绿色转型、全面振兴。12月26日上午，友好区离退休干部党工委组织全区离退休党员干部召开解放思想推动高质量发展大讨论动员部署会议。会上，先后传达学习了全区解放思想推动高质量发展大讨论动员部署会议精神和友好区开展解放思想推动高质量发展大讨论实施方案。全区离退休干部党支委书记与部分离退休党员干部参加了会议。会议强调，在全区离退休党员干部中开展“解放思想推动高质量发展”大讨论活动，一要加强学习，统一思想。要组织离退休干部认真学习党的十九大精神、习近平新时代中国特色社会主义思想以及习近平总书记在深入推进东北振兴座谈会上的重要讲话和在考察黑龙江时的重要指示精神，深刻理解省委、市委、区委开展解放思想大讨论活动的重大意义。二要积极畅谈改革开放新成就。要坚持把解放思想大讨论活动与“增添正能量·共筑中国梦”和“庆祝改革开放40周年”主题活动结合起来，通过召开座谈会畅谈改革发展新变化，组织就近参观考察体验祖国发展新成就，开展健康文明活动促进社会和谐稳定，积极网上发声传播中国好声音等。三要引导老同志力所能及地发挥作用。要注重发挥老同志政治优势、经验优势、威望优势，按照自觉自愿力所能及原则，组织他们在服务全区大局、培育和弘扬社会主义核心价值观、关心教育下一代等方面发挥积极作用，为全面建成小康社会、加快现代化建设贡献智慧力量。会议还组织大家认真学习了习近平同志在庆祝改革开放40周年大会的重要讲话精神，并要求各离退休干部党支部把学习领会习近平总书记在庆祝改革开放40周年大会上的讲话精神，作为当前开展解放思想推动高质量发展大讨论活动的重要举措，抓实落靠，进一步做好离退休党员干部工作。
7,友好区召开“向人民报告请人民监督” 公开述职报告会,2018-12-27,2018-12-27,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19087.shtml,12月24日，友好区以“回应群众关切，解决突出问题”为主要内容的“向人民报告，请人民监督”公开述职报告会在区文体中心举行。53个区直、省市直参评单位、部门主要负责人围绕作风整顿，着力解决人民群众反映强烈的突出问题，围绕正确履职尽责、规范依法行政、提高服务质量等方面所做的工作、存在的问题和下步打算进行报告。区委常委、纪委书记、监委主任范广余出席报告会并讲话。会上十家单位负责人进行现场述职，随后各述职单位现场接受质询，对群众提出的热点、难点问题进行解答。本次会议邀请了部分人大代表、政协委员、政风行风监督员、党政机关干部代表、民营企业代表和社区群众代表等社会各界人士30人，作为本次会议的评议代表。评议代表根据各部门各单位日常工作以及现场答复质询情况进行打分，并现场公布了评议结果。范广余对各参评单位、部门提出几点要求：一要充分认识新形势下参评单位肩负的职责，切实增强工作的责任感和使命感。二要针对具体工作中存在的“四风”问题，认真对照检查，从小事小节抓起，从现在和身边的事做起，找准突破口，抓住关键点，推动作风建设取得明显成效。三要按照十九大作风建设新部署新要求抓整改，牢固树立参评单位廉政为民新形象。四要虚心接受、认真对待群众提出的意见和建议，正视工作中的不足，能整改的马上整改，使我们的工作在人民监督下进行，切实改进工作作风、提高服务效能，为友好区全面优化经济发展环境奠定坚实基础。
8,友好区“欢乐冰雪节”盛大启幕,2018-12-25,2018-12-25,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19086.shtml,12月24日下午14时，由中共友好区委、区政府主办的“欢乐冰雪节”在区滨水湖盛大启幕。本届“欢乐冰雪节”是贯彻落实省市关于全民健身计划，开展群众性冰雪娱乐活动的精神，满足群众多样化健身的需求，也是我区打造“魅力友好，邀您一起嗨！”冬季旅游推介的一次契机。区委书记张延杰，区委副书记、区（局）长吴伊森，区政协主席陈清林，区委副书记、政法委书记孙彦全，区委常委、副区长董春江，区委常委、组织部长冯铭华，区委常委、宣传部长王伟臣及其他相关副处级以上领导出席本次开幕式。本次欢乐冰雪节以“传承冰雪文化，促进冰雪体育发展”为主题，共有20余支队伍近800人参加。活动围绕冰雪拔河比赛、冰雪足球比赛、雪球表演赛、冰雪真人CS挑战赛等为主要内容，虽说是充满趣味性的比赛，但是比赛竞争也异常激烈，呐喊声、欢呼声让滨水湖热闹非凡，现场拉拉队个个热情高涨，呐喊助威给比赛增添了一抹亮色！从而推进全民上冰雪活动的开展，让居民、群众体验冰雪魅力、尽享冰雪欢乐、增强健康体魄，让大家尽情地徜徉在冰雪的世界里，感受这个冬天不一样的快乐。本次欢乐冰雪节的成功举办，进一步丰富了友好区冬季冰雪旅游的内涵，打造了冬季旅游新亮点，满足了群众多样化健身的需求，通过活动的举办凝聚了广大群众开启新征程共建和谐美丽友好的精神动力，讴歌新时代“魅力友好，蓝莓之乡”绿色化转型发展的浓厚氛围。
9,区政协部署在政协机关和全体委员中开展解放思想推动高质量发展大讨论活动,2018-12-24,2018-12-24,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19085.shtml,2月20日上午，区政协召开会议，传达学习全区开展解放思想推动高质量发展大讨论动员部署会议精神，研究部署在区政协机关和全体委员中开展解放思想推动高质量发展大讨论。区政协党组书记、主席陈清林主持会议并讲话。副主席邓强、曲宏展、王丽宏和政协常委参加会议。会议指出，解放思想是友好走高质量绿色转型发展之路，提高区域经济社会发展水平的迫切需要，也是谋求新时代政协工作高质量发展的需要。政协工作能不能担当新时代使命，关键看思想够不够解放。每一位政协委员、每一名机关干部都要切实提高政治站位，把自己摆进去，积极参与到大讨论中来。会议要求，要在对标一流找差距上解放思想，坚持问题导向，以争当一流、争当排头兵为目标，认真查找差距，深入剖析原因，努力补齐短板，提振干事创业精气神。要在履职尽责助发展上解放思想，在助推经济高质量发展、城市建设、改革攻坚、文化兴盛、生态环境保护、民生事业等方面倾注全力，更好发挥政协作用，以全体委员的思想大解放和政协工作的高质量发展推动全区经济社会高质量发展。会议强调，全体政协委员要进一步加强学习，准确把握开展解放思想推动高质量发展大讨论的重要意义，把落脚点放在参好政、建好言、履好职上。政协常委、机关干部特别是领导干部更要发挥好示范引领作用，要围绕即将召开的区政协十届四次会议，深入基层调查研究，为撰写好提案、举行好大会发言、参加小组讨论做好准备，同时要立足本职建功立业，争当行业的排头兵先行者，为加快“美丽新友好”高质量发展贡献智慧和力量。
10,友好区政协召开十届六次常委会议,2018-12-21,2018-12-21,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19084.shtml,12月20日上午，区政协召开十届六次常委会议。区政协主席陈清林主持会议并讲话。副主席邓强、曲宏展、王丽宏和全体常委出席会议。区委常委、副区长董春江，区委常委、副局长杨贵强，副区长刘兆华，区委第四巡察组两名同志应邀参加会议。会议学习了习近平总书记关于人民政协的新思想；传达学习区委书记张延杰同志在全区解放思想推动高质量发展大讨论活动动员部署会议上的讲话精神；讨论通过了区政协开展解放思想推动高质量发展大讨论活动实施方案；讨论通过了关于我区黑木耳种植情况、养老服务业发展情况、加快义务教育由均衡发展向优质化发展迈进、企业发展情况、贯彻落实四进清真寺情况、社区卫生服务情况等6个调研视察报告。陈清林主席就扎实开展好解放思想推动高质量发展大讨论活动强调指出，一要提高思想认识，深刻理解开展解放思想推动高质量发展大讨论的重大意义，切实增强“四个意识”、坚定“四个自信”、落实“两个维护”。二要把握重点要义，坚持问题导向，把查摆问题、解决问题贯穿大讨论的始终，把解放思想作为推动政协工作高质量发展的动力源泉。三要结合政协实际，把开展解放思想大讨论的落脚点放在参好政、建好言、履好职上，全面取得开展解放思想推动高质量发展大讨论的实践成果。
11,友好区组织收听收看全省农村厕所改造推进工作电视电话会议,2018-12-21,2018-12-21,伊春-友好日报,http://www.yhq.gov.cn/yhqrmzf/c100050/201812/19083.shtml,12月20日上午，全省农村厕所改造推进工作电视电话会议在哈尔滨召开。省委常委、省委秘书长、省委办公厅主任张雨浦出席会议并讲话。友好区委书记张延杰，区委副书记、区（局）长吴伊森，区委副书记、政法委书记孙彦全，区委常委、副局长杨贵强，副区长刘兆华及各相关单位部门主要负责同志在区委常委会议室分会场通过视频直播的形式收听收看了会议实况。会议强调，要提高思想认识，明确目标任务，坚持问题导向，切实抓好规划，加大资金支持力度，加强组织领导，落实落靠领导责任，加大宣传力度，坚决反对形式主义。以优良的作风、科学的态度、扎实的行动，坚决打好打赢农村厕所改造攻坚战。会议传达了全国农村改厕工作推进现场会精神，宣读了《农村室外卫生厕所改造专项实施方案（2018－2020）》《农村室内户厕改造及室外公共厕所建设专项实施方案（2018－2020年）》和农村改厕工作财政补助政策的说明。
