id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
8,伊春市长韩库到我市调研精准扶贫和安全生产工作,2018-12-30,2018-12-30,伊春-铁力日报,/newtlsrmzf/c104406/201812/256438.shtml,12月30日，元旦佳节前夕，伊春市长、市扶贫开发领导小组组长韩库在伊春市政府秘书长麻昌杰、市农委主任段志刚、市安监局局长冯奎阳的陪同下，利用节假日时间，轻车简从来到我市调研精准扶贫和安全生产工作。他强调，脱贫攻坚工作已经进入关键时期，要集中力量，将精准二字贯穿到脱贫攻坚工作的全过程，逐项梳理工作短板，全力做好迎检工作，以优异的成绩向组织和人民交上一份满意的答卷。市委书记史春光，市长陈岩，市领导马东升、孙大伟、胡国峰及相关单位负责人陪同调研。座谈会上，史春光就今年以来我市精准扶贫工作开展情况进行了详细的汇报，听取汇报后，韩库强调，各级各部门要高度重视，紧紧围绕省市精准扶贫考核验收的要求，全力做好相关迎检工作。目前脱贫攻坚工作已经进入到了关键时期，不容有半点差错和闪失，各级各部门要迅速进入临阵状态，既要坚持长效机制，又要坚持重点突破，以超常规的措施精准发力。各级领导干部要进入临战状态，各负其责，各司其职，深入一线去了解贫困户的实际困难、脱贫措施和基础数据，同时要详细掌握脱贫攻坚迎检考核验收的目标任务，加强学习和培训，对照目标找差距，严查自身工作中存在的问题和不足，查漏补缺，自查整改，巩固提高。要切实提高非贫困群众的满意度，村两委要充分发挥基层党组织的战斗堡垒作用，夯实基础，压实责任，将加强农村基层干部队伍建设作为一项常抓不懈的战略任务，推动各项工作任务落实落靠。要切实加强村屯环境卫生工作，整体提升农村卫生环境，驻村工作队要对贫困户及非贫困户的生活习惯进行引导，打扫好家中的环境卫生，保证能有个舒适干净的居住环境。要压实责任，精细操作，在“精准”上下更大功夫，扎实做好贫困人口识别、动态调整、扶贫档案等基础工作，补齐工作短板，找准薄弱环节，有针对性地做工作，同时要切实加大组织领导力度，动员各方力量，进一步坚定信心，确保扶贫任务圆满完成并经得起历史检验。调研中，韩库一行还深入到艾眸医疗公司的生产车间，与员工面对面，实地观看了产品的生产加工运行流程，详细了解公司安全生产工作开展情况，并随机检验了公司员工现场演示了灭火器的使用方法。韩库强调，安全生产是企业效益的重要保障，时刻不能放松，要进一步强化措施，严把安全生产关，不断强化安全生产管理，将安全生产意识贯穿于企业发展的始终，为企业发展营造良好环境。
9,市领导开展讲党课活动,2018-12-30,2018-12-30,伊春-铁力日报,/newtlsrmzf/c104406/201812/256437.shtml,为深入学习贯彻习近平总书记先后两次到黑龙江省考察调研和在深入推进东北振兴座谈会上重要讲话精神，按照省、市委关于解放思想推动高质量发展大讨论活动的部署要求，市领导分别在本单位所在党支部或党建联系点和分管战线开展了讲党课活动。12月30日，市委副书记、市长陈岩为政府办党总支党员干部上了一堂题为《清廉从政 勤勉奉公》的专题党课。市委常委、常务副市长马东升和市政府办全体党员参加了学习。陈岩从清廉从政、勤勉奉公思想的历史源流、内涵与价值、现代意义三个方面，通过借史醒今的方式深刻阐述了在全面从严治党新的历史条件下，党员干部保持清正廉洁不仅是个人的修养和价值取向，更是时代的要求、发展的需要、人民的期盼。陈岩要求，市政府办公室党员干部要当好全市政府部门的表率，在坚持清正廉洁、抓好廉洁从政方面，认识上要更深一层、要求上要更严一些、行动上要更快一步，要以国家和集体的利益为先，并注重从传统文化中汲取廉政营养，切实增强廉洁从政的思想认同；注重从党的历史中传承廉政基因，切实保持廉洁从政的政治本色；注重从工作实践中践行廉政要求，切实做到廉洁从政的知行合一。政府办党员干部要争当修身立德的表率，争当执行落实的表率，争当甘于奉献的表率，争当廉洁自律的表率。市政府办公室党员干部纷纷表示，要深入贯彻落实党的十九大精神，始终把清正廉洁作为立身之本、为政之基，自觉筑牢反腐倡廉的防线，努力在建设创新开放新高地、品质活力新铁力中干在实处、走在前列。副市长孙兰松在市民政局会议室为分管战线的党员干部做了题为《解放思想 勇于担当争做干事创业奋发有为的党员干部》的专题党课，围绕解放思想是促进高质量发展的基本要素、勇于担当是党员干部的基本素质两个方面，为广大党员干部做了党课辅导。副市长徐志国在市城管局会议室为分管战线的党员干部做了题为《实现新时代东北全面振兴》的专题党课，围绕习近平总书记对东北振兴提出新的时代课题、深刻认识习近平总书记重要讲话的重要意义、习近平总书记 就深入推进东北振兴提出6个方面的要求三个方面，为广大党员干部做了专题辅导。副市长陈剑飞在市行政服务中心会议室为分管战线的党员干部作为题为《将改革进行到底》的专题党课。围绕深刻理解全面深化改革的理论问题、准确把握全面深化改革的重大关系、始终坚持改革永远在路上三个方面做了党课辅导。
10,我市举行农村电商便民服务站迎新年活动,2018-12-28,2018-12-28,伊春-铁力日报,/newtlsrmzf/c104406/201812/256436.shtml,12月28日，铁力市农村电商便民服务站迎新年活动启动仪式在年丰乡永丰村举行。副市长陈剑飞出席活动。陈剑飞指出，农村电商便民服务站是我市惠民扶贫工程之一，电子商务便民服务站最重要的实质意义在于便民利民，解决快递物流通村难题，实现让“必需品进村、农产品进城”。市委、市政府高度重视此项工作，宗旨就是方便群众、服务农民，让改革红利惠及广大农村、农民。启动仪式上，邮政公司相关负责人对通村快递业务做了详细的讲解，电商办相关负责人介绍了活动的内容。村民们纷纷表示有了这个站点，邮寄快递不用出村，大家方便了很多。目前，全市已经实现了贫困村电商便民服务站全覆盖，下一步，我们要进一步加强政策性扶持，支持各个电商便民服务站的完善和发展，培养村民网购网销习惯，提高便民服务、就业服务和农村物流配送质量，逐步实现“购物不出村、销售不出村、生活不出村、创业不出村”，提升农村生活品质，助力农民增收致富。
11,伊春安全生产监督检查组对我市进行安全生产检查,2018-12-28,2018-12-28,伊春-铁力日报,/newtlsrmzf/c104406/201812/256435.shtml,12月27日，伊春市林管局副局长张跃文率检查组，对我市安全生产工作进行监督检查。市委常委、常务副市长马东升陪同检查。检查组一行先后来到我市双丰镇家具厂、烟花爆竹库、商业大厦、葵花药业和日月峡滑雪场进行实地督导检查。每到一处，检查组都对安全生产责任体系建设落实情况、安全隐患整改情况、安全生产教育开展情况、应急预案培训和应急演练开展情况等进行详细了解和严格检查。检查组对我市的安全生产工作给予肯定，同时希望我市在下一步的安全生产工作中提高认识，牢固树立安全生产、安全经营“红线”意识，贯彻“安全第一、预防为主、综合治理”方针，对生产中存在的不安全因素及时排查、整改漏洞，对从业人员的不安全行为及时矫正。进一步加强安全生产管理水平，逐级落实安全生产责任，将安全生产意识融入到各行各业当中去。保障各项安全生产措施有效落实，确保今冬明春安全生产形式持续稳定。
12,伊春市委第一督导组对我市深化干部作风整顿优化营商环境工作进行综合考评,2018-12-27,2018-12-27,伊春-铁力日报,/newtlsrmzf/c104406/201812/256434.shtml,12月26日，伊春市委第一督导组深入到我市，对我市2018年深化干部作风整顿优化营商环境工作进行综合考评。   汇报会上，伊春市委第一督导组听取了市委常委、组织部长孙大伟关于“我市深化干部作风整顿优化营商环境工作”的情况汇报，并详细查看了我市深化干部作风整顿优化营商环境工作的相关制度和各项佐证材料。    一年来，我市认真贯彻落实伊春市委的部署要求，扎实开展深化干部作风整顿优化营商环境工作，紧密结合“两学一做”学习教育常态化、制度化，聚焦群众反映最突出、市场主体最困扰的问题，在作风整顿上打基础、强部署、再发力。加强组织领导，确保运转有力，加强督查指导，确保工作有序，加强舆论引导，确保宣传有势，在专项清理上清顽瘴、治痼疾，出重拳。   在便民利企上抓重点、攻难点，实现新突破。全力创建“四零”服务承诺，推进“放管服”改革，打造流程串联提高效能，实施“不见面”审批，执行各级领导带班制。全市上下着力抓整改、建制度、造流程、严惩处、促改革，整顿作风工作取得了阶段性成果。     督导组对我市作风整顿工作一年来的开展情况给予充分肯定。认为我市按照上级要求，一是做到了一以贯之常态化、持久性的抓好此项工作；二是做到各项工作开展有条不紊，落的实，抓的细；三是做到规定动作不落项，自选动作有创新，并突出了实绩，收到了实效。督导组希望我市在下步工作中，能够继续总结阶段性工作经验，持续深入推进干部作风整顿优化营商环境工作。    市委干部作风整顿办公室及8个专项清理整治组相关工作人员参加了此次综合考评活动。
13,市委理论学习中心组召开集中学习会,2018-12-27,2018-12-27,伊春-铁力日报,/newtlsrmzf/c104406/201812/256433.shtml,12月27日，市委理论学习中心组召开集中学习会，市委书记史春光主持会议并讲话，市委理论学习中心组成员、各相关部门负责人参加学习会。会上，共同学习了习近平总书记在庆祝改革开放四十周年大会上的重要讲话精神。结合此次学习内容，史春光强调，要深刻领会习近平总书记关于改革开放伟大意义和深远影响的重要论述，进一步增强推进新时代改革开放的坚定性和自觉性，把握大势，抢抓机遇，始终坚持在深化改革、扩大开放中加快推进我市全面转型、全方位转型。要深刻领会习近平总书记关于改革开放伟大成就的重要论述，进一步坚定推进新时代改革开放的信心和决心，切实增强推进新时代改革开放的思想自觉、政治自觉和行动自觉。要深刻领会习近平总书记关于改革开放宝贵经验的重要论述，进一步提高对新时代改革开放科学性和规律性的认识，倍加珍惜党领导人民实行改革开放铸就的精神财富。要坚持问题导向，提高工作水平，加大工作力度，紧扣新时代要求，坚持在学习中深入思考，在学习中深化实践，对发展思路再完善，对发展目标再修订，对发展举措再创新，使我市发展思路目标任务与习近平总书记对黑龙江的特指要求相衔接，切实把习近平总书记重要讲话精神落实到各项工作中。
14,市委书记史春光主持召开十二届市委第50次常委（扩大）会议,2018-12-27,2018-12-27,伊春-铁力日报,/newtlsrmzf/c104406/201812/256432.shtml,12月27日，市委书记史春光主持召开十二届市委第50次常委（扩大）会议。市委常委修继业、孙大伟、李世伟、徐利明、张正强出席会议，市人大常委会主任王君华，市政协主席冯丹发，全市在职副处级以上领导干部及我市各相关部门负责人列席会议。会前，全体与会人员共同学习了《中华人民共和国网络安全法》。史春光要求，全市各级各部门要充分认识网络安全法制定的必要性。要认真学习和遵守网络安全法相关规定，用好网站、微信等信息媒体，围绕群众关心的热点事件和复杂敏感问题，用正确的思想、准确的事实，解疑释惑，牢牢掌握舆论特别是网络舆论主导权。会上，讨论并原则通过了“最美铁力人”颁奖仪式预案、《铁力市关于进一步激励全市干部新时代新担当新作为的若干措施》《铁力市关于适应新时代要求大力发现培养选拔优秀年轻干部的实施意见》。就做好“最美铁力人”颁奖仪式工作，史春光强调，各基层党委要严格把关，通过弘扬树立先进典型，做到群众信服、百姓满意，感染带动更多的人向优秀典型学习，进一步促进乡风文明、社会主义核心价值观等活动深入人心。妇联、共青团等群团组织要切实发挥作用，教育引导妇女同志提倡引领婚丧嫁娶新风尚。各相关部门要精心谋划，切实做好典型表彰奖励工作。就做好我市关于发现培养选拔优秀年轻干部工作，史春光强调，要解放思想，积极讨论，勇于突破体制机制障碍，加大人才引进力度，注重年轻干部的培养锻炼。编办、人社等部门要高度重视，认真研究，制定出合理的吸引人才、培养人才、留住人才的可操作性办法，为人才发挥聪明才智创造良好条件，进一步激发干部创业干事热情，为铁力发展注入源源不断的动力。双节将至，为确保全市人民渡过欢乐、祥和、安定的节日，史春光强调，一方面，要统筹协调好节假日各项民生保障工作。安监、消防部门要加大节假日期间安全检查力度；公安部门要维护好公共秩序；信访部门要做好节假期时间信访维稳工作；各乡镇、各部门要盯紧信访重点人群，确保全市信访稳定；城管、市监、发改、卫计等相关部门要确保节假日水、电、气以及各类生活必需品稳定供应；农牧业局要做好疫情防控工作，确保全市食品安全。另一方面，全市各级机关干部要严守政治规矩、严肃工作纪律。各部门、各乡镇要做好节假日期间值班值宿工作；外出要履行请销假报告制度，时刻按照十项规定严格要求自己。同时，市纪委监委要切实负起责任，加大节假日工作纪律监督检查力度，充分发挥巡视监督作用，切实保障全市工作纪律。
15,省委宣传部到我市督导检查社会主义核心价值观融入法制建设工作,2018-12-25,2018-12-25,伊春-铁力日报,/newtlsrmzf/c104406/201812/256431.shtml,12月24日，省委宣传部督导检查组在伊春市有关部门负责人陪同下，到我市就社会主义核心价值观融入法制建设工作进行督导检查，市委常委、宣传部长徐利明及相关部门负责人陪同检查。省委宣传部督导检查组一行先后深入到市第四小学、市图书馆、博物馆、工农乡北星村，市行政服务中心等地进行实地督导检查，每到一处，检查组都通过观看“法制建设”专题片、查阅资料、听取汇报、实地走访等形式进行督导检查。    省委宣传部督导检查组对我市社会主义核心价值观融入法制建设工作给予了充分肯定。同时指出，铁力市在社会主义核心价值观融入法制建设工作中认识站位有高度、工作部署思路清晰，落实到位，成效显著，工作开展有创新、有亮点。督导检查组强调，在社会主义核心价值观融入法制建设工作中，要在组织实施、教育实践和文化培育等方面再下功夫，既注重宣传普及、也要重视细节深入，切实把社会主义核心价值观融入思想，融入到各行各业当中去。督导检查组希望我市各部门要以此次检查为契机，进一步加大工作力度，凝聚共识，确保社会主义核心价值观融入法制建设工作取得实效，为我市经济社会发展营造良好的法制环境。
16,市委书记史春光为全市党员干部讲党课,2018-12-25,2018-12-25,伊春-铁力日报,/newtlsrmzf/c104406/201812/256430.shtml,按照省、市委关于解放思想推动高质量发展大讨论活动的部署要求，为进一步动员我市上下迅速掀起解放思想热潮，12月24日，市委书记史春光到市委党校基层远教站点，围绕学习贯彻习近平总书记先后两次到我省考察调研和在深入推进东北振兴座谈会上重要讲话精神，为全市党员干部上了一堂题为《解放思想强化执行真抓实干汇聚铁力振兴发展新力量》的专题党课。史春光指出，我们党的建设发展历程就是牢牢把握了思想解放的历史传承。解放思想、与时俱进，是40年来中国共产党最鲜明的时代特征，也是中华民族和全体中国人民最突出的精神特质，解放思想、开拓创新已然成为当代中国的最强音。史春光强调，要以习近平总书记重要指示精神为核心引领，聚焦怎么办，深入开展大讨论活动。一是聚焦问题导向解放思想，在解放思想中明辨我市落后之困因、审视资源之优势、汇聚转型之潜力，坚持聚焦伊春看铁力、对标先进创一流，进一步树牢新发展理念，不断以新气象新担当新作为开创铁力全面转型、全方位转型新局面。二是聚焦自上而下解放思想，要有等不起的紧迫感、慢不得的危机感、坐不住的责任感，认清发展趋势，把握发展大势，跟上时代步伐，推动解放思想不断向纵深开展。三是聚焦群众满意解放思想，坚持问题导向、聚焦群众关切的十个共性问题清单，各单位部门和乡镇要结合实际查摆存在的问题，列出问题清单，制定整改台账，明确时间表、任务书、责任人，坚持挂图作战，确保活动取得实实在在的成果。史春光要求，全力加快干，用思想大解放强化执行力，推动铁力实现高质量发展。要务实担当，做埋头苦干的真把式，以不破法规破常规的思维、理念和务实管用的招法、举措，全力破解各种瓶颈和难题。要勤勉高效，做雷厉风行的快把式，强化协同联动，坚持谋划在前，紧紧围绕全市振兴发展大局，做到推行举措“实打实”，落实工作“硬碰硬”。要严谨细致，做追求卓越的好把式，对工作每个环节和步骤都要仔细揣摩、反复研究、慎之又慎，不断在严谨中成长，在精细中出彩。树立正确政绩观，让实干者得实惠，沉下心思工作，在全市上下形成更加和谐、更加浓厚的干事创业氛围，不断汇聚铁力振兴发展的磅礴力量，解放思想、强化执行、真抓实干，奋力谱写好新时代铁力振兴发展崭新篇章。此次专题党课依托党员干部现代远程教育视频平台进行了直播，实现了“一站授课，全市直播”。我市现职副处级以上党员领导干部、各乡镇及各单位负责同志在党校主会场参加了学习辅导，全市各单位干部职工利用远程教育视频平台分别在分会场收听收看了辅导。
17,我市召开市级河流“一河一策”实施方案审查会议,2018-12-25,2018-12-25,伊春-铁力日报,/newtlsrmzf/c104406/201812/256429.shtml,12月24日，我市召开市级河流“一河一策”实施方案审查会议。副市长胡国锋出席会议，市河长制办公室、市相关部门专业技术人员参加会议。会议听取了省水利水电勘测设计研究院专家就我市市级河流“一河一策”实施方案编制说明。按照省河长制办公室关于编制“一河一策”的工作部署，今年我市聘请了省水利水电勘测设计研究院对行政区域内流域面积在50平方公里以上的呼兰河、依吉密河等14条河流开展了“一河一策”编制工作。编制工作从收集资料、实地查勘和内业编制用时7个月的时间，分别从河流水资源保护、水域岸线管理、水污染防治、水环境治理、水生态修复和执法监督等六个方面存在的问题进行了分析梳理，并编制“一河一策”实施方案。与会人员进行了认真细致的审查，对该方案给予充分肯定，同时也提出了有针对性的修改意见和建议。胡国锋要求，编制单位要认真研究国家、省级相关指标，因地制宜，因河施策，确保编制方案具有统一性、科学性、可操作性。各有关部门要高度重视“一河一策”的编制工作，进一步落实责任，相互配合；要及时反馈相关意见和建议，进一步完善“一河一策”方案内容。
