id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
6,献血救人 善小爱仁——市城管局开展无偿献血志愿服务活动,2018-12-21,2018-12-21,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201812/t20181221_1251025.htm,"２０１８年１２月１９日，市城管局组织党员志愿者开展无偿献血活动。

 
　　市城管局党总支书记、局长吴绍文带队并参与。５名党员志愿者按照约定时间，早上９点准时到达市中心血站。

　　经过严格的体检、登记和血液采样检验后，５名党员志愿者全部参加了献血，总计献血量１８００毫升。

　　献血现场，每位志愿者都表现得非常积极，微笑挂在脸上，爱心写在心中。

　　吴绍文局长表示，无偿献血不只是献出一份爱心，更是全社会公民的义务与责任，今后还将继续参与无偿献血活动，并在城管队伍中大力宣传无偿献血的作用和意义，动员更多的同志参与无偿献血，为社会奉献爱心和力量。"
7,三明市人防办开展行政执法检查,2018-12-16,2018-12-16,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201812/t20181216_1249452.htm,"三明市人防办于12月3日至13日，由市人防办副调研员朱长根带领办执法支队，对我市各县（市、区）人防办行政执法情况进行检查督导。
　　检查过程中，分别抽查了辖区内在建人防工程和已投入使用的人防工程22个，检查组通过采取查阅资料、现场指导、着重把发现问题、解决问题作为检查的出发点和落脚点。针对检查过程中发现的问题，要求及时现场纠错，对不能及时改正的要求限时整改。
　　通过此次行政执法检查，增强了人防执法建设，提高了依法行政水平，为建设法治人防打牢了坚实的基础。
（三明市人防办 李绛） 
2018年12月13日"
8,三明市永安总医院总院区40项新技术新项目获准入,2018-12-07,2018-12-07,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201812/t20181207_1240843.htm,".TRS_Editor P{font-family:仿宋;font-size:14pt;}.TRS_Editor DIV{font-family:仿宋;font-size:14pt;}.TRS_Editor TD{font-family:仿宋;font-size:14pt;}.TRS_Editor TH{font-family:仿宋;font-size:14pt;}.TRS_Editor SPAN{font-family:仿宋;font-size:14pt;}.TRS_Editor FONT{font-family:仿宋;font-size:14pt;}.TRS_Editor UL{font-family:仿宋;font-size:14pt;}.TRS_Editor LI{font-family:仿宋;font-size:14pt;}.TRS_Editor A{font-family:仿宋;font-size:14pt;}


.TRS_Editor P{font-family:仿宋;font-size:14pt;}.TRS_Editor DIV{font-family:仿宋;font-size:14pt;}.TRS_Editor TD{font-family:仿宋;font-size:14pt;}.TRS_Editor TH{font-family:仿宋;font-size:14pt;}.TRS_Editor SPAN{font-family:仿宋;font-size:14pt;}.TRS_Editor FONT{font-family:仿宋;font-size:14pt;}.TRS_Editor UL{font-family:仿宋;font-size:14pt;}.TRS_Editor LI{font-family:仿宋;font-size:14pt;}.TRS_Editor A{font-family:仿宋;font-size:14pt;}

　　11月28日，从三明市永安总医院总院区医务部获悉，经过前期的初审和论证之后，总院区共有40项技术作为2018年的新技术新项目获得准入。 

　　此次新技术新项目共申报56项，经过初审，入围52项。针对入围的项目，通过PPT由负责人解说5分钟，评委提问5分钟的方式进行听证，并在院纪检委的监督下进行现场打分。 
　　10月24日、26日、31日的下午，从医疗技术临床应用管理委员会和医学伦理委员会成员中抽取12人组成评委，对新技术新项目进行听证。根据听证的结果，经过医疗技术临床应用管理委员会研究讨论，最终40项新技术新项目获得准入。尚未准入的12项新技术新项目因设备、人员等因素，将作为2019年新技术新项目获准入。 
　　为进一步提高医疗质量，保障医疗安全，今年8月总院区重新修订了《新技术新项目准入制度》，增加了新技术新项目准入的PPT论证环节，进一步规范了新技术、新项目的申报和审批流程，完善了新技术新项目的临床应用，同时也为申报上级部门的新技术新项目打下了坚实的基础，有利于推进新技术新项目整体的医疗技术水平，促进医院医疗技术的发展。(刘秋曼 张春妹)"
9,三明市人防办开展防空警报操作系统业务培训,2018-12-06,2018-12-06,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201812/t20181206_1240390.htm,"12月18日为我市警报试鸣日，为提高我办相关技术人员技术水平，我办组织相关工作人员开展防空警报操作系统业务培训。此次培训，由警报器生产厂家的专业技术人员在现场进行理论讲解、操作示范，对防空警报器的常见故障与维修方法等方面都进行了细致的分析，提出了解决办法。经过培训，参训人员都觉得收获颇丰，进一步了解了警报系统的操作规范，熟悉了相关的日常维护工作流程和要点。
　　（三明市人防办 林沅辉）"
10,我市2018年创业致富带头人培训工作圆满完成,2018-11-28,2018-11-28,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201811/t20181128_1237569.htm,"11月24日，全市贫困村创业致富带头人培训班第二期顺利结业，至此，我市2018年贫困村创业致富带头人培训任务全部完成。
　　全市贫困村创业致富带头人培训班分两期举办，每期培训6天，共计培训102人，重点围绕乡村振兴战略、农产品质量安全、家庭农场经营管理、农产品营销与农村电子商务等方面开展培训，帮助贫困村创业致富带头人进一步创新创业思路，充分发挥示范效应，帮助贫困对象增收脱贫。培训采取集中授课和现场教学方式相结合，主要是提升致富带头人实用技能和带动能力水平，促进吸纳更多的贫困人口实现就业，增加收入，稳定脱贫，推动我市脱贫攻坚工作取得实效。"
11,三明市人民防空办公室开展年度“双随机”检查工作,2018-11-23,2018-11-23,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201811/t20181123_1235891.htm,"根据我办年度工作计划要求，2018年11月19日至22日，我办罗兴木副主任带队开展年度“双随机”检查工作，分别对泰丰人防设备厂、合力人防设备厂、瀚林人防设备厂、厦门勤奋建设工程监理有限公司、福州诺诚监理有限公司进行企业从业行为进行从业行为监督检查。本次检查主要采取现场检查、内业资料查阅、仪器测试等方法，发现并记录各企业在现场从业行为问题。我办将针对检查过程中检查组发现的防护设备企业及监理企业从业行为存在问题进行公示，并根据相关法律法规进行处罚。
　　三明市人民防空办公室
　　2018年11月23日"
12,三明市国资委出资企业2018年1-10月份资产及经营情况,2018-11-22,2018-11-22,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201811/t20181122_1235457.htm,截止10月末，纳入市国资委快报统计的29户出资企业，主营业务收入37.8亿元，同比增长15.31%；实现利润27783万元，同比增长8%；出资企业资产总额达600.82亿元，同比增长4.8%；净资产325.83亿元，同比增长3.48%。
13,全市卫计系统第二届全民健身运动会篮球比赛在永安举办,2018-11-21,2018-11-21,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201811/t20181121_1235066.htm,".TRS_Editor P{font-family:仿宋;font-size:14pt;}.TRS_Editor DIV{font-family:仿宋;font-size:14pt;}.TRS_Editor TD{font-family:仿宋;font-size:14pt;}.TRS_Editor TH{font-family:仿宋;font-size:14pt;}.TRS_Editor SPAN{font-family:仿宋;font-size:14pt;}.TRS_Editor FONT{font-family:仿宋;font-size:14pt;}.TRS_Editor UL{font-family:仿宋;font-size:14pt;}.TRS_Editor LI{font-family:仿宋;font-size:14pt;}.TRS_Editor A{font-family:仿宋;font-size:14pt;}



图为开幕式现场
　　11月15-18日，全市卫计系统第二届全民健身运动会篮球比赛在永安举办，市卫计委副主任于修芹、茅声禄，永安市副市长郑晓英，市卫计委副调研员王贞阳、张清辉，三明市永安总医院院长陈少华，永安卫计局局长张金锻等到场指导。来自全市卫计系统23支代表队240余名运动员参加比赛。 

图为比赛现场
　　此次篮球比赛，根据CBA篮球规则，每场比赛共分四节，每节十分钟。四节结束比分相同加赛五分钟。比赛分两个阶段进行，第一阶段参赛队分成六个小组循环，决出各小组的第一名进入第二阶段的交叉淘汰赛，获胜队通过循环赛，决出前3名，负队也通过循环赛决出4～6名。从11月15日晚7点开赛至18日下午4时圆满收官。 

　　赛场上，每支代表队全力拼搏，不甘示弱，争夺异常激烈。年轻有年轻的活力与勇猛，老者有老者的风采与沉稳，既打出友谊，又赛出风格，卫生计生系统不肯言败、不肯服输的精气神展现得淋漓尽致，全民健身的意义也尽收眼底。 

　　经过42场的激烈较量，三明市永安总医院、沙县卫计局、三明市第一医院、泰宁县卫计局、大田县卫计局、梅列区卫计局以其超群的技艺，一往无前的气势，敢打敢拼的精神勇夺比赛第一至第六名。（张春妹） 


图为颁奖现场"
14,市质监局第三支组织学习新修订的《中国共产党纪律处分条例》,2018-11-21,2018-11-21,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201811/t20181121_1234973.htm,"为了认真贯彻落实党要管党、从严治党的要求， 11月16日，市局第三支部邀请市局机关党委专职副书记伍鹏给支部党员上党课。
　　会上，伍鹏讲解了新修订的《中国共产党纪律处分条例》的主要内容，对《条例》中规定的政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律和生活纪律等六大类纪律进行了解读。要求每位党员深刻领会《条例》的主要内容和精神实质，用《条列》来规范、约束自己的言行举止，把握内涵、自觉遵守，从细小抓起，从日常严起，积极传播正能量，时刻保持清醒的头脑，真正把纪律挺在前面，立起来、严起来，执行到位，为质监事业发展贡献智慧和力量。
　　支部人员纷纷表示一定要认真学习新修订党纪处分条例，严格遵守，切实履行，真正做到内化于心、外化于行，在工作与生活中，把纪律和规矩挺在前面，切实维护党章和其他党内法规的权威性、严肃性，以“粉身碎骨浑不怕”的精神来恪守“廉洁”二字，常怀律己之心、常思贪欲之害，时刻牢记党的纪律。"
15,三明市人防办举办《习近平新时代中国特色社会主义思想三十讲》心得交流会,2018-11-19,2018-11-19,三明日报,http://www.sm.gov.cn/zw/zwxx/sjdt/201811/t20181127_1236937.htm,"自读书活动开展以来我办高度重视、严格落实学习计划安排，11月16日下午，三明市人防办举行《习近平新时代中国特色社会主义思想三十讲》为主题的心得交流会。此次交流会活动旨在深化“注重融会贯通、做到学以致用，把学习贯彻习近平总书记系列重要讲话精神引向深入”系列主题心得交流，从多角度、多层次、多方面提出自己的见解与体会。这样的活动有助于推动学习往心里走、往实里走、往深里走，真正做到把理论内化于心、外化于行。
　　（三明市人防办 林沅辉）"
