id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
1,国内首个“权责清单管理”地方标准通过审定,2018-12-31,2018-12-31,南平日报,https://www.np.gov.cn//cms/html/npszf/2019-01-01/1151295620.html,"20日，市委编办（市审改办）传来好消息，我市申报的《政府部门权责清单管理规范》省地方标准顺利通过省市场监管局组织的专家组审定，这是今年我市第4项涉及“放管服”改革的省地方标准通过审定。“放管服”改革的目的是让权力瘦身、市场强身、百姓受益。作为“放管服”改革的“先手棋”，我市坚持以便民利民为出发点，立足以标准化促规范化，大力开展行政审批服务标准化建设，不断提升政务服务信息化、便民化水平。
今年4月，市委编办（市审改办）开始牵头起草《政府部门权责清单管理规范》省地方标准，历时8个月完成。该标准总结了我市乃至我省推进权责清单工作过程中的先进做法，借鉴吸收国内10多个兄弟省份的清单管理模式，广泛征求全省意见，并主动对接省委编办、省审改办、省市场监管局和省标准化研究院，通过明确权责清单管理中涉及的术语和定义、管理原则与要求、编制与公布、动态调整、实施、信息化管理和监督管理等内容，推动我省打造政府履职尽责的“一张”总清单，实现通用清单和实施清单“两单”阳光运行，推进权责清单与部门“三定”规定相衔接以及省市县乡四级权责清单“四级四同”，进一步厘清横向各政府部门间和纵向政府系统内不同层级间的职责边界。
“这项标准属国内首创，实现了我省‘放管服’改革标准研制方面的突破，填补了国家标准化库的空缺。”标准审定组组长、福州大学公共管理学院院长叶先宝教授表示，该标准对推动我省“互联网+政府服务”建设、打造福建“3.0版”权责清单以及充分发挥权责清单制度在深化简政放权、推进政府职能转变、推进政府治理体系和治理能力现代化的基础性作用，具有重要的指导意义和应用价值。
近年来，市委编办（市审改办）、市工商局、市行政服务中心、市质监局等部门切实发挥“放管服”改革标准化建设牵头单位作用，积极参与省地方标准制修订工作，创新推进“放”“管”标准化工作，提升“服”的实效，优化营商环境。目前，我市共有《政府部门权责清单管理规范》、《政府部门“双随机、一公开”抽查工作规范》、《政务服务一网通办窗口集成服务规范》和《政务服务一网通办平台建设》4项省地方标准通过审定，居全省各设区市首位。

                      
扫一扫在手机打开当前页"
2,30日，邵武市通泰小学分校建设项目工地上，工人在搭脚手架,2018-12-31,2018-12-31,南平日报,https://www.np.gov.cn//cms/html/npszf/2019-01-01/60947617.html,"30日，邵武市通泰小学分校建设项目工地上，工人在搭脚手架。该项目是南平市重点项目，也是邵武市加快城市化建设步伐、方便片区及周边居民子女就近入学的民生工程。项目于2018年9月5日正式开工建设，预计春节前所有建筑主体将完成封顶。

                      
扫一扫在手机打开当前页"
3,建瓯笋竹产业链 互联网平台上线,2018-12-31,2018-12-31,南平日报,https://www.np.gov.cn//cms/html/npszf/2018-12-31/1224533229.html,"近日，建瓯笋竹产业链互联网平台上线，并推出建瓯市“武夷品牌”笋竹推广认证标识“100%南平笋”，标志着建瓯市“武夷品牌”建设迈出了关键性一步。 
今年以来，建瓯市按照全市武夷品牌建设工程的战略部署，结合2016年省发改委和省财政厅启动的首批“互联网+笋竹”区域化链条化试点县工作，加快推进运用互联网平台及工具，整合线上线下资源，对建瓯笋竹全产业链进行改造升级，依托慧眼食珍(建瓯)网络科技有限公司打造了建瓯笋竹产业链互联网平台，该平台主要包括笋竹大数据中心、笋竹产业公共服务平台、笋竹质量追溯平台、笋竹在线交易平台、笋竹云供应链平台、笋竹网络众包设计平台等。其中，笋竹质量追溯平台，是建瓯市管控全市笋竹全产业链产品品质的重要平台。它将全市笋竹种植户、种植基地、加工企业、科研单位、经销商均纳入信息体系，可实现笋竹产品质量溯源的信息化、科技化、智能化，做到产品质量源头管控。 
据了解，建瓯市将以天添食品有限公司作为产业及产品研发的示范点，依托运营服务平台，鼓励和带动其他企业提高生产技术和产品创新能力，进一步提升区域产品附加值。目前，建瓯笋竹产业链互联网平台已有效对接笋竹企业156家，近期陆续录入每个企业的产品品控追溯信息，2019年3月份可完成终验，正式运营。 
（林梦琳 魏剑生） 

                      
扫一扫在手机打开当前页"
4,国内首个“权责清单管理”地方标准通过审定,2018-12-31,2018-12-31,南平日报,https://www.np.gov.cn//cms/html/npszf/2018-12-31/385680334.html,"20日，市委编办（市审改办）传来好消息，我市申报的《政府部门权责清单管理规范》省地方标准顺利通过省市场监管局组织的专家组审定，这是今年我市第4项涉及“放管服”改革的省地方标准通过审定。 
“放管服”改革的目的是让权力瘦身、市场强身、百姓受益。作为“放管服”改革的“先手棋”，我市坚持以便民利民为出发点，立足以标准化促规范化，大力开展行政审批服务标准化建设，不断提升政务服务信息化、便民化水平。 
今年4月，市委编办（市审改办）开始牵头起草《政府部门权责清单管理规范》省地方标准，历时8个月完成。该标准总结了我市乃至我省推进权责清单工作过程中的先进做法，借鉴吸收国内10多个兄弟省份的清单管理模式，广泛征求全省意见，并主动对接省委编办、省审改办、省市场监管局和省标准化研究院，通过明确权责清单管理中涉及的术语和定义、管理原则与要求、编制与公布、动态调整、实施、信息化管理和监督管理等内容，推动我省打造政府履职尽责的“一张”总清单，实现通用清单和实施清单“两单”阳光运行，推进权责清单与部门“三定”规定相衔接以及省市县乡四级权责清单“四级四同”，进一步厘清横向各政府部门间和纵向政府系统内不同层级间的职责边界。 
“这项标准属国内首创，实现了我省‘放管服’改革标准研制方面的突破，填补了国家标准化库的空缺。”标准审定组组长、福州大学公共管理学院院长叶先宝教授表示，该标准对推动我省“互联网+政府服务”建设、打造福建“3.0版”权责清单以及充分发挥权责清单制度在深化简政放权、推进政府职能转变、推进政府治理体系和治理能力现代化的基础性作用，具有重要的指导意义和应用价值。 
近年来，市委编办（市审改办）、市工商局、市行政服务中心、市质监局等部门切实发挥“放管服”改革标准化建设牵头单位作用，积极参与省地方标准制修订工作，创新推进“放”“管”标准化工作，提升“服”的实效，优化营商环境。目前，我市共有《政府部门权责清单管理规范》、《政府部门“双随机、一公开”抽查工作规范》、《政务服务一网通办窗口集成服务规范》和《政务服务一网通办平台建设》4项省地方标准通过审定，居全省各设区市首位。 
（卢国华 陈堃 喻洁） 2018-12-31 00:00:00:0我市“放管服”改革标准化工作有新突破13649022国内首个“权责清单管理”地方标准通过审定/enpproperty-->

                      
扫一扫在手机打开当前页"
5,新年戏曲晚会在京举行,2018-12-31,2018-12-31,南平日报,https://www.np.gov.cn//cms/html/npszf/2018-12-31/1486415953.html,"新华社北京12月29日电 （记者吴晶 施雨岑）2019年新年戏曲晚会29日晚在国家大剧院举行。党和国家领导人习近平、李克强、栗战书、汪洋、王沪宁、赵乐际、韩正、王岐山等，与首都近千名群众一起观看演出，喜迎新年的到来。 
国家大剧院华灯璀璨，剧场内座无虚席、暖意融融。19时45分，习近平等党和国家领导人来到晚会现场，同前来观看演出的老艺术家们握手问候，全场响起热烈掌声。 
檀板弦歌贺新岁，古韵时调颂升平。喜庆祥和的戏曲合唱《百戏贺岁》拉开整场晚会的序幕。扬剧小戏《夫妻哨》和黔剧《天渠》选段，表现以守岛英雄王继才、“当代愚公”黄大发为代表的新时代共产党人“不忘初心、牢记使命”的崇高境界。《吕布试马》《鹏举儿站草堂听娘言讲》《郎对花姐对花》《天上掉下个林妹妹》等经典唱段文武兼备，武戏组合《沙场练兵》英姿飒爽，展现京剧、昆剧、河北梆子、黄梅戏、沪剧、越剧、楚剧、粤剧、秦腔、豫剧等多个代表性剧种的深厚历史与独特神韵。《清早起来什么镜子照》《今日痛饮庆功酒》等少儿戏曲联唱，彰显戏曲艺术后继有人的喜人气象。京剧《红军故事·半条棉被》片段讲述长征路上军民鱼水情深的感人故事，唤起观众对红军精神、长征精神的崇敬缅怀，激发人民对走好新时代长征路的豪情壮志。艺术家们的精湛表演，引来观众们的阵阵喝彩。“中华儿女多壮志，砥砺奋进盛世开……”戏歌《向未来》激昂有力，唱出亿万人民在以习近平同志为核心的党中央引领下，为决胜全面建成小康社会、实现中华民族伟大复兴中国梦不懈奋斗的坚定信念。 
整台晚会名家荟萃，优秀传统剧目与近年来原创佳作相结合，体现了新时代中国戏曲人聚焦现实题材的创作和以人民为中心的导向。 
在京中共中央政治局委员、中央书记处书记，全国人大常委会部分领导同志、国务委员、全国政协部分领导同志，有关部门负责同志观看演出。 2018-12-31 00:00:00:0习近平李克强栗战书汪洋王沪宁赵乐际韩正王岐山出席观看13648022新年戏曲晚会在京举行/enpproperty-->

                      
扫一扫在手机打开当前页"
6,“橄榄绿”变“火焰蓝”,2018-12-30,2018-12-30,南平日报,https://www.np.gov.cn//cms/html/npszf/2019-01-01/1844842727.html,"“我志愿加入国家消防救援队伍，对党忠诚、纪律严明、赴汤蹈火、竭诚为民……”12月29日，南平消防救援支队举行迎旗、授衔和换装仪式。100名身着新式制服的消防救援人员整齐列队，面对“中国消防救援队”队旗庄严宣誓。近年来，全市消防救援队伍围绕市委、市政府的部署要求，聚焦防控风险、主动服务发展，着力改革创新、夯实基层基础，有力推进火灾防控、应急救援和队伍建设各项工作创新发展，以忠诚的政治品格、强烈的担当精神和顽强的战斗意识，谱写了一曲又一曲“人民消防为人民”的赞歌。从“橄榄绿”换成“火焰蓝”，全市消防救援队伍正以崭新的面貌展现在闽北人民面前。
市委常委、常务副市长伍斌出席仪式。伍斌代表市委、市政府向长期战斗在防火、灭火和抢险救援一线、为全市经济社会发展保驾护航的广大消防指战员表示感谢。他说，授衔换装后，希望全市消防救援队伍要牢记嘱托，自觉践行习近平总书记训词精神，筑牢对党忠诚的建队之魂；要严格队伍管理，坚定纪律严明的治队之要；要苦练业务本领，夯实赴汤蹈火的立队之基；要不负群众期盼，践行竭诚为民的兴队之本，为全市经济社会发展创造良好的消防安全环境。

                      
扫一扫在手机打开当前页"
7,全力打赢行政中心搬迁攻坚战,2018-12-30,2018-12-30,南平日报,https://www.np.gov.cn//cms/html/npszf/2019-01-01/1193935301.html,"29日，市行政中心搬迁工作动员大会在武夷新区召开，市长刘洪建出席会议并讲话。他强调，全市上下要坚持以习近平新时代中国特色社会主义思想为指导，按照国务院的批复精神和市第五次党代会的部署要求，迅速行动起来，进一步统一思想、凝聚共识，不畏艰难、锐意进取，坚决打赢行政中心搬迁的攻坚战，全力加快绿色发展推动高质量发展落实赶超。市领导丘毅、潘剑才、严明出席会议。刘洪建指出，各级各部门必须提升站位、统一认识，深刻认识到行政中心搬迁有利于发挥我市区位优势、绿色生态优势和武夷山“双世遗”、国家公园体制试点的品牌优势，大力发展新经济新产业新业态，开辟绿水青山转化为金山银山的有效路径，提升广大人民群众的幸福感、获得感、安全感，全面推动富美新南平建设。
刘洪建强调，当前，我市已迎来了加快行政中心搬迁的重要历史机遇期，市直各有关部门必须紧紧抓住机遇，主动担当、主动作为，坚决服从行政中心搬迁的发展大局。要全体总动员、全身心投入，根据职能定位，发动所有力量，调动一切资源，集中精力突破武夷新区产业发展、规划建设、城市管理、项目征迁等重点难点工作。要融入主战场、大兵团作战，打破区域、部门界线，服从指挥、统一调度，捆绑运作、协同推进，形成同心同德、合力攻坚的强大态势。要冲锋在一线、干出新业绩，既当指挥员、又当战斗员，实打实了解情况、研究决策，一级带着一级干、一级干给一级看，以抓铁有痕、踏石留印的韧劲，攻下一批项目、解决一批问题、办成一批大事。
刘洪建要求，各级各有关部门必须牢固树立“一盘棋”思想，切实强化服务、强化保障，努力让干部“安”下来、让力量“强”起来、让氛围“热”起来，确保行政中心搬迁各项工作顺利推进。
会后，与会人员实地察看了赤岸统建房过渡办公场所等。

                      
扫一扫在手机打开当前页"
8,全市安全生产工作视频会议召开,2018-12-30,2018-12-30,南平日报,https://www.np.gov.cn//cms/html/npszf/2019-01-01/694054873.html,"12月29日，在收听收看全省安全生产紧急视频会议后，我市紧接着召开全市安全生产工作视频会议。会议指出，各级各部门要防患于未然，切实做好岁末年初安全生产工作。要实行最严格的安全生产执法检查，严格落实地方党政领导干部安全生产责任制规定，层层落实监管责任，各执法队伍要加密安全生产检查频次，强化监管执法，严格考核问责。要执行最严格的点对点排查整治，市、县两级要建立安全隐患排查整治和风险防控的动态机制，全面加强道路交通、建筑施工、人员密集场所、危险化学品、烟花爆竹、工矿商贸、旅游、教育、森林防火等重点行业领域专项整治，做好极端天气的防范工作。
会议强调，要采取最严格的公交客运安全措施，对安全隐患再排查、再治理，压实行业、企业属地责任。要建立最严格的安全生产落实督导机制，迅速整治隐患，严查风险。要加强春节和“两会”期间应急值守，严格执行安全生产调度值班和领导带班制度，进一步加强灾害性天气预报、预警、预防工作，进一步完善应急预案，做好应急组织机构、救援队伍、装备、物资等应急资源的落实，严格落实事故信息报告制度，完善应急协调联动和快速反应机制。
市委常委、常务副市长伍斌出席会议。

                      
扫一扫在手机打开当前页"
9,南龙铁路正式通车,2018-12-30,2018-12-30,南平日报,https://www.np.gov.cn//cms/html/npszf/2019-01-01/446175174.html,"29日上午，南（平）龙（岩）铁路正式开通运营，连接福建各地市的快速铁路环线封“口”成形，延平西站也迎来首批旅客。
南龙铁路是国家铁路网杭广铁路和福建省“三纵六横九环”铁路网的重要组成部分，与合福高铁、杭深铁路、龙厦铁路共同构成福建省内高等级快速铁路环状通道。南龙铁路北起南平，南抵龙岩，线路全长248.1公里，设计时速200公里，沿线设有南平北、延平西、三明北等9个车站，于2013年12月动工建设，2018年9月联调联试，11月30日试运行,12月29日正式开通运营。开通后，南平至龙岩、龙岩至福州的最快旅行时间分别由之前的3.5小时和3小时压缩至1.5和2小时。
南龙铁路是沟通福建山区与沿海经济发达地区的重要纽带，它的建成通车，进一步完善了福建省内路网布局，改善了闽中及闽西北铁路出行条件，进一步带动了区域经济协调发展，对促进海峡西岸经济区先行发展，加强城市经济群间人流、物流、资金流沟通往来具有重要意义。
延平西站站长林明财介绍说，延平西站目前处于过渡期，仅有11趟列车停靠延平西站，2019年1月5日运行新的铁路运行图后，将有21趟列车停靠延平西站。

                      
扫一扫在手机打开当前页"
10,全国政协举行新年茶话会,2018-12-30,2018-12-30,南平日报,https://www.np.gov.cn//cms/html/npszf/2018-12-30/1592335478.html,"新华社北京12月29日电 中国人民政治协商会议全国委员会12月29日上午在全国政协礼堂举行新年茶话会。党和国家领导人习近平、李克强、栗战书、汪洋、王沪宁、赵乐际、韩正、王岐山等同各民主党派中央、全国工商联负责人和无党派人士代表、中央和国家机关有关方面负责人以及首都各族各界人士代表欢聚一堂，喜迎2019年元旦。 
中共中央总书记、国家主席、中央军委主席习近平在茶话会上发表重要讲话。他强调，2019年是新中国成立70周年，是决胜全面建成小康社会关键之年。我们要崇尚学习、加强学习，崇尚创新、勇于创新，崇尚团结、增进团结，既抢抓发展机遇，又妥善应对挑战，鼓舞全党全国各族人民勇往直前、再创辉煌。 
习近平代表中共中央、国务院和中央军委，向各民主党派、工商联和无党派人士、各人民团体，向全国广大工人、农民、知识分子、干部和各界人士，向人民解放军指战员、武警官兵、公安干警和消防救援队伍指战员，向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞，向关心和支持中国改革开放和现代化建设的各国朋友，致以节日的问候和诚挚的祝福。 
习近平强调，2018年，是贯彻落实中共十九大精神开局之年，也是党和国家事业发展极不平凡的一年。中共中央团结带领全国各族人民，按照中共十九大作出的战略部署，推动经济建设、政治建设、文化建设、社会建设、生态文明建设以及国防和军队建设、港澳工作和对台工作、外事工作取得重大进展，人民群众获得感、幸福感、安全感持续增强。中国共产党坚持严字当头、全面从严、一严到底，巩固反腐败斗争压倒性胜利，继续净化党内政治生态。 
习近平指出，2018年是改革开放40周年，我们隆重举行了庆祝活动。对改革开放最好的庆祝就是坚定不移深化改革、扩大开放，今年中央全面深化改革委员会部署的78个重点改革任务和其他80个改革任务基本完成，中央和国家机关有关部门还完成171个改革任务，各方面共出台329个改革方案。党的十八届三中全会以来，我们已经推出了1932个改革方案。我们用行动宣示了在新时代将改革开放进行到底的坚定决心。 
习近平强调，在新的一年里，我们要以习近平新时代中国特色社会主义思想为指导，全面贯彻落实中共十九大精神，坚持稳中求进工作总基调，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，贯彻巩固、增强、提升、畅通的方针，坚持以供给侧结构性改革为主线，继续打好三大攻坚战，统筹推进稳增长、促改革、调结构、惠民生、防风险、保稳定工作，保持经济持续健康发展。我们要支持香港、澳门融入国家发展大局，维护香港、澳门长期繁荣稳定。我们要推动两岸关系和平发展，深化两岸各领域交流合作，增进两岸同胞亲情。我们要高举和平、发展、合作、共赢的旗帜，推动构建人类命运共同体，努力开创中国特色大国外交新局面。 
习近平指出，2018年，人民政协坚持中国共产党对人民政协工作的全面领导，围绕团结和民主两大主题，聚焦党和国家中心任务，发挥专门协商机构作用，在建言资政和凝聚共识上双向发力，为党和国家事业发展作出了新贡献。 
习近平强调，人心是最大的政治，共识是奋进的动力。2019年，人民政协将迎来70周年华诞，要把加强思想政治引领、广泛凝聚共识作为履职工作的中心环节，加强各党派团体、各族各界人士大团结大联合，担负起把中共中央对人民政协工作的要求落实下去、把海内外中华儿女实现中华民族伟大复兴中国梦的智慧和力量凝聚起来的政治责任，以优异成绩迎接新中国成立70周年。 
茶话会由中共中央政治局常委、全国政协主席汪洋主持。他指出，习近平总书记发表的重要讲话，回顾总结了2018年中共中央团结带领全国各族人民坚持和发展中国特色社会主义事业取得的新成就，对做好2019年党和国家工作提出了明确要求，对政协工作也提出了殷切希望。我们一定要认真学习领会，更加紧密地团结在以习近平同志为核心的党中央周围，高举中国特色社会主义伟大旗帜，同心同德、群策群力，努力做好新时代人民政协各项工作，切实把中共中央对人民政协工作的要求落实下去、把海内外中华儿女实现中华民族伟大复兴中国梦的智慧和力量凝聚起来，以优异成绩迎接新中国成立70周年。 
致公党中央主席万钢代表各民主党派中央、全国工商联和无党派人士讲话，表示将更加紧密地团结在以习近平同志为核心的党中央周围，以习近平新时代中国特色社会主义思想为指导，高举中国特色社会主义伟大旗帜，不忘合作初心，继续携手前进，共同谱写中华民族伟大复兴的壮丽篇章。 
茶话会上，习近平等来到各界人士中间，同大家亲切握手，互致问候。部分全国政协委员和文艺工作者表演了精彩的节目。最后，全场起立高唱《团结就是力量》，会场内洋溢着欢乐祥和的节日气氛。 
在京中共中央政治局委员、中央书记处书记，全国人大常委会、国务院部分领导同志，全国政协领导同志和曾任全国政协副主席的在京老同志出席茶话会。 2018-12-30 00:00:00:0习近平发表重要讲话 李克强栗战书王沪宁赵乐际韩正王岐山出席 　　汪洋主持13618022全国政协举行新年茶话会/enpproperty-->

                      
扫一扫在手机打开当前页"
