id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
13,泉州13个传统美食获授 “福建地方特色产品”,2018/12/31,2018/12/31,泉州日报,http://www.quanzhou.gov.cn/lyb/lyxw/201812/t20181231_976741.htm,"
　　29日—30日，福建地方志助力乡村振兴系列活动之“悠远地方志 魅力围头村”活动在晋江围头举办。
　　本次活动旨在发挥地方志独特优势，主动服务乡村振兴。通过丰富多彩的表现形式，让方志记载中的围头战地文化、滨海文化、渔村文化、华侨文化、涉台文化等文化资源“活”起来、“立”起来，助力围头村经济社会高质量发展。比如，将方志记载中关于围头的美食名产、特技特艺、风景名胜等分别进行整理归纳后形成的“福建方志特色记忆”“泉州乡村记忆文化”注释牌进行挂牌挂旗——晋江的深沪冰饼、罗山蜜饯、安海番石榴、晋江紫菜、安海绿豆饼、龙湖肉粕、衙口花生、围头虾皮、安海土笋冻、晋江牛三宝、龙湖面线、晋江蜂蜜、围头海峡鲍鱼等13个传统美食特产，同时被福建省委党史研究室和地方志编纂办公室、泉州市委党史和地方志研究室以及市档案局授予“福建地方特色产品”、“泉州市乡村记忆名特产”称号。而围头村的泉州名祠、围头天后宫等被授予“泉州市乡村记忆传习所”称号。
　　活动期间，还召开了福建地方志助力乡村振兴现场会、福建地方志助力乡村振兴战略经验交流会，并举行《妈祖文化志》致赠仪式，《中国影像志·福建名镇名村影像志·围头村志》开机仪式，泉州市乡村记忆文化——乡村影像记忆活动和《围头村志》编修启动仪式等活动。
　　"
14,泉州旅游让利迎接“环闽”动车 A级景区门票打折,2018/12/31,2018/12/31,泉州日报,http://www.quanzhou.gov.cn/lyb/lyxw/201812/t20181231_976711.htm,"
　　随着南龙铁路并网，串联八闽快速铁路环线正式成形，省内旅游更加便捷。为更好地服务环闽动车游客，泉州A级景区推出优惠措施，除了18家常年免费景区，游客凭环闽动车车票还可享受景区门票最低五折优惠。
　　据介绍，2019年1月5日至2月5日，凭环闽动车车票游清源山景区，可享景区门票七折优惠；1月5日至6月30日，凭环闽动车车票游九日山，可享景区门票五折优惠；1月5日至31日，凭环闽动车车票游清水岩景区，享景区门票五折优惠；1月5日至5月31日，凭票游惠安崇武古城风景区，享景区门票七折优惠；1月1日至2月3日，凭票游牛姆林景区，享受景区门票六折优惠；1月5日至31日，凭票游九仙山景区，享景区门票七点三折优惠；1月5日至2月28日，凭票游天柱山香草世界，享景区门票八折优惠；1月5日至6月30日，凭票游灵应寺，享景区门票六点八折优惠；1月5日至6月30日，凭票游清境桃源生态旅游度假区，享景区门票七折优惠；1月5日前，凭票游云河谷景区，享受溯溪项目优惠；1月5日至31日，凭票游德化桃仙溪景区，享受门票买一赠一；1月5日至31日，凭票游石狮茂险王主题乐园，扫码领券即可购票立减50元；1月5日至31日，凭票游黄金海岸海洋世界景区，成人票买一送一、儿童票买一送一。
　　此外，泉州还推出十大精品线路供游客参考。
　　"
15,今年第四季度泉州市259个重点项目集中开竣工,2018/12/29,2018/12/29,泉州日报,https://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/qzdt/qzyw/201812/t20181229_973961.htm,"
　　为全力攻坚第四季度“五个一批”推进项目，冲刺年度目标任务，第四季度全市集中开竣工项目259个，总投资766亿元，涵盖了交通、工业、能源、教育、旅游、基础设施、城建环保和社会民生等领域。其中，新开工项目115个，总投资515亿元；竣工项目144个，总投资251亿元。
　　115个新开工项目中，既有科技含量高、市场前景好、带动能力强的重大产业项目，也有夯实发展基础、改善民生的重大基础设施项目、社会民生项目，其中基础设施项目29个，产业项目63个，社会民生项目23个。总投资30亿元的南安美的智慧家居科创项目（一期），主要建设核心制造和服务配套展示区、研发和轻生产区及相关配套设施，着力打造南安智谷。总投资4亿元的晋江100MWh级新型锂电池储能技术开发及应用一期项目是全国首个100MWh级新型锂电池储能中心，将建设电动汽车超级充电站4座，移动式储能电池组供电箱10个。总投资15亿元的泉州市正骨医院北峰院区，将建设门急诊医技综合大楼、住院大楼、科研教学楼、行政后勤辅助用房等，建成后将丰富和完善北峰片区医疗卫生资源。
　　144个竣工投产项目中，基础设施项目39个，产业项目88个，社会民生项目17个。其中，泉州市丰泽区第三实验小学城东校区建设工程、泉州市海滨小学2#教学综合楼、晋江市经济开发区五里园幼儿园、安溪五中综合楼、永春县达埔新琼小学教学楼等一批教育补短板项目相继投入使用。总投资近5亿元的晋江纵二线紫帽塘头至磁灶井边段改造工程、总投资3.5亿元的南安创意大道等一批道路基础设施项目相继竣工通车，不仅提升该地区互联互通水平，还方便市民出行。
　　今年以来，我市深入开展“项目攻坚2018”活动，全力以赴推进重点项目投资建设，全年各地分批举行集中开竣工仪式，共有951个项目集中开竣工，总投资2512亿元。
　　"
16,杨贤金来泉州征求福建省《政府工作报告》意见建议,2018/12/29,2018/12/29,泉州日报,http://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/gzdt/zwyw/201812/t20181229_973964.htm,"
　　28日，副省长杨贤金率队到我市召开座谈会，就省《政府工作报告》（征求意见稿）广泛征求我市社会各界的意见建议。
　　市领导康涛、王永礼、李冀平，市政府秘书长廖国文，部分在泉省人大代表、省政协委员和有关县（市、区）、市直部门的负责人参加座谈会。
　　座谈会现场气氛热烈，与会人员直奔主题，积极建言献策。大家认为，省《政府工作报告》充分贯彻了习近平新时代中国特色社会主义思想，体现了高质量发展落实赶超的担当要求，展现了新时代改革开放的精神面貌，顺应了人民对美好生活的向往，是一份站位高、视野宽、措施实的好报告。
　　会上，大家纷纷围绕全省发展大局，立足泉州实际，从扶持民营经济转型升级、深化“放管服”改革、医疗水平提升、支持泉州自主创新示范区发展、打造更高层次开放型经济、文化旅游产业发展等方面，对进一步修改完善省《政府工作报告》提出了意见和建议。
　　杨贤金认真听取发言，不时与大家展开交谈，他感谢大家长期以来对省政府工作的关心和支持，起草小组将对收集到的意见建议进行分类梳理，充分吸纳，完善、充实省《政府工作报告》，进一步把今年工作总结好，把明年工作谋划好，共同推动我省高质量发展落实赶超，为新福建建设聚力加速。
　　"
17,泉州市政协召开党组理论学习中心组（扩大）学习会议暨巡视整改工作领导小组会议,2018/12/29,2018/12/29,泉州日报,http://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/gzdt/zfhy/201812/t20181229_973955.htm,"
　　28日，市政协召开党组理论学习中心组（扩大）学习会议暨巡视整改工作领导小组会议，传达学习习近平总书记在中共中央政治局第十次集体学习时的重要讲话精神和省委常委会会议、市委常委会会议精神，传达学习习近平总书记在庆祝改革开放40周年大会上的重要讲话精神，传达学习《干部人事档案工作条例》；研究《市政协党组理论学习中心组学习制度》，研究市政协党组落实省委巡视二组巡视整改意见专题民主生活会《整改方案》等，研究市政协委员年度履职量化考评情况，汇报市政协党组2018年工作总结和2019年工作计划。
　　市政协党组书记李转生主持会议并讲话，党组副书记王瑞强，党组成员洪川夫、陈伟平参加会议。副主席骆沙鸣、王祖耀、陈益列席会议。
　　李转生指出，全市各级政协组织要深入学习贯彻习近平总书记重要讲话精神，按照省委、市委决策部署，围绕经济社会发展重大问题和群众所需所急所盼建言献策。要全面贯彻新时代党的组织路线，严把德才标准，坚持公正用人，努力造就一支忠诚干净担当的高素质干部队伍。要学深悟透《条例》，着力完善管理体制，健全工作制度，持续推进干部人事档案工作科学化、制度化、规范化。要坚决落实落细各项整改工作，做到见底清零，不折不扣推动巡视整改落地见效。
　　"
18,泉州市十六届人大常委会第十八次会议举行,2018/12/29,2018/12/29,泉州日报,https://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/gzdt/zfhy/201812/t20181229_973959.htm,"
　　28日，市十六届人大常委会召开第十八次会议。
　　市人大常委会党组书记陈灿辉，代理主任朱团能，副主任张建生、曾巍、许文贵、吴友才、蔡思红，秘书长欧阳秋虹参加会议。市政府副市长吕刚，市监察委员会、市中级人民法院、市人民检察院相关负责同志列席会议。
　　会议听取和审议市政府、市中级法院、市检察院关于市十六届人大二次会议代表建议办理工作的报告和市人大常委会视察组综合报告，市人大常委会代表资格审查委员会关于个别代表资格的审查报告。
　　会议听取和审议市政府对《市人大常委会关于〈泉州市海上丝绸之路史迹保护条例〉实施情况的审议意见》研究处理情况的报告，并进行满意度测评，测评结果为满意；听取和审议市政府对2018年1—7月国民经济和社会发展计划执行的审议意见研究处理情况的报告，并进行满意度测评，测评结果为满意；听取和审议市政公用事业局关于2017年度审计查处问题整改情况的报告，并进行满意度测评，测评结果为满意。
　　会议审议、表决通过泉州市人民代表大会常务委员会公告稿，市十六届人大四次会议的日程安排及各项建议名单，及有关人事任免事项；审议通过泉州市人大常委会工作报告稿。会议还补选了省十三届人大代表。
　　"
19,泉州市委书记康涛主持召开市委常委会会议,2018/12/29,2018/12/29,泉州日报,https://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/gzdt/zfhy/201812/t20181229_973963.htm,"
　　28日，市委书记康涛主持召开市委常委会会议，深入学习习近平总书记在庆祝改革开放40周年大会和在中央经济工作会议上的重要讲话精神，传达贯彻省委十届七次全会和省委经济工作会议精神，研究召开市委十二届八次全体会议有关事项及市委全会、市委经济工作会议文件；研究《泉州市深化农村人居环境整治三年行动方案》；研究《泉州市关于推动构建亲清新型政商关系的意见（试行）》。市委常委参加会议，市人大常委会党组、市政协党组主要负责同志列席会议。
　　会议强调，各级各部门站位要高，牢固树立“四个意识”，坚定“四个自信”，坚决做到“两个维护”，把学习好、宣传好、贯彻好习近平总书记在庆祝改革开放40周年大会上的重要讲话精神作为重大政治任务，切实把思想和行动统一到中央、省委的重要决策部署上来，全面落实省委全会关于改革开放“五个奋力先行，一个毫不动摇”重点任务，省委经济工作会议七方面重要任务，积极进取、能快则快，努力为全省大局多作贡献。结合要紧，立足当前、着眼长远，结合高质量发展落实赶超，结合作答三个时代命题，逐一转化为年度工作计划、重点项目和具体措施，并用好改革开放“关键一招”，集中力量破除瓶颈。工作要实，继续开展“项目攻坚2019”，大力提振干部精气神，践行“马上就办”、发扬斗争精神、激励担当作为，抢抓时间窗口，确保明年一季度开门红。
　　会议指出，要认真贯彻落实习近平总书记关于建设好生态宜居美丽乡村的重要指示，认真贯彻中央、省里农村人居环境整治三年行动方案，按照“留白、留绿、留旧、留文、留魂”要求，坚决打好改善农村人居环境这场硬仗。要因地制宜，突出重点，细化措施，不断提升乡村规划管理、农村基础设施、美丽乡村建设、古村保护利用、城乡环境融合水平。要加强组织领导，建立健全基层治理体系，强化督查考核，营造良好氛围，确保各项举措落到实处、取得实效。
　　会议指出，制定《泉州市关于推动构建亲清新型政商关系的意见（试行）》，对规范政商交往、支持民营企业发展具有重要意义，也是落实巡视整改的一项重要措施。广大干部要自觉对标看齐，全面准确理解和把握“亲”“清”内涵，切实践行好、落实好。要强化担当服务，在守住底线的前提下，坦荡真诚地同企业家打交道，主动帮助企业解决困难和问题。
　　"
20,泉州制定出台基本医保家庭病床管理新规 明年执行,2018/12/28,2018/12/28,泉州日报,https://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/qzdt/qzyw/201812/t20181228_971834.htm,"
　　昨日获悉，为进一步规范基本医保家庭病床服务管理和医保待遇支付，提高家庭病床医疗质量和服务水平，日前，泉州市医保局制定出台基本医保家庭病床管理新规。家庭病床每个治疗周期视作一次住院，其医疗费用凭社会保障卡与定点公立医疗机构结算，起付标准、最高支付限额、个人分担比例及费用结算办法与住院医疗费用有关规定相同，而服务机构将扩大到所有定点基层医疗机构。该规定自明年1月1日起执行。
　　一个治疗周期 不得超过2个月
　　规定中要求，家庭病床医疗服务机构为符合卫计主管部门设立家庭病床条件定点公立医疗机构。家庭病床数实行定量控制，公立定点医疗机构应派出主治医师以上(含主治医师)人员开展服务，设立的家庭病床床位数应与家庭病床床位医生数相适应。
　　该规定服务于因中风瘫痪、恶性肿瘤晚期、骨折牵引等到医疗机构就诊确有困难，符合住院指征但因情况特殊需设立家庭病床的参保人员。
　　符合条件的定点公立医疗机构主治医师(含)以上的经治医生，根据病情需要为符合服务范围的参保人员填写《泉州市基本医保家庭病床申请认定审核表》，经医院同意后，由所属医保经办机构审核并出具设立家庭病床通知单。参保人员凭《泉州市基本医保家庭病床通知单》到该医疗机构设立家庭病床，医疗机构按住院手续（住院登记，类别选家庭病床）办理家庭病床入院登记。
　　家庭病床一个治疗周期不得超过2个月，如因病情需要继续设立家庭病床者，必须重新办理手续。
　　超范围费用 医保基金不予支付
　　规定中明确，家庭病床有效期内，参保患者只能进行家庭病床相关疾病的治疗及用药，超出范围的治疗及用药费用医保基金不予支付。有效期满后，参保患者应及时到医院办理出院手续，结算费用。设立家庭病床期间，不得再在任何定点医疗机构发生与家庭病床相同病情的医疗费用(急诊病人除外)，所发生的费用不予报销。
　　设立家庭病床期间，因急诊确需住院治疗，需先到开设家庭病床的定点医疗机构办理家庭病床出院手续，再办理住院手续。
　　该规定实施后，医保部门将督促定点医疗机构严格执行卫计部门家庭病床管理相关规定，结合家庭医生签约服务工作，指派有资质的医护人员上门服务，为患者建立完整的家庭病床病历，做好定期查床服务等工作。家庭病床的诊疗严格执行我市基本医保的有关规定。
　　"
21,提升履职水平 泉州市政协召开第十一次常委会,2018/12/28,2018/12/28,泉州日报,http://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/gzdt/zfhy/201812/t20181228_971785.htm,"
　　27日，十二届泉州市政协召开第十一次常委会。
　　泉州市政协党组书记李转生，副主席骆沙鸣、陈铭福、王祖耀、李冀平、王瑞强、洪川夫，秘书长陈伟平参加会议。会上，副市长肖汉辉通报市政协十二届二次会议以来提案办理情况。会议协商通过有关人事事项；讨论修改十二届市政协《常委会工作报告》（讨论稿）和《提案工作报告》（讨论稿）；协商通过市政协十二届三次会议相关事宜。
　　李转生指出，今年以来全市政协扎实履职，圆满完成全年各项工作任务，为泉州经济发展、社会进步、民生改善作出应有的贡献。
　　就下一步工作，李转生强调，全市各级政协组织要精心搭建委员履职平台，协同提案办理单位用心办好提案工作；广大政协委员要发挥各自优势，聚焦社情民意、围绕民生改善，科学选题、深入视察调研，提出立意高、分析准、建议实的高质量提案。要着力加强自身建设，提高履职水平，在开拓进取中展现政协担当。要周密部署，心往一处想，劲往一处使，高标准做好市政协十二届三次会议筹备工作，把全会开成团结、民主、求实、奋进的大会，同时紧跟市委、市政府部署要求，谋划思考好明年工作重点，为我市高质量发展落实赶超献计出力。
　　会议接受陈灿辉因工作变动原因辞去泉州市政协主席职务。
　　中国人民政治协商会议 
　　第十二届泉州市委员会常务委员会 
　　关于召开泉州市政协十二届三次会议的决定 
　　（2018年12月27日政协第十二届泉州市委员会常务委员会第十一次会议通过）
　　中国人民政治协商会议第十二届泉州市委员会常务委员会第十一次会议决定，政协第十二届泉州市委员会第三次会议于2019年1月7日至10日在泉州市区召开。建议会议主要议程如下：
　　1.听取和审议政协第十二届泉州市委员会常务委员会工作报告；
　　2.听取和审议政协第十二届泉州市委员会第二次会议以来提案工作情况的报告；
　　3.列席泉州市第十六届人民代表大会第四次会议；
　　4.听取委员大会发言；
　　5.选举相关事项；
　　6.审议通过政协第十二届泉州市委员会第三次会议决议。
　　政协第十二届泉州市委员会不再担任常务委员、委员职务名单 
　　（2018年12月27日政协第十二届泉州市委员会常务委员会第十一次会议通过）
　　因工作需要等原因，郑文红、郭金发等2位同志不再担任政协第十二届泉州市委员会常务委员、委员职务。
　　政协第十二届泉州市委员会不再担任委员名单 
　　（2018年12月27日政协第十二届泉州市委员会常务委员会第十一次会议通过）
　　因工作需要等原因，王坚、刘文敏、肖文华、余庆锋、陈灿辉、林威、施人玮、姚明耀、洪顺昌、胡善灯、康思坚（按姓氏笔画为序）等11位同志不再担任政协第十二届泉州市委员会委员。
　　关于撤销卓炳连政协第十二届泉州市委员会委员资格的决定 
　　（2018年12月27日政协第十二届泉州市委员会常务委员会第十一次会议通过）
　　根据《中国人民政治协商会议章程》第二十九条规定，经政协第十二届泉州市委员会常务委员会第十一次会议协商，撤销卓炳连政协第十二届泉州市委员会委员的资格。
　　政协第十二届泉州市委员会增补委员名单 
　　（2018年12月27日政协第十二届泉州市委员会常务委员会第十一次会议通过）
　　因工作需要，同意增补王鼎鹿、许火龙、吕明星、陈华平、苏定土、李转生、李泗岳、林海鸥、饶朝晖、顾红梅（女）、徐悦、郭莹颖（女）、黄华强、梁斌斌、曾焕忠（按姓氏笔画为序）等15位同志为政协第十二届泉州市委员会委员。
　　"
22,我市深化医疗机构药品规范化管理,2018/12/28,2018/12/28,泉州日报,http://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/qzdt/bmdt/201812/t20181228_971861.htm,"
　　执法人员正在检查医疗机构
　　从市食药监局获悉，针对我市部分医疗机构药品质量管理水平较低，药品进货、储存不规范问题，我市对全市医疗机构采取监帮并举、分类指导、分步推进措施，力争在2019年6月前深化全市医疗机构药品规范化管理，使我市医疗机构药品质量管理基本实现购进渠道规范、硬件设施合理、记录制度健全、监督管理到位、药品使用安全。
　　部门联动 构建联合处置机制
　　据了解，为深化全市医疗机构药品规范化管理，我市食药监部门联合市卫计部门对辖区医疗机构分布情况进行全面调查，摸清底数，制定细化工作方案，明确职责分工、实施步骤和监管要求，按照工作方案分步实施医疗机构药品规范化管理。同时，召集医疗机构举行专题会议并进行工作部署，要求医疗机构从三个方面进行整改提升，包括完善设施设备，提升药品储存陈列条件；规范进货渠道，完善药品采购票据管理；加强使用监测，严格规范特殊药品管理。在此基础上，两部门探索构建医疗机构药品管理长效机制，建立部门联合处置机制。
　　市食药监局相关负责人介绍，按照工作方案分步实施要求，各县（市、区）组织辖区二级、三级医疗机构、卫生院、社区卫生服务中心、民营医院对照《医疗机构药品规范化管理项目清单》开展自查。查找不足，及时整改并提交自查报告和整改方案，确保在今年12月底前实现药品规范化管理。据悉，其中，安溪县财政拨款130万元用于部分医疗机构药房储存条件提升，并在全县医疗机构药房设置温湿度自动监测系统，逐步实现药房阴凉区、冷藏药品、生物制品、疫苗等的温湿度自动监测。
　　超千家医疗机构
　　率先完成规范化管理
　　据了解，我市食药监部门把医疗机构药品规范化管理工作和日常监管相结合，通过深入医疗机构药房现场办公，重点督促指导医疗机构规范票据管理，提升药房硬件设施及强化特殊药品管理措施，做到检查一家、指导一家、规范一家，以保质保量完成药品规范化管理工作，并将医疗机构药品规范化管理列入今后的常态化监管。
　　截至目前，惠安县辖区内389家、晋江市辖区内902家医疗机构已率先完成全部药品规范化管理工作；丰泽区创建4个示范点，带动全区医疗机构开展提升工作；泉港区开展督导工作，督促镇卫生院对辖区各村卫生所进行合并改造，精简卫生所数量，提升药品存储条件。今年年底前，全市二级、三级医疗机构、卫生院、社区卫生服务中心、民营医院共计309家将完成全部核验工作。
　　"
