id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
9,县委召开意识形态工作领导小组会议,2018-12-31,2018-12-31,七台河日报,/hljboli/c100543/201812/1c99e2bc2dd6485699e38398b1c8bd76.shtml,12月23日，县委意识形态工作领导小组会议召开。县委意识形态工作领导小组成员和各党委（党组）及相关部门主要负责同志参加会议。县委书记周建民主持会议。会上，县民宗局、县委党校、新起街道、青山乡、大四站镇领导分别对2020年意识形态工作开展情况进行汇报。县委常委宣传部部长李学对全县意识形态工作进行汇报。县委书记周建民就全县意识形态工作提出三点意见，一要明确责任抓落实。各级党委(党组)要严格落实主体责任，充分发挥总揽全局、协调各方的作用，坚持定期听取意识形态工作汇报，定期分析研究重大舆情、重点情况，协调解决意识形态工作开展中遇到的问题和困难。党委(党组)&ldquo;一把手&rdquo;要切实履行好第一责任人职责，旗帜鲜明地冲在一线，坚持重大部署第一时间落实、重大舆情第一时间研判、重大问题第一时间处置，以上率下种好意识形态工作&ldquo;责任田&rdquo;。二要密切协作抓落实。广泛动员各条战线各个部门一起出&ldquo;组合拳&rdquo;、打&ldquo;整体战&rdquo;，形成一级抓一级、层层抓落实的工作格局。宣传部门要切实发挥好指导、协调、督查等作用，准确研判掌握全县意识形态动态情况，及时向县委报告情况、提出建议，守好阵地、管好队伍。各部门要加强同宣传部门的沟通联系，各司其职、各负其责、共同履职，为意识形态工作开展创造良好条件。三要严明纪律抓落实。要将意识形态工作纳入领导班子、领导干部目标考评和年度述职，精准设置巡察检査考核内容、方法、程序，推动巡察考核工作规范化、常态化、制度化。要强化巡察考核结果运用，坚持有错必纠、有责必问。对导致意识形态工作出现不良后果的，要严肃追究相关领导和责任人责任。最后，周建民强调，做好新时代意识形态工作，责任重大，使命光荣。让我们更加紧密地团结在以习近平同志为核心的党中央周围，居安思危，主动作为，立足新方位，找准新坐标，全面提升我县意识形态工作质量和水平，努力开创我县意识形态工作新局面。
10,县委理论中心组专题学习会议召开,2018-12-31,2018-12-31,七台河日报,/hljboli/c100543/201812/ea5a9ed5f4084702a86ee19ca69cd17a.shtml,12月28日，县委理论中心组学习会议召开。在家的县委理论中心组成员参加会议。会上传达学习了新修订的《中国共产党纪律处分条例》；学习了习近平总书记关于意识形态工作的重要论述；学习了习近平总书记关于统战工作的重要论述。与会的县委常委围绕“转型发展、全面振兴、全方位振兴”主题开展了解放思想大讨论活动。大家结合分管工作实际，直指问题所在，针对如何解放思想，怎样解放思想，如何寻找差距，补短板，加快明年我县高质量发展进行了表态发言。县委书记李明在会上强调，要认真贯彻执行新修订的《中国共产党纪律处分条例》。要切实把《条例》学习好、宣传贯彻好、执行好，坚定不移推进全面从严治党向纵深发展。要牢固树立“四个意识”，切实抓好《条例》的贯彻执行，把执纪和执法贯通起来，推动全面从严治党向纵深发展，在正风肃纪、反腐惩恶上再加力，在整治群众身边腐败问题和不正之风上再加力，在纪律建设上再加力，充分发挥纪律建设标本兼治的利器作用，进一步巩固提升勃利风清气正的政治生态。要认真贯彻落实好习近平总书记关于意识形态工作的重要论述。作为党的领导干部，一定要深刻认识意识形态工作的重要性和复杂性，贯彻落实好中央对意识形态工作的决策部署和各项要求，进一步增强“四个意识”，坚定“四个自信”，确保我县意识形态领域平稳可控。要认真贯彻落实习近平总书记关于统战工作的重要论述。广大领导干部要用习近平新时代统一战线思想武装头脑、指导实践、推动工作。习近平总书记的统一战线思想对于我们坚持和发展中国特色社会主义有着深远意义，同时对于在当前形势下推进“四个全面”战略布局、实现“中国梦”具有重大现实意义，我们要坚决贯彻落实党中央关于统一战线工作的各项决策部署，带领统一战线各领域成员为建设勃利做出新的更大贡献。要认真贯彻落实解放思想，推动高质量发展大讨论活动。与会领导要从我做起，从常委做起，从党政班子做起，从四个班子处级干部做起，做解放思想的领头羊。纪委和组织部门要制定措施，建立容错机制，尽职免责，做解放思想的引领者，为敢担当的人担当，为敢负责的人负责，让领导干部敢干、敢闯，大胆尝试，将解放思想落实到干事创业的实际行动上来，要以人民为中心，为老百姓持续办实事、办好事，为我县加快转型发展，实现全面振兴全方位振兴贡献新力量。 （王长辉  韩同军报道）
11,县委十六届四十一次常委（扩大）会议召开,2018-12-28,2018-12-28,七台河日报,/hljboli/c100543/201812/b825b5a7e4de4459bc37339127eb3005.shtml,12月27日，县委书记李明主持召开县委十六届四十一次常委（扩大）会议，在家的县委常委出席会议。县处级领导及各相关部委办局、各乡镇街道主要领导列席会议。  会前，集中学习了《中央巡视工作规划（2018-2022年）》。  会议听取了中共勃利县委十六届四次暨勃利县人民政府十七届三次全体（扩大）会议筹备情况汇报、听取了县委全会报告和政府工作报告的说明、听取了县人大会议和县政协会议筹备情况汇报。  会议听取了《中共勃利县委巡察工作实施办法》、《中共勃利县委强化巡察整改工作意见》；听取了落实中央第六巡视组意识形态领域反馈意见整改情况工作汇报、听取了农业废弃物资源化综合利用整县推进项目有关事宜汇报、听取了全县安全生产情况和全县煤矿安全生产情况汇报。  会议要求，全县各级各部门要始终坚持巡视责任“真落实”，认真开展巡视巡察工作，被巡视巡察单位要进一步强化主体责任，全力支持和配合巡视组、巡察组工作；要始终坚持巡视对象“全覆盖”，推动巡察工作向基层拓展，延伸到乡镇、街道等基层党组织；要始终坚持巡视整改“严要求”，坚持把巡视问题整改工作摆在巡视巡察工作的突出位置，认真做好巡视巡察“后半篇文章”，确保巡视巡察成果落实落地，推动全面从严治党向纵深发展。  会议强调，要重点抓好全县招商引资工作，各有招商引资任务的领导和部门要重点围绕现代农业、煤化工、石墨、文化旅游等产业谋划和引进一批项目。相关部门要集中精力做好供热、供气、供水、供电、困难救助等各项工作，集中打造整洁优美的城市环境，持续改善民生福祉，要统筹抓好就业、社保、教育、医疗等基本民生支出，让全县人民有更多获得感和幸福感。  会议强调，要把巡视整改作为一项政治任务，狠抓落实，紧盯省委第十三巡视组扶贫专项巡视反馈问题，抓整改、抓推进、抓落实，把每一个环节落靠，把每一项任务落实，把每个问题解决到位，坚决做到整改不到位不收兵，群众不满意不收兵。要全力推进机构改革，按照全省机构改革要求，高质量、高标准、高效率做好党政机构改革工作，要扎实做好安全稳定工作，认真做好依法取缔非法运营港田三轮车工作，保证群众安全便利满意出行。要认真做好值守应急工作，合理安排节日期间值班值勤。  会议强调，要以党的十九大精神、习近平总书记重要讲话和重要指示精神以及在庆祝改革开放40周年大会上的重要讲话精神为统领，科学谋划明年工作思路和重点任务，提高工作的前瞻性和主动性，为明年经济社会发展谋好篇、布好局。    （任艳霞报道）
12,政协勃利县十三届十次常委（扩大）会议召开,2018-12-28,2018-12-28,七台河日报,/hljboli/c100543/201812/15aac91e77d64606a93cb7585ea86b40.shtml,12月26日，政协勃利县十三届十次常委（扩大）会议召开，此次会议是筹备十三届四次全会的专题会议。县政协主席纪振华、副主席王洪海、全体常委参加会议。  会议审议通过了县政协十三届四次会议日程议程；讨论通过了县政协常委会工作报告（讨论稿）；讨论通过了县政协提案工作报告（讨论稿）；讨论通过了增补政协委员名单、常委人选；审议通过了表彰优秀提案委员决定；审议通过了县政协十三届四次会议主席团、秘书长、大会执行主席名单。  会议强调，各政协委员要提高站位、增强责任，充分认识这次会议的重要意义，增强自觉性和责任感，认真做好各项会务工作。要聚焦主题、抓住重点，精心准备、从严把关，把中央的指示要求和省委的部署安排体现好、落实好。要明确任务、抓好落实，总结经验、改进创新，立足筹备工作整体进展情况，加强沟通协调，互相支持、密切配合、通力协作，不断提高政协协商议政的质量和水平。
13,全县扶贫开发领导小组会议暨巩固提升脱贫攻坚成果专题推进会召开,2018-12-28,2018-12-28,七台河日报,/hljboli/c100543/201812/e10a61b4d056476da9012e7ea6945699.shtml,12月25日，全县扶贫开发领导小组会议暨巩固提升脱贫攻坚成果专题推进会召开。县委书记李明出席会议并讲话，县处级包保领导，各成员单位负责人，各乡镇党委书记、乡镇长参加会议。  会议传达了国家2018年脱贫攻坚成效考核动员部署暨培训会议精神。传达了《脱贫攻坚成效考核操作规程》。  会上，县住建局、水务局、农业局、卫计局、民政局、人社局、教育局、光伏办8家重点成员单位负责人就脱贫攻坚巩固提高进行了表态发言。  会议强调，全县各单位、各乡镇要进一步深化思想认识，提高对我县脱贫攻坚紧迫性、艰巨性和复杂性的再认识，切实增强责任感、紧迫感和使命感，始终把脱贫攻坚作为重要政治任务和第一民生工程，切实转变干部作风，克服厌战、麻痹、应付情绪，始终保持一股拼劲、钻劲、韧劲，以“绣花”的精神、“绣花”的耐心、“绣花”的功夫，咬定总攻目标，落细攻击点位，确保焦点不散、靶心不变，高质量完成脱贫攻坚巩固提升任务。  会议要求，要多措并举加大扶志力度，千方百计强产业，继续推进“生猪育肥”、“食用菌产业园区”、现代农业示范园区”和“光伏扶贫”四大扶贫产业项目建设，大力实施“政银企”精准扶贫模式、精准使用驻村专项扶贫项目资金，创新合作社带贫益贫模式、培育壮大庭院经济，切实抓好就业扶贫，加大非贫困村支持力度。  会议强调，要进一步强化问题整改，始终坚持把问题整改贯穿脱贫攻坚全过程，要继续做好党的政策宣传、扶贫工作宣传工作。有关部门要认真把握政策标准，努力查缺补漏，做到举一反三，拿出切实可行的措施和办法，进一步强化政策落实，打通政策落实最后一公里。要严格管理扶贫资金使用，建立扶贫资金监督考核长效机制，要健全扶贫资金使用和扶贫项目的公告公示制度，接受群众和社会监督。  全县各级各部门一定要强化政治责任，各司其职、各负其责，形成帮扶合力，切实转变作风，提高监督检查时效性，以更加坚强的组织领导、更加有力的保障机制、更加务实的工作作风， 确保各项工作真正落到实处，以高水平扶贫促高质量脱贫，以高质量脱贫促高质量发展，努力向省委市委和全县人民交出一份满意的答卷。   （任艳霞报道）
14,共青团勃利县第十七次代表大会召开,2018-12-28,2018-12-28,七台河日报,/hljboli/c100543/201812/2f267d83021545e2a95899cbf4cf5128.shtml,12月24日，共青团勃利县第十七次代表大会在东进花园会议中心隆重召开。  县委书记李明，县委副书记、县长王峰，团市委书记蒋泽宇及县四大班子主要领导、在家的县委常委出席开幕式。来自县直各有关部门领导和兄弟区县团干部以及学生代表共计300多人参加了开幕式。  上午9时整，大会在庄严的国歌声中拉开序幕。首先，少先队员代表献词，群团组织代表致贺词。随后，团市委书记蒋泽宇代表市团委对大会的召开表示热烈祝贺，对我县共青团和青少年工作给予了充分肯定，也寄予了殷切希望。  县委书记李明充分肯定了过去五年团县委围绕中心、服务大局，发挥优势、履行职能，在引领青年建功立业、服务青年成长成才、维护青少年合法权益等方面，做了大量富有成效的工作，为加快转型振兴发展作出了积极贡献。李明向全县广大团员青年和各级团组织提出五点希望：  第一，要牢固树立新思想，做理想信念的捍卫者。当代青年要高举习近平新时代中国特色社会主义思想伟大旗帜，树牢&ldquo;四个意识&rdquo;，坚定&ldquo;四个自信&rdquo;，做到&ldquo;两个坚决维护&rdquo;。要把个人理想同国家、民族和家乡的奋斗目标统一起来，把实现个人抱负与推进勃利转型振兴发展的宏伟实践结合起来，在奉献社会、服务人民中实现远大理想和人生价值。   第二，要练就过硬新本领，做勤于学习的求知者。广大青年要牢固树立终身学习的观念，要坚持博采众长和学有所长相统一，全面提高自身综合素质，努力成为本职工作的行家里手。要坚持知行合一，在实践中锤炼本领、积累经验、增长才干，不断提高推动科学发展、维护和谐稳定的能力，努力成为可堪大用、能负重任的栋梁之材。   第三，要奋力展现新作为，做转型振兴的实践者。广大青年要以加快转型振兴发展为己任，自觉在艰苦环境中练就过硬的作风和坚强的意志。要把爱国之心化为创业之勇，充分发扬勃利精神，要勇挑重担，争当先锋，要积极投身深化改革、项目建设、招商引资、乡村振兴、脱贫攻坚等重点工作，立足本职、干事创业，争做岗位能手、技术标兵、领军人物。要始终站在时代的潮头，勇于创新，锐意进取，为加快勃利转型振兴发展作出新的贡献。  第四，要弘扬时代新风尚，做激扬青春的弄潮儿。广大青年要带头倡导社会新风尚，自觉践行社会主义核心价值观，传承弘扬中华优秀传统文化，做社会主义核心价值体系的传承者、倡导者和推动者。要加强品德修养，锤炼个人品德，提升社会公德，增强职业道德，弘扬家庭美德，要主动承担社会责任，积极参与志愿服务，多做扶贫济困、扶弱助残的实事好事，以实际行动引领社会文明新风尚，弘扬向上向善正能量。   第五，要展示自身新形象，做党的事业的传承者。全县各级党组织要坚持党管青年原则，切实加强和改进对共青团工作的领导，支持共青团加强基层组织建设和基层工作，为共青团开展工作创造良好条件。要继续加大培训力度，关心帮助共青团干部锻炼成长，让更多想干事、能干事、干成事的优秀青年干部脱颖而出，使共青团真正成为培养和输送青年干部的重要渠道。要扎实工作，奋发进取，为加快勃利转型发展全面振兴全方位振兴作出新的更大的贡献！   大会按照会议议程，审议通过了张明佳同志代表共青团第十六届委员会所作的工作报告，并选举产生了共青团勃利县第十七届委员会。张明佳同志当选团县委书记，大会圆满完成了共青团勃利县十七次代表大会的各项选举工作。  在新当选的共青团十七届一次全会上，县委副书记付强对新当选团委班子表示祝贺，并代表县委希望全县广大团员青年要在县委、县政府的坚强领导下，在各级团组织的正确指导下，以蓬勃的朝气、昂扬的斗志、务实的作风，明确方向，把握重点，勇敢地肩负起时代赋予的重任，要认清形势，牢记使命，正确把握共青团工作方向；要注重服务，敢于创新，扎实高效开展共青团工作；要率先垂范、团结协作，加快推动共青团事业发展。
15,全县安全生产专项检查工作会议召开,2018-12-23,2018-12-23,七台河日报,/hljboli/c100543/201812/0b6b7b2673a44d61bb02622461a601aa.shtml,12月21日，全县安全生产专项检查工作会议召开。县委副书记付强出席会议并讲话。会议宣读了《全县安全生产专项检查实施方案》。会议要求，要切实增强两节期间安全生产工作的责任感和使命感。各级、各部门要按照县委、县政府的安排部署，及时查处和整改事故隐患，时刻保持警醒，落实和完善危险化学品、消防、特种设备、建筑施工等重点行业领导安全监管的好做法和硬措施，全力遏制重特大事故发生，确保我县安全生产形势稳定。会议强调，要强化落实两节期间安全生产责任体系。各级、各部门要从现在开始到春节前开展不得少于10次的安全专项检查。春节后，县委、县政府要对此次安全生产专项行动进行&ldquo;回头看&rdquo;，对专项检查行动不认真、隐患整治不彻底、措施落实不到位而导致事故的，严肃问责相关单位和责任人。会议强调，要从严抓好两节期间安全生产专项检查。各乡镇街道、各部门要认真组织安全生产专项检查行动，继续强化道路交通、消防、危险化学品、烟花爆竹、特种设备、燃气等重点领域专项整治，确保重点领域安全生产稳定。道路交通领域要加大长途客运、公交运营、非法营运车辆、危险货物运输专项治理力度，加大对&ldquo;三超一疲劳&rdquo;、酒驾毒驾、涉牌涉证等各类严重交通违法行为查处力度；要对接送学生车辆进行清查，重点检查不符合安全技术标准车辆搭载学生的违法行为。食药品领域，要加强餐饮环节，对幼儿园、敬老院、机关、企业、学校食堂，特别是农村大席的食品安全监控工作；加大对熟食制品和水产品的监管力度，防止两节期间发生群体性中毒事件；加大对涉药涉械单位安全附件的检查；加强对高温高压、易燃易爆等重点车间的安全监控；加大对麻醉药品、精神药品、毒性药材（药品）的管理。重点行业要对全县危险化学品生产、储运、经营、使用和废弃物处置等环节进行全面排查，要落实好&ldquo;冬防&rdquo;方案，做好防冻、防凝、防火、防爆、防泄漏等工作，加强对人员密集公共场所的监督检查，严厉查处火灾隐患和消防安全违法行为。燃气领域，严查生产经营企业场所（配送点）安全情况，加大对燃气管线的巡查力度，严防施工等意外因素造成燃气泄漏中毒和爆炸事故的发生。会议强调，要加强两节期间应急值班值宿工作。各级、各部门要高度重视两节期间值班值守工作，严格执行领导干部到岗带班和关键岗位24小时值班制度，提升迅速应对处理突发紧急事件能力，第一时间将事故情况如实向有关部门报告，坚决防范和遏制重特大事故，为县域经济健康发展创造良好的安全生产环境。
16,县四大班子领导集中收看庆祝改革开放40周年大会盛况,2018-12-18,2018-12-18,七台河日报,/hljboli/c100543/201812/60510e540c03429b9570e67d1e21f950.shtml,12月18日上午10时，万众瞩目的庆祝改革开放40周年大会在北京人民大会堂隆重召开。勃利县四大班子以及县处级领导收看大会盛况。1978年，以党的十一届三中全会为标志，中国开启了改革开放的伟大征程，改革开放四十年，国富民强，绘就了幸福的民生画卷，书写了一个国家繁荣发展的华丽史诗。习近平总书记在大会上的重要讲话无不令人欢心鼓舞，群情振奋，干劲倍增，激发了每一位领导干部干事创业、将改革进行到底的信心和决心。大家认真聆听，仔细记录，并表示，要以解放思想推动高质量发展大讨论为契机，在习近平新时代中国特色社会主义思想指引下，将改革开放精神在勃利县落地生根，转化为勃利发展的动力和源泉，坚定信心，不忘初心，砥砺奋进，为全面加快转型发展，推进富民强县，实现勃利全面振兴贡献新的更大力量。   （王长辉 胡泊报道）
17,广东省江门市考察团到我县开展考察交流活动,2018-12-03,2018-12-03,七台河日报,/hljboli/c100543/201812/c7bf1f5c94984a809fb0af7477f84ab5.shtml,为深入推进江门市企业与我县企业的交流合作，11月30日，江门市政府副市长刘国华带领江门市相关部门领导及江门市14家企业负责人到我县开展考察交流活动。七台河市政府副秘书长、市发改委党组书记孙云启，县委副书记付强、县政府副县长周德辉、刁常宝同市县相关部门领导陪同考察团一行。据了解，江门市位于广东省中南部，是珠江三角洲西岸中心城市之一，近年来，江门市在深化改革、优化环境、创新发展等方面取得了良好成效，经济社会发展迅速，与我县存在较强的产业互补。考察中，江门市企业家们先后来到勃盛清洁能源有限公司、兴勃生物质新材料有限公司、乐宝食品有限公司、中利生物科技有限公司、利健生物有限公司、宏泰松果有限公司和勃农兴达机械有限公司进行实地考察。考察团认为我县资源丰富，县委县政府利用现有资源，大力发展特色高效农业，积极探索具有特色的、彰显优势的县域经济发展战略，壮大县域经济实力，值得借鉴学习。江门市企业家代表还就我县企业在产品包装、市场营销、未来发展方向等方面提出了许多中肯建议。我县企业家希望两地今后要继续加强交流，互相借鉴先进经验，努力推动两地经济社会更好更快发展。 （林志勇报道）
18,市委宣讲团勃利县专场宣讲报告会暨县委理论中心组集中学习（扩大）会议召开,2018-11-26,2018-11-26,七台河日报,/hljboli/c100543/201811/fb3eaf6b5b034505a7b6780d512ebb68.shtml,11月23日，县委书记李明主持召开市委宣讲团勃利县专场宣讲报告会暨县委理论中心组集中学习（扩大）会议。县委理论中心组成员、县直各单位、乡镇街道党政主要负责同志聆听宣讲报告。同时，县直各单位、各乡镇、街道以及企业等200余个分会场通过远程教育终端同步收看宣讲报告会。会议邀请市委宣讲团成员、市委党校副校长范金良为大家作专题宣讲报告。他从充分认识习近平总书记重要讲话和重要指示精神的重大意义，准确把握党的十八大以来黑龙江振兴发展取得的重要成就、面临的机遇挑战、全面发展的总体要求和重点工作等方面，进行了全面深刻、系统深入的解读，宣讲既有理论高度，又有实践厚度。与会人员纷纷表示听取报告后，对于深刻领会和准确把握习近平总书记重要讲话和重要指示精神，全面贯彻落实省委十二届四次全会和市委九届三次全会精神，推动我县转型发展全面振兴全方位振兴具有很强的指导意义。县委书记李明在会上强调三点意见，一是全县各单位、各部门和广大党员干部要提高政治站位，迅速兴起学习热潮，切实增强学习宣传贯彻的自觉性和主动性，进一步解放思想，不断推动我县经济高质量发展；二是要全方位宣讲立体化宣传。县委宣讲团和宣讲小分队，要深入机关、企业、村屯、社区和学校等开展宣讲，把全县广大党员干部和人民群众的思想行动统一到习近平总书记重要讲话和重要指示精神上来，统一到省委十二届四次全会和市委九届三次全会精神上来，统一到推动我县转型发展全面振兴全方位振兴上来；三是要深入抓好贯彻落实。各单位、各部门要结合工作实际，找准各项工作的切入点和突破口，发扬钉钉子精神，创造性抓好贯彻落实，使习近平总书记重要讲话和重要指示精神在勃利落地生效，推动勃利转型发展全面振兴全方位振兴。 （任艳霞报道）
