id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
198,区委书记孙立国深入机关工委开展党风廉政建设责任制检查考核 ,2018/1/10,2018/1/10,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14459,"作者:区机关工委 发布时间:2018/1/10 8:47:34 查看人数:1654 
	    按照区委常态推行常委带队检查考核党风廉政建设责任制的安排部署，1月9日上午,区委书记孙立国带领区党风廉政建设领导小组相关人员，到机关工委检查考核党风廉政建设责任制落实情况。期间听取了机关工委党风廉政建设工作汇报，并与机关基层党支部书记进行了座谈。


	



	    孙立国同志指出，党建的最终目的就是为人民服务。党建为党，使党更加强大；党建为民，使老百姓更加满意；党建为中心服务，使社会经济更加繁荣；党建工作要全面落实从严治党要求，从班子抓起、从班子严起、从党员做起，实现党建工作全覆盖、无死角。希望机关工委结合区委党建工作“三为一覆盖”体系要求，体现党建引领元素，落实好上级要求，提高服务群众水平。


	    孙立国同志对机关工委的党风廉政建设责任制落实情况给予了肯定，并要求机关工委在今后落实“两个责任”工作中要进一步明确态度、体现担当，强化学习、廉洁从政，注重方法、落到实处。"
197,东安区召开网信工作会议 ,2018/1/15,2018/1/15,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14494,"作者:区委宣传部 发布时间:2018/1/15 16:22:48 查看人数:1677 
	    1月15日，东安区网信工作会议召开。会议对当前和今后一个时期的舆情引导工作进行安排部署，明确提出要全力打造稳定健康向上的舆论生态，营造良好社会氛围。


	 


	    区委常委、宣传部长王丽华出席会议并讲话。


	    会上，王丽华传达了全市舆论引导工作会议精神和全区信访维稳安全工作会议精神。并强调，各单位各部门要提高思想认识，高度重视舆情引导工作，抓紧抓好、抓出成效。要全面、准确、及时地掌握舆论走向，坚持正确舆论引导，建好用好管好“两微一端”等“微宣传”平台。要完善网络舆论引导体系，对突发舆情快速反应、妥善引导。"
196,东安区人大代表视察区法院 “开放日”活动 ,2018/1/16,2018/1/16,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14496,"作者:区人大办公室 发布时间:2018/1/16 9:40:24 查看人数:1629 
	    1月12日上午，应东安区人民法院邀请，东安区人大常委会主任鲍丽娟，带领部分省、市、区三级人大代表视察了区人民法院“法院开放日”活动，让人大代表更加直观地了解和感受法院审判执行、司法改革、队伍建设、信息化基础建设等各项工作成果，同时，代表们还对法院工作提出了很好意见和建议。区人大常委会副主任、区人大内务司法委员会主任委员王锡辰参加了活动。  


	



	    代表们先后参观了诉讼服务中心、少年法庭、社会矛盾调处中心、家事审判法庭、执行指挥中心、图书馆等场所，并进行了座谈交流。区人民法院党组书记、院长周涛针对代表们关心的执行难、司法公开、法官心理健康及信用体制建设等方面问题进行了详细的解答。    


	



	    通过视察，鲍丽娟同志对法院工作给予了充分肯定。并指出，“法院公众开放日”的形式非常好，增加了司法工作的透明度，拓宽了人大代表与法院的联络渠道，是人大代表了解法院工作的重要平台。东安区人民法院司法改革工作走在全市前列，未成年人圆桌审判、家事审判法庭让代表们感受到了司法的人性温暖，人大代表将会一如既往地支持和关心法院工作。同时也希望法院针对代表们提出的意见和建议进行认真梳理，尽快制定相应的实施方案，确保落实到位，从而进一步做好法院工作。"
195,东安区“不忘初心跟党走，砥砺奋进东安人”朗诵暨主题演讲比赛圆满落幕 ,2018/1/22,2018/1/22,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14514,"作者:区委组织部 发布时间:2018/1/22 10:42:48 查看人数:1625 
	    1月19日，东安区“不忘初心跟党走，砥砺奋进东安人”朗诵暨主题演讲比赛在区政府五楼大会议室隆重上演。一声声饱含激情的朗诵、一句句慷慨激昂的动人演讲，一段段真情实意、原汁原味的亲身经历，一件件催人奋进、鼓舞人心的真实事例，赢得了在场观众的热烈掌声。
    本次演讲比赛由区委组织部主办，区委常委领导出席活动并担任评委。 


	
 


	    活动分为两个环节，第一环节各党工委班子成员诗朗诵，充分出体现出基层新班子的凝聚力和活力；第二环节演讲比赛决赛是经过1个多月的层层选拔，最终8名参赛选手进入决赛。比赛中，选手们围绕主题，自主选择演讲内容的切入点，结合自身工作实际，畅谈学习宣传贯彻党的十九大精神的心得体会，表达坚定跟党走中国特色社会主义道路的理想信念。演讲内容有取材于身边人身边事，有抒发对“不忘初心、牢记使命”的所感所想所悟，有从不同角度诠释对党的十九大精神的理解，有抒发对本职工作的热爱，表达立足本职、恪尽职守、创先争优、无私奉献的真情实感。他们用工作中的点滴事例，把共产党人的使命娓娓道来，予人教育和启迪，赢得了观众的阵阵掌声。 


	
 


	    经过激烈角逐，最终评委们根据演讲主题、语言表达、形象风度等，评选出一等奖一名、二等奖三名、三等奖四名，来自机关工委的选手曹彬，以真挚的情感、慎密的逻辑、饱满的状态抒发出了教育人内心对党的忠诚和对教育事业的热爱，博得了台下的阵阵掌声，摘得此次比赛的一等奖。"
194,东安区人大常委会党组班子召开集中学习扩大会议 ,2018/1/23,2018/1/23,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14523,"作者:区人大办公室 发布时间:2018/1/23 16:31:45 查看人数:1530 
	    为开好2017年度人大领导班子民主生活会，提高思想认识，认真做好会前准备工作，按照区委组织部门关于召开2017年度东安区民主生活会的通知要求，1月19日上午，东安区人大常委会党组在区政府四楼会议室召开集中学习扩大会议，对党中央、省、市、区委要求及相关文件进行集中学习。区人大党组成员及区人大机关全体干部参加了会议。会议由区人大党组书记、主任鲍丽娟主持。


	



	    会上采取党员分别领读方式，集中学习了《党章修正案总纲部分》、《关于新形势下党内政治生活的若干准则》、《中国共产党党内监督条例》、《中共黑龙江省委关于坚决维护以习近平同志为核心的党中央权威和集中统一领导的具体意见》、中共黑龙江省委印发的《省委常委会关于进一步改进工作作风密切联系群众的规定》、中共中央印发的《县以上党和国家机关党员领导干部民主生活会若干规定》、《关于召开2017年度东安区民主生活会的通知及相关要求》。


	



	    为提高民主生活会召开质量，鲍丽娟主任对人大党组成员和机关党员干部提出了四点要求：一要严格按照区委召开2017年度东安区民主生活的通知要求，制定好人大班子民主生活会实施方案，并上报区委；二要精心做好民主生活会的相关准备工作，认真撰写班子对照和个人发言材料；三要认真做好会前征求意见和谈心谈话工作，切勿空谈，找准问题；四要严格按照区委要求，把握政治方向和政治规范，严格政治纪律，高质量的召开民主生活会。"
191,东安区区管干部学习贯彻党的十九大精神集中轮训班开班 ,2018/1/24,2018/1/24,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14530,"作者:区委组织部 发布时间:2018/1/24 17:02:16 查看人数:1555 
	    1月24日上午，东安区区管干部学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神第一期集中轮训班举行开班式。区委书记孙立国出席并作动员讲话和辅导报告。会议由区委常委、组织部长李晓东同志主持，区委理论中心组成员，各党（工）委（党组）书记，区直各部办委局、区属事业单位班子成员、机关干部近300人参加了开班式。 


	
 


	
 


	    孙立国同志在开班式上强调了五点意见：一要明确方向，解决“为什么学”的问题；二要把握核心要义，解决“学什么”的问题；三要学懂弄通，解决“怎么学”的问题；四要紧密联系实际，解决“怎么干”的问题；五要提升精气神，解决“以什么样的作风状态干”的问题。 


	
 


	    开班式结束后，市委宣讲团成员，市委党校哲学教研室主任，教授郭宏儒向全区科级干部作了《习近平新时代中国特色社会主义思想解读》专题讲座，深入浅出地解读了习近平新时代中国特色社会主义思想，迅速掀起了全区学习党的十九大精神、学习习近平新时代中国特色社会主义思想的热潮。"
192,东安区工商联举办2018年新春联欢会 ,2018/1/24,2018/1/24,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14528,"作者:区委统战部 发布时间:2018/1/24 16:51:38 查看人数:1571 
	    1月19日下午，东安区工商联隆重举办2018年迎新春联欢会。市工商联副主席李长兴，区委副书记、统战部长胡宝山出席活动。


	


    东安区工商联主席宋玉红在联欢会上作了新年致辞，总结了2017年工商联的工作，工商联一年来队伍不断壮大，开展了一系列具有意义，凝聚人心的活动。先后开展了扶贫济困“手牵手惠民生、心连心惠民利”工程，帮扶30户困难家庭，“八一”建军节走访慰问武警部队。为贫侨和少数民族捐赠30份爱心礼包。在文创园建立了“同心创业基地”，为文创园灯展捐赠灯笼400余盏。成立了工商联商企联盟平台。开展了一份关爱、一次服务的走访调研活动，“守法诚信、坚定信念”理想教育实践活动，举办了工商联第二届田径运动会。工商联的会员企业家们在发展自身的同时不忘回报社会，热心参与公益活动，展现了东安区非公经济人士讲责任、讲诚信、讲奉献的良好形象，工商联组织的影响力、凝聚力得到增强。2018年工商联要紧紧围绕建设“五地”东安为目标，聚焦区委“六大”行动计划，“六个”新突破，充分发挥工商联企业家的作用，关心支持东安区的发展，积极参与东安区的建设。为建设现代化东安贡献力量！
    联欢会上表彰奖励了优秀小组4个、优秀组长12人、优秀组员18人，工商联共九个小组表演了14个文艺节目。"
190,区委书记孙立国参加区人民武装部全委扩大会议 ,2018/1/26,2018/1/26,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14537,"作者:区委办公室 发布时间:2018/1/26 16:32:42 查看人数:2162 
	    1月26日上午，东安区人民武装部组织召开全委扩大会议，会议由区委常委、人武部政委刁玉龙主持，区委书记孙立国参加并作了重要讲话。参加会议的还有人武部部长石磊、人武部副部长姜巍、人武部参谋李达等共计17人。


	



	    孙立国同志强调，一要认清形势、深化认识，不断增强党管武装政治责任感；二要把握机遇、紧跟大势，不断引领党管武装迈进新时代；三要牢记使命、转变方式，不断促进党管武装提档上台阶。"
189,东安区召开贯彻落实十九大精神暨优秀社区工作者表彰大会 ,2018/1/29,2018/1/29,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14540,"作者:区民政局 发布时间:2018/1/29 14:40:12 查看人数:1793 
	    1月27日，由东安区委、区政府主办，东安区民政局、东安区七星街道办事处、东安区长安街道办事处、东安区新安街道办事处、东安区五星街道办事处承办的“平凡的力量”东安区深入贯彻落实党的十九大精神暨优秀社区工作者表彰大会在市工人文化宫举行，通过歌曲、舞蹈、小品等多种形式，向大家诠释了社区工作者的职责与使命，并对在一线作出突出贡献的优秀社区工作者进行了慰问和表彰。市委常委、副市长谭荣邦出席活动，并为获得2017年度社区建设突出贡献奖的单位颁奖。市民政局局长孙玉华，副局长崔刚，区委书记孙立国，区委副书记、区长时林，区政协主席梁淑霞及四个班子处级领导出席会议。


	



	    活动在舞蹈《和谐东安》中拉开序幕，欢快的舞曲、曼妙的身姿，充分展现出了社区工作者昂扬向上的精神风貌和积极乐观的工作态度。随后，来自七星街道办事处的社区工作者带来了快板表演，以饱满的情感传递了质朴和真情，用美好的心灵奏响了一曲奉献者之歌；由新安街道办事处带来的小品《社区里的故事》，讲述了社区工作者把居民的冷暖记在本上、放在心上，没有豪言壮语，却默默为居民解决了一个又一个困难的感人事迹……最后，大合唱《社区工作者之歌》将现场活动推向高潮，也为本次活动划上了圆满的句号。


	



	    活动表彰了东安区2017年度优秀社区工作者和优秀社区书记、2017年度十佳网格长、2017年度社区建设突出贡献奖和优秀社区社会组织奖。同时向爱心公益组织发起倡议。"
199,市委组织部领导深入东安区开展基层党建专项督导工作 ,2018/1/3,2018/1/3,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14442,"作者:区委组织部 发布时间:2018/1/3 15:04:14 查看人数:2006 
	    为深入贯彻党要管党、全面从严治党要求，切实推动基层党建工作责任制落实，了解掌握2017年度全省基层党建重点任务推进情况，12月29日，市委组织部常务副部长肖明，市委“两新”工委办公室主任高大成，市委组织部组织科副科长牛亚宝一行到东安区开展基层党建工作专项督导，区委常委、组织部长李晓东及相关人员陪同调研。 


	
 

    此次督导，采取了听汇报，实地踏查的方式进行。督导组听取了李晓东同志的汇报后，先后深入长安街道平安社区和福民社区进行了实地查看，督导内容涵盖了城市党建开展情况、党建示范点建设，非公企业和社会组织“两个覆盖”工作等多项内容。每到一处，督导组对党建工作台账、支部工作手册、党员教育管理等文字记录进行详细查看，与党员群众进行深入交流。通过实地走访，督导组就东安区的基层党建工作给予了高度评价，认为东安区以求真务实的工作作风，勇于探索、真抓实干，基层党建各项工作取得长足进展，成效显著，希望今后继续发扬优良作风，使全区基层党建工作迈上新台阶。李晓东同志表示“东安区委组织部将以此次督导检查作为我区基层党建工作的重要推动力，有效结合我区实际，力争多出亮点、多出特色，争做全市城市基层党建工作的排头兵”。"
