id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
1,市政协十二届八次常委会召开会议协商决定政协鹤岗市第十二届委员会第三次会议于2019年1月6日至9日在九州国际酒店召开,2018-12-29,2018-12-29,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_8f7ef3b306db4f248b31c710c0c97f8d.shtml,28日上午，市政协十二届八次常委会在市政协六楼会议室召开。会议协商决定政协鹤岗市第十二届委员会第三次会议于2019年1月6日至9日在九州国际酒店召开。市政协主席徐颖，副主席于冶铭、袁军、王书玲、罗继生、屈广臣，秘书长李宝德参加会议。市委常委、副市长刘春波出席会议。会议由于冶铭主持。会议听取了关于2018年度市政协委员提案办理落实情况的通报；听取了市委统战部关于市政协十二届委员会委员调整情况的说明。会议协商通过了关于召开市政协十二届三次会议的决定（草案），市政协十二届委员会委员调整名单（草案），市政协十二届三次会议秘书长、副秘书长建议名单（草案），市政协十二届三次会议议程（草案）、日程（草案），市政协十二届三次会议小组划分、召集人名单（草案），市政协十二届三次会议大会工作机构（草案），市政协第十二届委员会常委会工作报告（讨论稿）、确定报告人，市政协第十二届委员会二次会议以来提案工作情况报告（讨论稿）、确定报告人，政协鹤岗市委员会关于表彰2018年度优秀政协委员的决定（草案），政协鹤岗市委员会关于表彰2018年度优秀政协界别组召集人的决定（草案），政协鹤岗市委员会关于表彰2018年度优秀政协提案的决定（草案）。徐颖在讲话中说，要认真学习贯彻习近平总书记在庆祝改革开放40周年大会上的重要讲话精神，进一步凝聚思想、坚定信心，通过党组理论学习中心组研讨学、党总支座谈学、机关干部集体学和委员培训学等形式，将习近平总书记重要讲话传达到各党派团体中，将市委全会精神贯彻落实到全体政协委员中，引导全市各党派团体、各族各界人士深刻理解和认识习近平总书记关于改革开放40年伟大成就的重要论述，切实增强推进新时代改革开放的自豪感、自信心和使命感，把智慧和力量汇聚到鹤岗高质量转型发展的目标任务上来，努力为建设现代化新鹤岗献智出力。徐颖指出，市政协十二届三次会议即将开幕，这是全市政治生活中的一件大事，要以高度的政治责任感和强烈的使命感，以饱满的热情和务实的态度参加这次会议，认真履行职能，积极建言献策，确保会议的圆满成功。要把参加这次会议作为学习贯彻习近平总书记重要讲话和重要指示精神的成果体现，作为宣传政协工作、扩大政协影响、展现委员风采、提升委员能力的一次良好机会，努力开成一次团结的大会，民主的大会，鼓劲的大会，促进鹤岗加速转型发展的大会。（记者沈剑威）
2,市消防救援支队举行迎旗授衔换装仪式,2018-12-29,2018-12-29,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_f97645f60474419d8f428f393eb78ac7.shtml,28日上午，鹤矿宾馆一楼会议室气氛庄严，身着新式制服的消防救援人员精神抖擞、整齐列队，市消防救援支队迎旗、授衔和换装仪式在这里隆重举行。市委常委、副市长刘春波出席仪式，并代表市委、市政府向长期奋战在应急救援一线的消防指战员表示热烈祝贺，并致以诚挚的问候。  上午10时许，迎旗、授衔和换装仪式正式开始，全场齐唱国歌，全体消防救援人员迎“中国消防救援队”队旗，市消防救援支队负责人宣读黑龙江省消防救援总队授衔命令，全体消防救援人员向队旗敬礼，并集体宣誓。  刘春波指出，长期以来，全市消防队伍是一支忠诚可靠、敢打必胜的队伍，是一支党委、政府放心、人民群众满意、有坚强战斗力的队伍。消队指战员主动融入，自觉服务全市经济社会发展大局，出色完成了以防火、灭火和应急救援为中心的各项急难险重任务，用汗水、鲜血乃至生命维护了全市社会稳定和人民生命财产安全。改革转制后，消防队伍承担着防范化解重大安全风险、应对处置各类灾害事故的重要职责，作为消防救援人员要自觉提升政治站位，深刻学习领会习近平总书记系列重要讲话精神，认真履行职责，锐意开拓进取，不懈努力奋斗，不断开创消防救援事业新局面。（记者刘文颖）
3,第一个大型煤化工项目——“3052”，我市资源型城市转型发展的典范,2018-12-29,2018-12-29,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_d95a4246b2cf4cf88dea03e52a064591.shtml,“总投资约39亿元的华鹤‘3052’项目是中国海洋石油集团公司以鹤岗市煤炭资源为依托，在东北投资兴建的第一套煤化工项目，年产30万吨合成氨、52万吨尿素。该项目建设、投产以来，为鹤岗市直接、间接带动并促进工业经济增长、消费增长、劳动就业增加，特别是在为鹤岗市煤炭资源型城市转型起到了成功的引领和示范作用。正因如此，鹤岗市被黑龙江省确定为‘煤头化尾’试点城市，华鹤煤化被确定为‘煤头化尾’示范企业。”近日，中海石油华鹤煤化有限公司党委书记、总经理唐向阳在接受记者采访时说。据了解，“3052”装置采用当今国际国内一流的工艺技术，其中煤气化采用美国GE水煤浆气化技术，合成氨采用丹麦Topsoe技术，尿素装置采用荷兰2000+技术，其他装置均采用国内先进成熟技术，被列为振兴东北老工业基地和大力发展黑龙江东部煤电化基地的重大项目，是黑龙江省、鹤岗市重点产业项目。2012年6月正式开工建设。2015年5月9日成功投产，7月1日转入正式商业运营，当年通过性能考核并达到满负荷运行，投产第一年生产尿素53.4万吨，顺利达产。2016年共生产尿素60.65万吨，2017年尿素产量58.15万吨，均完成生产计划。“3052”装置正常生产运行用电2.5亿度，年用水800万吨，年用煤超过100万吨，生产原料、产品年运输量超过180万吨，公司用工及配套产业可增加就业超过1500个，对周边经济具有较强的拉动作用，标志着鹤岗市煤炭产业转型升级迈出坚实一步，为我省大力推进煤化工产业发展起到示范引领作用。2017年5月，省委书记张庆伟到我市考察调研时，对该公司寄予厚望：“要把中海石油华鹤煤化有限公司作为核心企业，加快建设煤化工经济园区，完善基础设施和公共服务，强化上下游配套，创造良好发展条件，形成产业集聚效应，打造全省‘煤头化尾’重要基地。”近年来，我市几届市委、市政府一棒接着一棒干，一直围绕城市转型破题，在大力发展煤电化工产业上不断努力探索，做深做长煤炭精深加工产业链，把煤炭资源深度转化作为鹤岗经济解困、城市转型的有效途径之一，全力推进了煤转电、煤制焦、煤制气、煤制肥、煤基多联产5大产业链发展，并建设了煤化工产业园，目前该产业园区规划面积20.02平方千米，园区现有煤化工企业3家，分别是中海石油华鹤煤化有限公司“3052”化肥项目、征楠煤化工120万吨/年焦炭及副产品项目、鹤翔新能源90万吨/年捣固焦及副产品项目，初步构建了煤制肥、煤制焦、煤制气3条产业链。3家煤化企业年产合成氨30万吨、尿素52万吨、焦炭200万吨、LNG13万吨、煤焦油10万吨、粗苯3万吨。在产业链上形成集聚效应，推动煤化工产业园“煤头化尾”产业发展，走出了一条不唯煤、延伸煤，产品精深加工，资源型城市转型的高质量发展之路。
4, 国家煤监局来我市调研检查,2018-12-28,2018-12-28,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_8418a0d300f442d7ba721c99f895d3f0.shtml,27日上午，国家煤矿安监局副局长宋元明率调研组来我市进行调研检查。市委常委、副市长刘春波作工作汇报。  在市煤管局召开的座谈会上，调研组对我市近段时间安全生产工作取得的成绩给予肯定。调研组强调，要深刻认识煤矿安全生产工作的重要性，提高瓦斯监测监控水平，加强火区管理，排查安全隐患，打击违法违规生产行为，减少煤矿安全风险，坚决避免煤矿安全生产事故的发生。要严格落实国家对小煤矿整治整合的工作要求，高质量、高标准地做好地方小煤矿整治整合工作，对于达不到整治整合标准的地方煤矿坚决不能生产。要为地方煤矿做好长远规划，在服务地方煤矿的同时，发挥企业内生动力，支持帮助他们做好转型发展工作，确保地方煤矿企业实现健康可持续发展。  刘春波在汇报中表示，一直以来，鹤岗市委、市政府高度重视地方煤矿安全生产工作，扎实推进煤矿本质安全型矿井建设，不断加大监管力度，排查隐患、堵塞漏洞，严厉打击煤矿非法违法生产行为，着力推进煤矿整治整合工作，强化安全管理，地方煤矿安全基础明显改善。下一步，我市将以本次调研组检查为契机，坚决做好煤矿整治整合工作，全力推进煤矿转型升级，全面加强安全生产工作，坚决杜绝煤矿非法生产行为。通过彻查整治隐患问题、依法严惩非法违法生产行为、严厉追责问责等手段措施，进一步强化安全监管，确保煤矿安全稳定。  在我市期间，调研组还深入到兴安煤矿进行检查。（记者纪伟）
5,坚定不移地把市委重大决策落到实处,2018-12-28,2018-12-28,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_18e8ebfc4ee143fb81a891e3a69e9ef6.shtml,伴随着即将敲响的新年钟声，充满希望的2019年正迈着大步向我们走来。在年终岁尾之际，市委召开十二届四次全会，科学总结了今年工作，全面部署明年目标任务。如何让市委精神真正在鹤岗大地落地生根？当前，最紧迫的任务就是加强学习，最关键的关键就是要吃透精神，并将全会精神贯彻在行动上，坚定不移地把市委的重大决策落到实处。坚定不移地把市委重大决策落到实处，必须明确转型方向。2019年是我国决胜全面建成小康社会第一个百年奋斗目标的关键之年，也是鹤岗实现转型新突破的关键之年。面对新形势、新任务，我们必须清醒地认识到，鹤岗要实现转型发展、换道超车，前行的道路并不平坦，还有许多困难要克服，有许多问题要解决。在困难面前，全市上下必须强化发展意识，明确转型方向，以一个全新的视角审视鹤岗，以一个全新的高度谋划鹤岗，以一种崭新的观念定位鹤岗，以一种全新的状态发展鹤岗，切实在加速转型中展现新气象新担当新作为，全力推动思想观念转型、体制机制转型、产业结构转型、发展动能转型和工作作风转型，努力把市委确定转型发展的宏伟蓝图变成美好的现实。坚定不移地把市委重大决策落到实处，必须突出工作重点。要注重规划的引领作用，完善城市规划，细化产业规划，加快园区规划，调整基础设施建设规划。要抓好产业项目建设，放眼长远谋项目，四面出击引项目，争分夺秒建项目，优化环境聚项目。要建立完善符合我市实际的政策体系，加快政策改废进度，抓好政策对接，推动政策落地。要抓好各项改革，完善坚持和加强党的全面领导的体制机制，调整优化市政府机构职能，统筹推进其他各项改革，有序推进县区机构改革。要牢固树立“以人民为中心”的发展思想，在统筹做好就业、增收、社保、教育、医疗等各项工作的基础上，巩固提升脱贫攻坚成果，着力做好社会救助，继续保持城市改造力度，持续推进生态文明建设，维护好平安稳定大局，把市委确定的各项重点工作落到实处。坚定不移地把市委重大决策落到实处，必须从严管党治党。勇于自我革命，从严管党治党是我们党最鲜明的品格；保持战略定力，把全面从严治党引向纵深，是新时代党的建设新的伟大工程的必然要求。要突出党的政治建设，坚守意识形态阵地，精准科学选人用人，加强基层组织建设，强化人才队伍建设，着力转变干部作风，加快修复政治生态，确保我市政治生态实现根本好转。坚定不移地把市委重大决策落到实处，起决定性作用的关键还是人。全市各级党组织和广大党员干部要切实增强紧迫感和使命感，把思想和行动统一到市委的重大决策部署和各项任务上来，以更科学的理念、更坚定的信心、更有力的措施、更务实的作风、更严明的纪律，拼搏实干，奋力开创现代化新鹤岗建设新局面。我们相信，在全市的共同努力下，通过行动上的贯彻和工作中的落实，市委十二届四中全会精神一定会在鹤岗大地落地生根、开花结果！
6,第一个乡村邮电所——注重社会效益  方便农民用邮,2018-12-28,2018-12-28,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_a3b6161fff2e4b348c98c0a52dee4691.shtml,1993年11月30日，我市第一个乡村邮电所——团结乡邮电所开张营业。这是记者在翻阅1993年12月3日《鹤岗日报》时，在一版左下角位置查到的信息。经查阅这张《鹤岗日报》得知，当年写这篇稿件的文字记者是鹤岗日报社记者丛新阳。在稿件刊发版块的上方还配发一幅市邮电局和团结乡领导到场剪彩的照片。该稿件在导语里是这样描述的：我市第一家乡村邮电所——团结乡邮电所，于1993年11月30日正式开张营业。这是市邮电局和团结乡注重社会效益，方便农民用邮所办的一件好事。该报道这样写道：团结乡距市区17公里，全乡共有8个村屯、1700余户村民。以前，村民们用邮都要到新一邮电支局去办理，寄到这里的电报、包裹单、信件等比正常要晚两至三天。对此，市邮电局和团结乡政府都给予了高度重视。决定由团结乡出房，市邮电局出资、出人，创办一个邮电所。这样一座占地20平方米，可受理函件包裹、特快专递、报刊发行、邮政储蓄、电报电话等业务的邮电所在团结乡政府门前成立了。市邮电局从此将每天有邮车往返，农民用邮比过去要提前两至三天。据市邮电局党委书记、局长龚文仪介绍，根据测算，这家营业所的建立，市邮电局每年要赔资2万元，但解决了7000余农民的用邮问题，主要是为了社会效益，改善农村用邮条件而建立。25年，对历史只是一瞬间。但对一个行业而言，则是一个时代，是大变革，亦是大发展。当年我市第一个乡村邮电所现在是否仍在运营，效益怎样？记者进行了多方采访得知，团结乡在2001年的乡镇撤并时，被并入到了东山区东方红乡。当年的市邮电局也历经了邮政体制改革，该邮电所隶属单位已发展成为现在的中国邮政集团公司鹤岗市分公司。至于当年的团结乡邮电所现在依然在运营中，主要是继续承担邮政普遍服务职责，仍负责党报党刊等的投递，满足当地百姓的用邮需求，尤其是现在与百姓生活日益密切的网购快递需求。据中国邮政集团公司鹤岗市分公司副总经理陈广东介绍，虽然随着近年来物流业的快速发展，我市快递公司数量猛增，但邮政的核心是邮政普遍服务，是公益性、普惠性的服务。所以，尽管团结邮电所历经了邮电体制改革，但其普遍服务职责仍没有变，继续为方便我市东郊农民用邮发挥着不可替代的作用。
7,我市烟草专卖零售许可证网上办理平台正式上线运行,2018-12-28,2018-12-28,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_91de949b50bb486290d2ce8b5a21f469.shtml,近日，记者从有关部门获悉，我市烟草专卖零售许可证网上办理平台正式上线运行。今后申请烟草专卖零售许可证者可实现足不出户、上网点击鼠标即可办理。   据了解，按照“简政放权、放管结合、优化服务”的要求，市烟草专卖局以提升烟草专卖零售许可证办理效率为着眼点，充分利用“互联网＋”技术，强化让数据“多跑腿”功能，努力让群众“少跑腿”，积极推进行政审批制度改革，于日前开通运行了烟草专卖行政许可网上办理平台。   据介绍，申办的市民只要在搜索引擎查找“黑龙江烟草专卖局（公司）”门户网站，通过这个网站就可以进行网上申请、资料提交、进度查询等办证事项，从而实现了由被动审批向多元服务的转变。（记者刘文颖）
8,我市召开赴俄企业家座谈会,2018-12-27,2018-12-27,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_2c30b252ca564571863a5c8fe2d458f4.shtml,26日上午，我市赴俄企业家座谈会在市商务局召开。副市长谢殿才出席会议并讲话。   座谈会上，与会的10余户赴俄企业和有意向赴俄发展的企业作了工作汇报，并对我市今后外经贸发展等工作提出了意见和建议。听取企业汇报和相关意见与建议后，谢殿才指出，对于商务工作来说，外经贸是重中之重，各相关部门要抓住工作重点，按照外经贸事业发展的需要，尽快出台我市支持外经贸发展产业政策，全力支持外经企业，推动我市外向型经济发展。要尽快组建我市外经贸龙头企业，搭建外经贸服务平台，为我市外经贸企业服务，带领我市外经贸企业做大做强。要进一步深入研究赴俄合作项目，支持各类企业发展。要改善口岸通关环境，增加口岸功能，为赴俄企业提供优良口岸环境。要做好外引内联工作，与珠三角地区、长三角地区和京津冀等地区，特别是与我市对口合作城市汕头市的联系，广泛招引客商来我市并到俄罗斯投资，做强做大我市外经贸产业。（记者:曹聪）
9,市生态环境局挂牌成立,2018-12-27,2018-12-27,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_66739f66879f4c188e4e7652a60ee773.shtml,26日上午，鹤岗市生态环境局挂牌成立。副市长李旭为鹤岗市生态环境局揭牌。   李旭强调，地方机构改革是深化党和国家机构改革的重要组成部分，是推进国家治理体系和治理能力现代化的重要环节，是全面加强党的领导、全面依法治国、转变政府职能的必然要求，更是建设现代化新鹤岗的有力保障。   按照《鹤岗市机构改革方案》要求，将市环境保护局的职责，以及市发展和改革委员会的应对气候变化和减排职责，市水务局的编制水功能区划、排污口设置管理、流域水环境保护职责，市国土资源局的监督防止地下水污染职责，市农业委员会的监督指导农业面源污染治理职责等整合，组建市生态环境局。不再保留市环境保护局。县、区生态环境局为市生态环境局的派出机构，实行以市生态环境部门为主的双重管理体制。（记者:李淑凤）
10,法企“牵手”为民营企业保驾护航,2018-12-27,2018-12-27,鹤岗日报,http://90.4.111.27:8002//hegang/hgxw/201812/c05_18e0f1a1dc4b4a6590687786c828d1fc.shtml,日前，市司法局、市工商联、市律师协会召开法企“牵手”为民营企业健康发展保驾护航暨民营企业法治体检专项会议。市政协副主席、市工商联主席王书玲出席活动。   此次会议旨在认真贯彻落实习近平总书记在民营企业座谈会上的重要讲话和关于民营企业发展的重要指示精神，扎实开展我市法治建设年活动，更好支持我市民营企业健康发展。王书玲在讲话中强调，要提高对企业法治体检的思想认识，坚持依法依规完善企业法治体检内容，积极营造企业法治体检氛围。   会上宣读了《关于开展民营企业法治体检专项活动的实施方案》；4个法律服务团队和我市9家重点民营企业对接，签订《民营企业免费法治体检合同》《保密协议》和《法治体检授权书》，并向企业发放法企“牵手”联心卡；市律师协会代表作表态发言。（记者:纪伟）
